,Name,Distributed computing pscore 5 years,Distributed computing year 5 years,Distributed computing year combined 5 years
0,Stanford University,99815.043254,378.522878137,16173207.7731
1,University of California-Berkeley,159930.83254,217.400684222,3125384.84754
2,Massachusetts Institute of Technology,137468.45,211.694766449,3510772.54195
3,Carnegie Mellon University,128099.042857,320.940648447,6900787.7458
4,University of Illinois at Urbana-Champaign,228531.715873,1793.9093631,79029190.3076
5,Princeton University,39821.4809524,89.284550477,2714042.16719
6,Cornell University,91094.9916667,223.054769372,4653074.05678
7,University of California-Santa Barbara,111014.162698,408.483721592,10779676.2165
8,University of North Carolina at Chapel Hill,5022.5,10.6302938831,54299.5411551
9,University of California-Los Angeles,176883.209524,788.311203672,35984451.9866
10,University of Texas at Austin,75547.5785714,727.13439056,22772079.4838
11,Georgia Institute of Technology,187622.95,1778.71764544,84382075.2518
12,Michigan State University,108757.364286,2952.29133116,135260829.396
13,University of Maryland College Park,16338.2857143,91.7384320599,1069346.33746
14,University of California-San Diego,90263.797619,494.262035747,8329196.27123
15,University of Michigan-Ann Arbor,6551.71904762,0.0,0.0
16,University of Southern California,193269.746825,1233.7955974,77993095.7269
17,University of Pennsylvania,56311.25,55.6454721761,641786.62656
18,University of Massachusetts Amherst,153177.75,678.39702782,39234231.8846
19,University of Wisconsin-Madison,68483.6583333,224.211987771,4516843.57968
20,Harvard University,32855.25,21.115045313,295864.644357
21,University of Rochester,32188.9595238,31.1104115389,422162.521054
22,University of Washington,60475.7174603,88.1662010197,1145698.277
23,Purdue University Main Campus,129369.792063,1379.98673952,36269734.6792
24,Duke University,69366.6361111,196.249458846,4101666.23042
25,New York University,66247.0785714,238.751400419,7812907.94041
26,Tufts University,7499.41666667,0.0,0.0
27,State University of New York at Stony Brook,24431.75,298.978874412,9462661.01658
28,Louisiana State University and Agricultural and Mechanical College,21319.25,13.5363192368,411138.624181
29,University of California-Riverside,159277.766667,1550.11689871,92536197.4149
30,Penn State University,384.0,0.0,0.0
31,University of Minnesota-Twin Cities,6708.5,115.300274307,1725628.69124
32,Brown University,24601.6333333,37.411995072,745811.674622
33,Rice University,28606.0896825,94.8123075397,1161630.21708
34,University of California-Irvine,114888.558333,559.653619036,15058133.44
35,Ohio State University Main Campus,11461.9166667,90.0734565062,1033509.89906
36,Yale University,63417.2166667,181.843764152,10227430.4391
37,Arizona State University,112575.725,494.408554242,14952356.1077
38,University of Nebraska - Lincoln,8473.33333333,178.366783589,1619412.01607
39,Columbia University In The City of New York,802.166666667,0.0,0.0
40,University of Connecticut,48184.6666667,235.910475355,5054636.00786
