,Name,Distributed computing pscore,Distributed computing year,Distributed computing year combined
0,Stanford University,302706.699155,1317.11702599,61083489.5766
1,University of California-Berkeley,428571.079411,629.876680388,9905433.85969
2,Massachusetts Institute of Technology,359098.210394,757.59335941,12153374.1899
3,Carnegie Mellon University,355758.614441,905.190925533,17598158.2657
4,University of Illinois at Urbana-Champaign,795090.568491,5689.12604437,238396459.674
5,Princeton University,126568.8,219.761543823,6493445.20833
6,Cornell University,244009.44937,746.3824157,16120241.8434
7,University of California-Santa Barbara,339739.949346,1437.19130622,36196057.8456
8,University of North Carolina at Chapel Hill,9606.55,16.8399792737,86018.6141302
9,University of California-Los Angeles,425756.188095,1825.50662094,72453283.2758
10,University of Texas at Austin,261379.028175,2259.51694138,71386180.708
11,Georgia Institute of Technology,626947.369364,7185.84734321,349720862.439
12,Michigan State University,293590.830556,7432.98714169,333958465.807
13,University of Maryland College Park,60005.5452381,366.610273865,4260526.30936
14,University of California-San Diego,261097.231454,1462.98461971,23622125.5308
15,University of Michigan-Ann Arbor,13615.5942308,0.0,0.0
16,University of Southern California,550391.503175,4133.7664705,306622655.366
17,University of Pennsylvania,140414.461529,180.313317548,2314198.36963
18,University of Massachusetts Amherst,344254.590235,1564.25502633,82480331.577
19,University of Wisconsin-Madison,202588.00031,866.315779448,18292334.987
20,Harvard University,78757.7583333,53.3019565748,685494.173326
21,University of Rochester,97995.8637363,154.871571418,2328977.08263
22,University of Washington,180959.073517,354.856008378,4795602.79941
23,Purdue University Main Campus,375725.395278,3440.4968465,87143941.5849
24,Duke University,199745.686648,662.115060794,14016191.4097
25,New York University,162583.647619,516.664444344,15428131.8508
26,Tufts University,19412.9857143,0.0,0.0
27,State University of New York at Stony Brook,75032.6166667,1099.63147769,30213322.5568
28,Louisiana State University and Agricultural and Mechanical College,67208.1285714,45.9240051862,1394849.80952
29,University of California-Riverside,396205.927924,4194.67747366,269753361.92
30,Penn State University,645.0,0.0,0.0
31,University of Minnesota-Twin Cities,15432.1666667,171.516402935,2525046.89838
32,Brown University,87651.1092732,188.28953853,3915992.64777
33,Rice University,91316.1882353,200.518760247,2515511.22331
34,University of California-Irvine,351591.692739,1873.69299088,49449232.4913
35,Ohio State University Main Campus,32526.65,349.678197294,2782394.13317
36,Yale University,130117.280702,359.51835821,17470587.4508
37,Arizona State University,292588.951832,1483.61123947,36440965.1809
38,University of Nebraska - Lincoln,17687.75,203.99826096,1847796.50892
39,Columbia University In The City of New York,2950.66666667,0.0,0.0
40,University of Connecticut,133919.75,681.946217747,13785930.241
41,University of California-Davis,298801.674779,877.487287169,50983630.0128
42,State University of New York at Buffalo,27575.7166667,146.602608607,2651003.98164
43,Texas A & M University,12748.6,0.0,0.0
44,University of Oklahoma Norman Campus,119689.619608,621.846648036,13132691.4387
45,University of Pittsburgh Pittsburgh Campus,7536.16666667,0.0,0.0
46,University of Utah,85050.9833333,186.118277008,2210447.57171
47,University of California-Santa Cruz,87522.8952381,309.853298898,3957612.79141
48,Indiana University at Bloomington,58206.8833333,47.697550981,1764952.47895
49,University of Virginia,226845.838095,7879.19424807,595791407.767
50,University of South Florida,84221.0404762,602.187250063,6304206.73001
51,University of Arizona,85264.2926065,544.867849979,7520608.95439
52,Virginia Polytechnic Institute and State University,22539.8666667,50.558652066,247231.808603
53,University of Chicago,105433.430072,411.698491517,15484351.6782
54,Washington University In St. Louis,51068.1666667,199.169841609,4195711.88334
55,Georgia State University,178808.609524,3293.94350435,130639177.653
56,North Carolina State University,253569.094444,2488.11092336,53205053.8621
57,University of Tennessee,231865.505952,1286.94181394,40576505.6478
58,Johns Hopkins University,77806.9333333,395.797504231,4605447.02337
59,Vanderbilt University,83310.6717949,287.281426082,4030077.56554
60,Florida Institute of Technology,34600.65,101.413599357,602701.020978
