,Name,Human-computer interaction pscore 5 years,Human-computer interaction year 5 years,Human-computer interaction year combined 5 years
0,Stanford University,219231.411508,29593.5823202,3962137030.78
1,University of California-Berkeley,215252.530952,26312.7724621,2551077150.68
2,Massachusetts Institute of Technology,114192.791667,10974.3533021,1083236121.18
3,Carnegie Mellon University,928238.602381,121292.24544,19408963482.7
4,University of Illinois at Urbana-Champaign,165853.289286,20302.9970503,1587080720.71
5,Princeton University,31601.9928571,1257.63594902,24810380.7806
6,Cornell University,199428.883333,32222.8036667,3003946966.85
7,University of California-Santa Barbara,23298.2388889,211.316384731,3272301.26799
8,University of North Carolina at Chapel Hill,6564.83333333,57.6900393187,305667.665619
9,University of California-Los Angeles,20445.8952381,22.1031078537,152231.518047
10,University of Texas at Austin,10832.3916667,3.81500968669,19345.9141212
11,Georgia Institute of Technology,585735.288095,53485.2531901,6273493533.95
12,Michigan State University,16883.6880952,245.194479556,3163482.89966
13,University of Maryland College Park,4259.15714286,0.0,0.0
14,University of California-San Diego,121703.711905,19239.0791137,2344283331.27
15,University of Michigan-Ann Arbor,35221.1404762,2262.45041998,82486587.3788
16,University of Southern California,64704.2369048,637.22525693,16818993.984
17,University of Pennsylvania,12585.8833333,47.0304072116,214369.065392
18,University of Massachusetts Amherst,19332.9142857,30.3691736072,128936.59858
19,University of Wisconsin-Madison,53192.002381,5277.13062257,292107727.714
20,Harvard University,36146.675,5334.91058167,293380631.487
21,University of Rochester,15580.6452381,91.746825977,445559.092744
22,University of Washington,389539.004762,53061.1085838,5764054130.58
23,Purdue University Main Campus,12659.3103175,3.01121431048,23324.8660489
24,Duke University,8019.69722222,7.71970758397,37587.2562263
25,New York University,52308.2678571,2538.97198206,66623431.0225
26,Tufts University,67595.4166667,8769.54990205,928153357.711
27,State University of New York at Stony Brook,1350.33333333,0.0,0.0
28,Louisiana State University and Agricultural and Mechanical College,12069.5,710.135682589,16443901.866
29,University of California-Riverside,13392.8666667,59.2311092496,305007.530354
30,Penn State University,11.5,0.0,0.0
31,University of Minnesota-Twin Cities,18997.5833333,445.70559844,21666194.8458
32,Brown University,40698.8166667,1544.28838671,36286268.5065
33,Rice University,5713.2984127,9.76349957473,50291.7863094
34,University of California-Irvine,340854.222619,36381.639569,3002960800.8
35,Ohio State University Main Campus,6438.16666667,34.0716872487,317343.695034
36,Yale University,7275.36666667,37.2865901798,151054.35501
37,Arizona State University,59555.9416667,2102.16593823,78055936.5058
38,University of Nebraska - Lincoln,162.5,0.0,0.0
39,Columbia University In The City of New York,888.333333333,0.0,0.0
40,University of Connecticut,3047.83333333,0.0,0.0
41,University of California-Davis,28301.4638889,111.256943958,1550382.43585
42,State University of New York at Buffalo,286.933333333,0.0,0.0
43,Texas A & M University,647.666666667,0.0,0.0
44,University of Oklahoma Norman Campus,1663.91666667,0.0,0.0
45,University of Pittsburgh Pittsburgh Campus,762.833333333,0.0,0.0
46,University of Utah,22070.5833333,341.763730512,3716895.0259
47,University of California-Santa Cruz,32958.8833333,2149.28913854,53301330.0902
48,Indiana University at Bloomington,30193.8095238,3062.96305455,74151960.3759
49,University of Virginia,6224.8,55.2179487179,222859.641026
50,University of South Florida,2548.68333333,0.0,0.0
51,University of Arizona,3359.25,13.7184591013,60443.5308003
52,Virginia Polytechnic Institute and State University,47492.2333333,2318.77729022,96534702.3258
53,University of Chicago,7926.34642857,987.420787547,24337947.5715
54,Washington University In St. Louis,2745.31666667,9.20071285786,26599.2608721
55,Georgia State University,3948.15833333,22.2738782051,100366.095192
56,North Carolina State University,41247.9166667,952.276530434,26169454.5566
57,University of Tennessee,9252.65833333,389.699641094,5669787.34232
58,Johns Hopkins University,32481.7083333,1580.15495895,80262647.0152
59,Vanderbilt University,5552.29761905,0.875,454.125
60,Florida Institute of Technology,1465.66666667,0.0,0.0
61,University of Colorado at Boulder,43082.0833333,1378.40789849,80694538.9437
62,Lehigh University,3954.16666667,4.21415423297,18314.7142965
63,University of Central Florida,39694.0166667,2864.73867887,104744514.476
64,University of Kentucky,6200.43333333,16.967722499,98395.8227715
65,Florida State University,6283.45,380.488888889,3097560.04444
66,Oklahoma State University Main Campus,523.75,0.0,0.0
67,Washington State University,7182.7,54.065845588,412846.79691
68,Iowa State University,2756.5,0.0,0.0
69,Northwestern University,74236.6714286,9327.23271878,422832053.305
70,Dartmouth College,28339.75,5446.36153175,228687274.357
71,Boston University,2271.00714286,0.0,0.0
72,University of Georgia,1982.91666667,0.0,0.0
73,Rutgers The State University of New Jersey New Brunswick Campus,1399.58333333,10.2194832854,53366.1417163
74,University of Maryland Baltimore County,807.5,0.0,0.0
75,California Institute of Technology,6867.86666667,9.79057017544,75015.3486842
76,University of Delaware,3687.83333333,0.0,0.0
77,University of Texas at Dallas,12491.4333333,14.245651076,160851.491125
78,University of Cincinnati Main Campus,1384.5,0.0,0.0
79,Kent State University Main Campus,1212.34285714,0.0,0.0
80,Oregon State University,79105.3571429,4526.18796404,453470150.509
81,University of Iowa,65712.8011905,13030.4397298,1557444203.63
82,Rensselaer Polytechnic Institute,30907.5666667,1913.36862681,79313091.8917
83,University of Florida,35245.4630952,1205.39670426,26594075.2234
84,Northeastern University,111768.883333,5551.91646444,215455676.004
85,Illinois Institute of Technology,1801.9,0.0,0.0
86,Auburn University,8186.25,211.289843926,1609126.49421
87,Wayne State University,2448.75952381,0.0,0.0
88,University of Oregon,51233.2261905,8169.88584324,478759081.487
89,Wright State University Main Campus,2347.13333333,0.0,0.0
90,University of Illinois at Chicago,50361.7261905,3294.95646785,73772797.3297
91,Brandeis University,5039.28333333,77.4767129317,682647.317642
