,Name,Human-computer interaction pscore,Human-computer interaction year,Human-computer interaction year combined
0,Stanford University,429558.458099,53177.9909904,7130847968.39
1,University of California-Berkeley,421004.734815,48801.1748681,4765912804.87
2,Massachusetts Institute of Technology,243964.598953,20610.0967711,2033123421.13
3,Carnegie Mellon University,1733440.2785,219524.508014,35679691759.5
4,University of Illinois at Urbana-Champaign,337748.38945,37876.5176497,2968568241.67
5,Princeton University,70948.0089286,2424.92137789,47557528.0445
6,Cornell University,378736.132969,56420.6857972,5245221180.76
7,University of California-Santa Barbara,50593.8203081,416.353973088,6436720.73399
8,University of North Carolina at Chapel Hill,13660.3833333,115.37713057,607625.743895
9,University of California-Los Angeles,50183.9107143,34.463217628,251284.195872
10,University of Texas at Austin,35207.9464286,7.88990121774,40009.6890752
11,Georgia Institute of Technology,1111391.45642,97546.9619538,11428846084.0
12,Michigan State University,39285.475,416.992160213,5321437.12056
13,University of Maryland College Park,19680.822619,0.0,0.0
14,University of California-San Diego,226389.087155,34642.9098524,4271683371.2
15,University of Michigan-Ann Arbor,62462.6288462,4155.72340639,154286001.67
16,University of Southern California,155640.774939,1245.93269192,32864417.5782
17,University of Pennsylvania,30918.414693,61.7294433439,255239.913298
18,University of Massachusetts Amherst,58563.8457784,56.8428181249,248635.054076
19,University of Wisconsin-Madison,100437.424163,9741.75059721,540093120.523
20,Harvard University,75124.0440476,9971.87099609,547958500.76
21,University of Rochester,37083.5831502,171.846122618,835346.665202
22,University of Washington,728539.72029,95413.9218648,10292163930.7
23,Purdue University Main Campus,41061.7127449,7.7097579921,59719.7854068
24,Duke University,22329.047048,15.877164393,77305.9134295
25,New York University,105434.097024,4712.80441707,123117349.265
26,Tufts University,116210.340476,14683.3694157,1560474730.06
27,State University of New York at Stony Brook,5266.21666667,0.0,0.0
28,Louisiana State University and Agricultural and Mechanical College,23836.0785714,1191.73029122,27595706.6235
29,University of California-Riverside,25625.8517544,86.1548213747,453026.870445
30,Penn State University,11.5,0.0,0.0
31,University of Minnesota-Twin Cities,25701.85,600.637587114,29197593.7472
32,Brown University,89097.0922306,2963.00087577,68750158.6191
33,Rice University,22784.8238796,21.0578339726,108468.902793
