,Name,Information retrieval pscore norm,Information retrieval year norm,Information retrieval year combined norm
0,Stanford University,110.62815975,0.792407781222,19609.8310849
1,University of California-Berkeley,105.680661779,0.470696201881,10743.6936866
2,Massachusetts Institute of Technology,88.1959677772,0.111670294243,1434.79667919
3,Carnegie Mellon University,316.709107083,13.8999206295,889411.645454
4,University of Illinois at Urbana-Champaign,213.312764414,14.4460080546,1632954.22704
5,Princeton University,20.4054940947,0.0289816841387,205.302797513
6,Cornell University,105.892096037,1.65180931311,32542.8485664
7,University of California-Santa Barbara,59.1731522336,0.0634472850154,997.031831917
8,University of North Carolina at Chapel Hill,10.5312313105,0.285426749042,2269.57359473
9,University of California-Los Angeles,78.5098883863,0.603913630086,9428.21733884
10,University of Texas at Austin,60.6107997236,0.0441231277821,340.369862537
11,Georgia Institute of Technology,137.487562301,0.990956136942,44400.6310021
12,Michigan State University,50.7464423923,0.630349894268,23944.4764936
13,University of Maryland College Park,18.7412765423,0.0678753584951,546.649569419
14,University of California-San Diego,45.9309556543,0.207830770129,1756.5647262
15,University of Michigan-Ann Arbor,13.0851620323,0.358781455663,3564.37937163
16,University of Southern California,143.812612653,0.402532169766,6128.45828903
17,University of Pennsylvania,54.9096295653,0.107693203809,1053.37856991
18,University of Massachusetts Amherst,255.967542252,30.0265309069,5915871.6899
19,University of Wisconsin-Madison,39.8603338543,0.0666122681419,575.680464379
20,Harvard University,21.9465347405,0.0785348574952,203.186372812
21,University of Rochester,38.0181130215,0.0772630823232,1457.3524262
22,University of Washington,83.646332272,0.0737916143887,790.082369448
23,Purdue University Main Campus,98.8267306656,6.80933460197,589985.803293
24,Duke University,32.0331599333,0.0708073595158,250.80678536
25,New York University,52.9068397412,0.667501158991,19134.874045
26,Tufts University,10.7793579595,0.0125534366776,70.038933949
27,State University of New York at Stony Brook,9.16850483729,0.00222655771774,0.959646376345
28,Louisiana State University and Agricultural and Mechanical College,22.52705365,0.370415641819,8660.54783206
29,University of California-Riverside,43.4644848709,0.096932012587,1549.63813029
30,Penn State University,0.132189973615,0.0,0.0
31,University of Minnesota-Twin Cities,4.5164819701,0.0408121268094,522.191162527
32,Brown University,35.9443269784,0.340221442662,3012.0763135
33,Rice University,15.015014486,0.0226819212396,74.5489198227
34,University of California-Irvine,76.1400600633,0.0575369415995,642.389932184
35,Ohio State University Main Campus,5.85941952507,0.00200657083338,4.48067267095
36,Yale University,28.5522119079,0.362397680299,10084.4402497
37,Arizona State University,86.3452424576,0.375091936237,8296.83101752
38,University of Nebraska - Lincoln,1.23460861917,0.0,0.0
39,Columbia University In The City of New York,5.36350043975,0.0570863266292,500.475825558
40,University of Connecticut,14.8372823219,0.00976593902106,85.9011996292
41,University of California-Davis,31.9817158951,0.0302508840409,515.168449377
42,State University of New York at Buffalo,1.52352682498,0.0,0.0
43,Texas A & M University,2.24073878628,0.0,0.0
44,University of Oklahoma Norman Campus,9.82598530705,0.0,0.0
45,University of Pittsburgh Pittsburgh Campus,3.25540897098,0.0,0.0
46,University of Utah,18.1087950748,0.131851252762,938.952745324
