,Name,Information retrieval pscore 5 years,Information retrieval year 5 years,Information retrieval year combined 5 years
0,Stanford University,85157.893254,750.983087405,18252222.726
1,University of California-Berkeley,79190.3710317,330.336362758,7497455.30128
2,Massachusetts Institute of Technology,68556.7071429,91.8059184781,1215401.22549
3,Carnegie Mellon University,239083.143651,9947.69449823,634315895.391
4,University of Illinois at Urbana-Champaign,174889.815079,11189.919588,1308818584.49
5,Princeton University,15114.4166667,20.8578546244,143603.405856
6,Cornell University,88580.0892857,1312.71191097,25256840.227
7,University of California-Santa Barbara,54102.9277778,59.9532449996,945769.042089
8,University of North Carolina at Chapel Hill,12736.0833333,184.047553746,1469303.72972
9,University of California-Los Angeles,65212.4246032,530.015568498,8243807.53661
10,University of Texas at Austin,44912.5535714,31.8196658211,246655.976124
11,Georgia Institute of Technology,116033.891667,927.978591539,42081371.3286
12,Michigan State University,41240.5047619,462.260098592,17714713.5613
13,University of Maryland College Park,12062.0738095,44.9224680959,370882.156875
14,University of California-San Diego,36522.3511905,154.662774173,1163524.51429
15,University of Michigan-Ann Arbor,11881.4833333,354.385099682,3396618.73689
16,University of Southern California,110286.810714,293.833872172,4217703.99763
17,University of Pennsylvania,44467.3,86.8583405833,841680.042652
18,University of Massachusetts Amherst,193449.52381,22251.6998198,4387445989.99
19,University of Wisconsin-Madison,31377.825,36.3825159679,331539.88708
20,Harvard University,17624.0666667,93.4249014003,239193.579618
21,University of Rochester,30380.0,67.0649845658,1308808.7981
22,University of Washington,64108.8825397,59.2879210337,640784.793864
23,Purdue University Main Campus,79993.8126984,4870.25484686,419789613.741
24,Duke University,26604.0972222,80.9883992724,276450.654228
25,New York University,47227.6130952,623.647499368,17933048.7658
26,Tufts University,7837.33333333,6.23975690456,30360.6812013
27,State University of New York at Stony Brook,7187.16666667,1.458835951,628.758294881
28,Louisiana State University and Agricultural and Mechanical College,12371.9166667,192.34771928,4248925.68638
29,University of California-Riverside,40780.6777778,84.6706486527,1427331.21844
30,Penn State University,99.5,0.0,0.0
31,University of Minnesota-Twin Cities,5455.08333333,50.6569751181,648155.996636
32,Brown University,24944.8166667,271.27564492,2363374.22782
33,Rice University,11479.3484127,18.9290813844,60701.3568383
34,University of California-Irvine,61793.1099206,47.1782362197,509247.490166
35,Ohio State University Main Campus,3051.5,2.21472156536,4945.47325545
36,Yale University,22489.8333333,271.008898199,7541364.61017
37,Arizona State University,81068.1083333,389.283251619,8800732.51256
38,University of Nebraska - Lincoln,988.333333333,0.0,0.0
39,Columbia University In The City of New York,3184.5,37.9292936485,332526.117417
40,University of Connecticut,13173.75,10.5486381173,92785.8208795
41,University of California-Davis,31095.4611111,33.0434239644,567690.588093
42,State University of New York at Buffalo,1809.2,0.0,0.0
43,Texas A & M University,1251.83333333,0.0,0.0
44,University of Oklahoma Norman Campus,8329.2,0.0,0.0
45,University of Pittsburgh Pittsburgh Campus,1831.33333333,0.0,0.0
46,University of Utah,16157.6666667,89.4540846198,640782.911118
47,University of California-Santa Cruz,30262.3333333,169.182342179,1622166.06779
48,Indiana University at Bloomington,12664.1,149.428754932,1857849.78057
49,University of Virginia,18198.3071429,727.918144239,8202714.02985
50,University of South Florida,13448.0333333,4.18498168498,8512.25274725
51,University of Arizona,15754.9833333,62.051380363,478665.221814
52,Virginia Polytechnic Institute and State University,6215.53333333,137.776834288,1074025.44655
53,University of Chicago,10687.3,126.715315859,2554960.91366
54,Washington University In St. Louis,1605.15,0.0,0.0
55,Georgia State University,7455.98333333,0.0,0.0
56,North Carolina State University,25804.6666667,9.64673408077,42216.8818909
57,University of Tennessee,21868.6666667,293.175925564,6413105.09878
58,Johns Hopkins University,17090.525,25.8046933389,144720.44695
59,Vanderbilt University,10073.0238095,0.0,0.0
60,Florida Institute of Technology,4995.5,0.776361125625,430.880424722
61,University of Colorado at Boulder,5286.56666667,21.1346181242,65942.4031709
62,Lehigh University,28818.3333333,2318.6956068,113180639.153
63,University of Central Florida,29446.2547619,52.7416426608,303888.051921
64,University of Kentucky,17692.7214286,18.3369144071,299386.801524
65,Florida State University,12045.9333333,83.2442573372,604686.285298
66,Oklahoma State University Main Campus,2457.25,0.0,0.0
67,Washington State University,13563.6,0.0,0.0
68,Iowa State University,11726.0833333,8.52158233211,18963.658194
69,Northwestern University,64802.5166667,479.545243342,6683596.1765
70,Dartmouth College,9239.75,17.1785714286,56826.7142857
71,Boston University,14340.2583333,50.3639182447,222763.963751
72,University of Georgia,11290.75,0.0,0.0
73,Rutgers The State University of New Jersey New Brunswick Campus,753.583333333,0.0,0.0
74,University of Maryland Baltimore County,12469.6333333,335.529656843,5229900.76121
75,California Institute of Technology,12555.1166667,220.455815316,1766606.90891
76,University of Delaware,33212.6388889,5606.50747676,363366317.718
77,University of Texas at Dallas,48409.6666667,329.06499361,6017997.75632
78,University of Cincinnati Main Campus,5488.66666667,0.0,0.0
79,Kent State University Main Campus,6163.37380952,0.0,0.0
80,Oregon State University,22780.7428571,28.6618008409,69714.9136494
81,University of Iowa,13458.4357143,997.13045143,30436553.2699
82,Rensselaer Polytechnic Institute,33857.6583333,81.18189419,961848.487917
83,University of Florida,27452.725,70.5809053618,502145.830788
84,Northeastern University,55940.7833333,4239.58151496,271321612.188
85,Illinois Institute of Technology,15611.95,366.240706362,6070620.60993
86,Auburn University,3800.83333333,0.0,0.0
87,Wayne State University,15199.8857143,36.5169491525,173345.957627
88,University of Oregon,13052.4833333,0.0,0.0
89,Wright State University Main Campus,18490.05,66.0373940407,525846.308871
90,University of Illinois at Chicago,98380.35,1272.65914752,97749798.2929
91,Brandeis University,6626.98333333,2.81653001396,13981.2549893
92,North Dakota State University Main Campus,9989.7,34.4319581676,301451.793757
93,City University of New York Grad. Center,866.0,0.0,0.0
94,State University of New York at Binghamton,3051.08333333,12.5551181102,46303.2755906
95,University of North Carolina at Charlotte,18216.225,76.6723631461,1001722.06414
96,Case Western Reserve University,21820.7416667,19.8479187961,216667.917027
97,University of New Mexico Main Campus,1911.11666667,0.0,0.0
98,Syracuse University Main Campus,13289.2833333,0.0,0.0
99,New Mexico State University Main Campus,119.5,0.0,0.0
100,New Jersey Institute of Technology,40.0,0.0,0.0
101,University of South Carolina Columbia,12939.3547619,164.219189848,2289407.12368
102,College of William and Mary,6309.35,0.0,0.0
