,Name,Machine learning pscore norm,Machine learning year norm,Machine learning year combined norm
0,Stanford University,275.796034353,17.9827701635,1761270.1448
1,University of California-Berkeley,405.143563281,40.5840947234,5545170.66419
2,Massachusetts Institute of Technology,283.243602137,14.966194646,777024.703434
3,Carnegie Mellon University,636.484613486,50.0015315237,3154325.03812
4,University of Illinois at Urbana-Champaign,186.297669504,4.30891509764,165389.157851
5,Princeton University,82.9920034763,11.3205277957,735720.215535
6,Cornell University,226.374846301,13.8679269312,599990.820631
7,University of California-Santa Barbara,47.8070173855,0.0379019533286,500.501920132
8,University of North Carolina at Chapel Hill,8.26731864095,0.0,0.0
9,University of California-Los Angeles,183.568558092,7.15795349698,294674.531715
10,University of Texas at Austin,192.712858455,15.8397815548,965909.610665
11,Georgia Institute of Technology,222.40885176,16.8429563506,800521.182753
12,Michigan State University,100.616929905,5.89318867007,670754.86908
13,University of Maryland College Park,19.9664659583,0.246020851726,2368.81294689
14,University of California-San Diego,210.055267749,18.4457749489,1042776.3455
15,University of Michigan-Ann Arbor,31.4365045561,1.07488938042,12885.2119651
16,University of Southern California,274.194306989,5.26561436568,174515.07041
17,University of Pennsylvania,183.406852514,17.9234258608,577171.631852
18,University of Massachusetts Amherst,239.544239665,15.5836051396,704839.965222
19,University of Wisconsin-Madison,120.5228143,5.6509194227,211722.649329
20,Harvard University,70.3771756526,7.27169973534,154464.172504
21,University of Rochester,80.8251685688,1.64464533629,25493.4038162
22,University of Washington,284.990476001,24.3531348588,1166156.33723
23,Purdue University Main Campus,75.55611631,3.64032914084,46324.1301354
24,Duke University,80.9426320738,3.6661117215,127221.745611
25,New York University,125.915124951,10.6853478593,712064.518789
26,Tufts University,22.0528072937,0.895815649369,22836.3937191
27,State University of New York at Stony Brook,17.303728191,1.32111731458,30253.7894816
28,Louisiana State University and Agricultural and Mechanical College,6.33236652237,0.0,0.0
29,University of California-Riverside,70.2457452516,2.10533687712,71913.99207
30,Penn State University,0.500275482094,0.0,0.0
31,University of Minnesota-Twin Cities,2.73392102847,0.0,0.0
32,Brown University,88.2040624058,4.79230612228,326726.846574
33,Rice University,23.0418652144,0.753179767121,7165.48085479
34,University of California-Irvine,193.222656377,19.5452086885,1150931.40692
35,Ohio State University Main Campus,15.8106244261,2.28692466481,63371.3121863
36,Yale University,42.626168717,1.91268753484,24884.1772345
37,Arizona State University,120.158336971,2.82121076659,144384.909061
38,University of Nebraska - Lincoln,5.52855831038,0.418397870845,4065.99050887
39,Columbia University In The City of New York,6.06051423324,0.0931946571338,375.347005028
40,University of Connecticut,24.1876492195,0.531914012688,9878.62969163
41,University of California-Davis,37.3932777459,2.45356092465,68516.9674231
42,State University of New York at Buffalo,3.05976124885,0.00477108036792,12.5383992069
43,Texas A & M University,2.10718089991,0.0,0.0
44,University of Oklahoma Norman Campus,9.91992291131,0.252290507156,2100.73011838
45,University of Pittsburgh Pittsburgh Campus,8.43158861341,0.133306377012,1572.14708794
46,University of Utah,29.8460330579,0.541262593813,2830.60463105
47,University of California-Santa Cruz,108.401494162,13.2538119733,866540.530358
48,Indiana University at Bloomington,12.3779247016,0.106114551224,390.076812235
49,University of Virginia,18.7625554244,0.978425714146,12337.223229
50,University of South Florida,19.8829148629,0.062031892901,388.578969733
51,University of Arizona,12.017181038,0.0414397109147,259.342964756
52,Virginia Polytechnic Institute and State University,3.71748393021,0.00391022799673,16.6497508101
53,University of Chicago,47.2067521294,7.93083855384,459035.277233
54,Washington University In St. Louis,1.19373904333,0.0,0.0
55,Georgia State University,7.5593204775,0.0,0.0
56,North Carolina State University,35.6533028633,0.0184961898415,77.8372094659
57,University of Tennessee,26.4569972452,0.0295248402989,220.306242665
58,Johns Hopkins University,44.458770926,1.42627157506,19855.7444715
59,Vanderbilt University,33.0248570621,0.881031722258,17095.7571068
60,Florida Institute of Technology,10.4404683196,0.163534677898,1786.61635604
61,University of Colorado at Boulder,12.1022405877,0.0177951501921,101.41123868
62,Lehigh University,13.9011478421,0.00496199542595,17.625007753
