,Name,Machine learning pscore 5 years,Machine learning year 5 years,Machine learning year combined 5 years
0,Stanford University,190993.49127,13370.2330669,1312292019.15
1,University of California-Berkeley,306650.231746,32346.6213716,4510274838.63
2,Massachusetts Institute of Technology,204813.921429,12091.6732772,649933082.346
3,Carnegie Mellon University,431661.586508,38799.197209,2458318374.59
4,University of Illinois at Urbana-Champaign,124836.115873,3013.10550237,109435680.201
5,Princeton University,59255.45,8611.46338045,556519941.296
6,Cornell University,160017.490476,11271.2787217,483519010.794
7,University of California-Santa Barbara,31918.1388889,24.776711645,318786.814452
8,University of North Carolina at Chapel Hill,9375.33333333,0.0,0.0
9,University of California-Los Angeles,124181.222222,4702.98541626,192314346.375
10,University of Texas at Austin,131148.214286,11887.9863193,726019912.584
11,Georgia Institute of Technology,160891.680952,13222.2934456,638415333.225
12,Michigan State University,77305.5,4396.26125645,490623216.747
13,University of Maryland College Park,11931.502381,155.096906578,1478120.44883
14,University of California-San Diego,153845.166667,13264.98963,740081610.765
15,University of Michigan-Ann Arbor,21259.85,823.884919442,9811019.73759
16,University of Southern California,171541.431746,3760.22791648,126441049.158
17,University of Pennsylvania,133093.45,13912.7583148,445647950.223
18,University of Massachusetts Amherst,159993.566667,11332.3062948,506012591.872
19,University of Wisconsin-Madison,84778.9428571,3970.5063127,144574401.06
20,Harvard University,49334.3166667,6625.11617194,143079359.611
21,University of Rochester,55410.9714286,1519.12297203,21471674.9169
22,University of Washington,196634.015873,17959.659556,848583855.953
23,Purdue University Main Campus,52571.4666667,2805.92587548,35010693.7766
24,Duke University,56640.2166667,2688.65453794,88093098.6404
25,New York University,92010.05,8225.49720954,543862404.746
26,Tufts University,14714.8333333,617.467944296,15813946.4881
27,State University of New York at Stony Brook,13166.5,1086.61065323,24950408.9
28,Louisiana State University and Agricultural and Mechanical College,3827.08333333,0.0,0.0
29,University of California-Riverside,49188.0666667,1412.8817102,47354833.8617
30,Penn State University,218.5,0.0,0.0
31,University of Minnesota-Twin Cities,2350.33333333,0.0,0.0
32,Brown University,55700.8,3348.23763217,229757660.459
33,Rice University,15589.6333333,964.100028118,9161343.27718
34,University of California-Irvine,136697.377778,14395.8515334,846014898.713
35,Ohio State University Main Campus,10716.4166667,1804.79731884,50104747.5738
36,Yale University,28560.4166667,1383.86618691,17828737.3397
37,Arizona State University,81430.3833333,1843.1256237,90718081.4764
38,University of Nebraska - Lincoln,3613.5,265.059265699,2575845.94406
39,Columbia University In The City of New York,3767.5,94.1931423508,330778.723835
40,University of Connecticut,17524.9166667,405.409548192,7547401.47255
41,University of California-Davis,27558.6222222,1990.44383909,55785764.0224
42,State University of New York at Buffalo,2219.43333333,4.77183027332,12540.3699583
43,Texas A & M University,1284.0,0.0,0.0
44,University of Oklahoma Norman Campus,6287.73333333,148.125519736,1226697.14209
45,University of Pittsburgh Pittsburgh Campus,4418.16666667,71.9940779932,822128.244144
46,University of Utah,21050.2166667,417.326943863,2186566.47009
47,University of California-Santa Cruz,75779.65,9756.55740637,625454637.315
48,Indiana University at Bloomington,7876.01507937,70.1365322265,258304.597957
49,University of Virginia,13974.3285714,765.791813821,9436627.8361
50,University of South Florida,18477.75,56.5967863421,393339.606244
51,University of Arizona,8576.58333333,40.2758074231,256189.03575
52,Virginia Polytechnic Institute and State University,2545.46666667,2.83097543456,12054.2934003
53,University of Chicago,35366.1714286,6471.10444314,364354306.204
54,Washington University In St. Louis,961.683333333,0.0,0.0
55,Georgia State University,6325.98888889,0.0,0.0
56,North Carolina State University,19581.6222222,11.528586405,48262.4231276
57,University of Tennessee,18741.2166667,20.1374991192,150032.422485
58,Johns Hopkins University,31896.8,1183.1319999,16529678.0588
59,Vanderbilt University,21859.5,573.520427949,11060681.0597
60,Florida Institute of Technology,7800.66666667,150.654781898,1645903.49224
61,University of Colorado at Boulder,5534.66666667,6.6729962373,38031.0565279
62,Lehigh University,9595.33333333,3.61033957452,12823.9261687
63,University of Central Florida,32357.7166667,37.3495938385,212353.596136
64,University of Kentucky,18956.8166667,107.480882879,1334805.08447
65,Florida State University,8413.26666667,28.2154779734,174479.045107
66,Oklahoma State University Main Campus,1993.33333333,0.0,0.0
67,Washington State University,26760.8,643.349511182,9965549.64875
