,Name,Natural language processing pscore norm,Natural language processing year norm,Natural language processing year combined norm
0,Stanford University,167.717099206,18.6923312982,1406215.03199
1,University of California-Berkeley,146.842399127,12.8305112379,1240530.47127
2,Massachusetts Institute of Technology,136.785582638,8.37917572302,448608.492899
3,Carnegie Mellon University,416.571840689,17.5848746109,596132.967436
4,University of Illinois at Urbana-Champaign,150.062609204,7.94809778961,447644.752725
5,Princeton University,18.3900187735,0.131313438403,686.63796941
6,Cornell University,114.111635547,6.46395554011,237003.669678
7,University of California-Santa Barbara,33.4946920696,0.53411284272,4009.5851103
8,University of North Carolina at Chapel Hill,2.78475177305,0.0,0.0
9,University of California-Los Angeles,68.9641717325,0.285024238458,3044.38474011
10,University of Texas at Austin,75.1882631067,2.94614038941,93973.3319446
11,Georgia Institute of Technology,86.9587165425,1.83628703658,48216.8798392
12,Michigan State University,41.772208316,0.945345725264,10204.9096251
13,University of Maryland College Park,24.286269295,1.40573929046,39116.1102853
14,University of California-San Diego,42.2501631504,0.2771387532,1578.55240498
15,University of Michigan-Ann Arbor,25.0097136645,0.666247636118,5879.2751565
16,University of Southern California,315.287720132,20.3482860229,1316206.14034
17,University of Pennsylvania,137.919064009,14.4603782732,502578.893602
18,University of Massachusetts Amherst,123.505940051,5.05308389193,128611.044937
19,University of Wisconsin-Madison,43.071139339,2.0647935736,32330.1767902
20,Harvard University,40.6080003278,2.67754912665,54269.1631087
21,University of Rochester,85.9527030507,9.31054398602,426431.950344
22,University of Washington,194.285183116,17.2297719297,834664.890978
23,Purdue University Main Campus,40.0688999487,0.786716671357,8231.29256504
24,Duke University,31.4117554088,0.0612228818113,341.623680507
25,New York University,70.2054450504,4.97486667999,282830.508755
26,Tufts University,9.67672686096,0.0,0.0
27,State University of New York at Stony Brook,8.24688151856,0.0151501244774,35.1363691146
28,Louisiana State University and Agricultural and Mechanical College,4.65085076584,0.0,0.0
29,University of California-Riverside,26.8087027644,0.00928056792842,93.4738801751
30,Penn State University,0.0976220275344,0.0,0.0
31,University of Minnesota-Twin Cities,1.95889653734,0.0,0.0
32,Brown University,56.7931257535,5.38945730952,298026.210302
33,Rice University,9.19620661156,0.0,0.0
34,University of California-Irvine,56.782394422,0.20651476988,1457.96973455
35,Ohio State University Main Campus,5.20326449729,0.0,0.0
36,Yale University,38.0804484676,3.57898138699,162581.134989
37,Arizona State University,58.8416535019,0.0491070278783,532.198906883
38,University of Nebraska - Lincoln,1.27409261577,0.0,0.0
39,Columbia University In The City of New York,4.6269294952,0.0336127920194,241.205395531
40,University of Connecticut,10.8413642053,0.0166609435457,60.8120431024
41,University of California-Davis,18.5393293732,0.015111481945,73.1849070598
42,State University of New York at Buffalo,1.05234668335,0.0,0.0
43,Texas A & M University,1.13262411348,0.0,0.0
44,University of Oklahoma Norman Campus,4.90761780307,0.0,0.0
45,University of Pittsburgh Pittsburgh Campus,3.73393825615,0.0,0.0
46,University of Utah,27.0364831039,2.50482802478,60324.0264263
47,University of California-Santa Cruz,51.6316340366,2.2287332181,103530.631455
48,Indiana University at Bloomington,8.24035947712,0.299886123167,1521.62218895
49,University of Virginia,12.267781155,0.593821301548,3534.70629629
50,University of South Florida,10.2527892008,0.0,0.0
51,University of Arizona,23.1502159654,2.87373555216,48987.6002605
52,Virginia Polytechnic Institute and State University,4.1093450146,0.0,0.0
53,University of Chicago,15.4819236718,0.185947959751,3330.69985506
54,Washington University In St. Louis,0.578791671407,0.0,0.0
55,Georgia State University,4.49524926992,0.0,0.0
56,North Carolina State University,26.155038021,0.0554777418942,405.700181973
57,University of Tennessee,19.934366619,0.155302672681,2256.39253139
58,Johns Hopkins University,98.2405301728,20.990012228,790980.786606
59,Vanderbilt University,12.2612599541,0.0,0.0
60,Florida Institute of Technology,4.78396954526,0.0,0.0
61,University of Colorado at Boulder,17.6591468502,0.565300115821,10882.4530613
62,Lehigh University,12.6949833125,0.0159439017386,64.7800727641
63,University of Central Florida,21.1357321652,0.257605348931,2186.81180707
64,University of Kentucky,13.4140018773,0.0100527131515,7.5696930031
65,Florida State University,5.95917813934,0.0,0.0
66,Oklahoma State University Main Campus,1.19639132249,0.0,0.0
67,Washington State University,14.9712434346,0.0215756111404,59.3113550249
68,Iowa State University,11.3032808868,0.021609735331,95.1828047742
69,Northwestern University,68.7604210124,1.00872328703,11042.81166
70,Dartmouth College,10.0575406758,0.00540725132059,37.0126352894
71,Boston University,7.04149730814,0.0144904508853,39.8922112871
72,University of Georgia,6.22391009595,0.0,0.0
73,Rutgers The State University of New Jersey New Brunswick Campus,0.375448477263,0.0,0.0
74,University of Maryland Baltimore County,4.73522993485,0.0101573726417,23.3822718213
75,California Institute of Technology,14.4982016211,0.0973808846166,306.295514845
76,University of Delaware,38.4187456543,1.74184507045,35603.7740761
77,University of Texas at Dallas,85.3872997535,8.80384138416,379838.237912
78,University of Cincinnati Main Campus,4.16551939925,0.0,0.0
79,Kent State University Main Campus,3.07240821861,0.0,0.0
80,Oregon State University,52.2699068401,2.71792529841,79476.4797317
81,University of Iowa,7.01880649423,0.00519695179089,12.1920489014
82,Rensselaer Polytechnic Institute,47.0920948194,3.62930217156,131524.26062
83,University of Florida,15.036128494,0.00957209202492,22.1324006415
84,Northeastern University,40.5028534235,0.692347472859,9878.2878537
85,Illinois Institute of Technology,10.5353028091,0.0843142300985,458.879559714
86,Auburn University,1.91035669587,0.0,0.0
87,Wayne State University,6.35826032541,0.0,0.0
88,University of Oregon,15.1340798021,0.0,0.0
89,Wright State University Main Campus,14.4575458907,0.236724820595,2354.25505205
90,University of Illinois at Chicago,63.1791760805,2.64561089788,81339.1748212
