,Name,Natural language processing pscore 5 years,Natural language processing year 5 years,Natural language processing year combined 5 years
0,Stanford University,116599.834524,14302.9202673,1085441481.68
1,University of California-Berkeley,102110.793651,10415.6935224,1018662236.58
2,Massachusetts Institute of Technology,87573.7071429,6757.74291882,373517550.249
3,Carnegie Mellon University,270260.482143,12689.069967,422759270.56
4,University of Illinois at Urbana-Champaign,104518.002381,6024.97945162,329802118.214
5,Princeton University,11570.8833333,90.4500281844,472963.197376
6,Cornell University,79970.677381,4905.75520197,178716957.52
7,University of California-Santa Barbara,24080.4444444,457.316939478,3433078.26466
8,University of North Carolina at Chapel Hill,2443.75,0.0,0.0
9,University of California-Los Angeles,45765.6690476,183.367313309,1939617.8939
10,University of Texas at Austin,49221.0952381,2093.04745727,64862060.3089
11,Georgia Institute of Technology,61054.8190476,1497.77577455,39251261.9036
12,Michigan State University,29123.6880952,670.958654773,7201789.398
13,University of Maryland College Park,17526.4880952,1127.92780429,31481724.914
14,University of California-San Diego,28195.2285714,314.36916516,1750086.24351
15,University of Michigan-Ann Arbor,16335.7,556.101886263,4640634.30927
16,University of Southern California,208274.75,15362.1717979,1000493212.05
17,University of Pennsylvania,103981.15,11270.7753179,394079182.673
18,University of Massachusetts Amherst,84520.3166667,3925.36826579,101188929.706
19,University of Wisconsin-Madison,27268.5142857,1561.72857452,24550558.5588
20,Harvard University,29250.4333333,2596.37019481,44211605.9381
21,University of Rochester,58707.4595238,6882.13718489,318081602.762
22,University of Washington,135117.549206,14352.2960109,706235845.687
23,Purdue University Main Campus,28293.5404762,649.24359014,6859369.27677
24,Duke University,19905.4416667,38.4679855086,214651.359138
25,New York University,48867.247619,3543.70840766,202429417.922
26,Tufts University,6398.16666667,0.0,0.0
27,State University of New York at Stony Brook,5544.75,10.5838222183,24010.0905356
28,Louisiana State University and Agricultural and Mechanical College,3296.16666667,0.0,0.0
29,University of California-Riverside,19760.8055556,4.88034642458,49154.8491884
30,Penn State University,44.0,0.0,0.0
31,University of Minnesota-Twin Cities,1716.5,0.0,0.0
32,Brown University,36677.6,3712.48614875,205293059.053
33,Rice University,5750.35952381,0.0,0.0
34,University of California-Irvine,38131.7083333,211.097120604,1358330.78162
35,Ohio State University Main Campus,2719.91666667,0.0,0.0
36,Yale University,27362.3833333,2736.16489764,124348399.422
37,Arizona State University,41248.5416667,42.6320853447,321434.812263
38,University of Nebraska - Lincoln,871.333333333,0.0,0.0
39,Columbia University In The City of New York,2736.16666667,20.4646111193,146854.049392
40,University of Connecticut,8485.41666667,12.2937456015,46072.4078734
41,University of California-Davis,15934.8111111,10.1582491582,49196.4006734
42,State University of New York at Buffalo,1042.53333333,0.0,0.0
43,Texas A & M University,668.166666667,0.0,0.0
44,University of Oklahoma Norman Campus,3968.16666667,0.0,0.0
45,University of Pittsburgh Pittsburgh Campus,1814.83333333,0.0,0.0
46,University of Utah,21511.3,2340.43172571,56774686.1381
47,University of California-Santa Cruz,35934.5,1621.27398991,75077547.8654
