,Name,Natural language processing pscore,Natural language processing year,Natural language processing year combined
0,Stanford University,268011.924531,29870.3454145,2247131621.12
1,University of California-Berkeley,234654.153805,20503.1569582,1982367693.08
2,Massachusetts Institute of Technology,218583.361056,13389.9228054,716876371.652
3,Carnegie Mellon University,665681.801421,28100.6296283,952620481.963
4,University of Illinois at Urbana-Champaign,239800.049508,12701.0602678,715336314.854
5,Princeton University,29387.25,209.838874568,1097247.47512
6,Cornell University,182350.393604,10329.4009531,378731864.146
7,University of California-Santa Barbara,53524.5179272,853.512322666,6407317.00626
8,University of North Carolina at Chapel Hill,4450.03333333,0.0,0.0
9,University of California-Los Angeles,110204.746429,455.468733056,4864926.8147
10,University of Texas at Austin,120150.844444,4707.93234228,150169384.448
11,Georgia Institute of Technology,138960.029035,2934.38668445,77050573.983
12,Michigan State University,66751.9888889,1510.66246897,16307445.5809
13,University of Maryland College Park,38809.4583333,2246.37138616,62507544.236
14,University of California-San Diego,67515.7607143,442.867727613,2522526.74315
15,University of Michigan-Ann Arbor,39965.5224359,1064.66372252,9395081.70008
16,University of Southern California,503829.77677,32516.5610646,2103297412.26
17,University of Pennsylvania,220394.664286,23107.6844805,803121071.975
18,University of Massachusetts Amherst,197362.492202,8074.82805931,205520449.81
19,University of Wisconsin-Madison,68827.6806637,3299.54013061,51663622.5107
20,Harvard University,64891.5845238,4278.72350439,86722122.6477
21,University of Rochester,137352.419475,14878.2492897,681438256.649
22,University of Washington,310467.722619,27533.1755437,1333794495.78
23,Purdue University Main Campus,64030.102118,1257.17324083,13153605.5189
24,Duke University,50195.9851433,97.8341651344,545914.64145
25,New York University,112188.30119,7949.83695463,451963152.99
26,Tufts University,15463.4095238,0.0,0.0
27,State University of New York at Stony Brook,13178.5166667,24.2098989149,56147.9178451
28,Louisiana State University and Agricultural and Mechanical College,7432.05952381,0.0,0.0
29,University of California-Riverside,42840.3070175,14.8303475496,149371.26052
30,Penn State University,156.0,0.0,0.0
31,University of Minnesota-Twin Cities,3130.31666667,0.0,0.0
32,Brown University,90755.4149541,8612.35278061,476245884.062
33,Rice University,14695.5381653,0.0,0.0
34,University of California-Irvine,90738.2662864,330.010602268,2329835.63581
35,Ohio State University Main Campus,8314.81666667,0.0,0.0
36,Yale University,60852.5566512,5719.21225641,259804653.712
37,Arizona State University,94028.962296,78.4730305495,850453.8532
38,University of Nebraska - Lincoln,2036.0,0.0,0.0
39,Columbia University In The City of New York,7393.83333333,53.713241647,385446.222059
40,University of Connecticut,17324.5,26.624187786,97177.6448777
41,University of California-Davis,29625.8483384,24.1481481481,116949.481481
42,State University of New York at Buffalo,1681.65,0.0,0.0
43,Texas A & M University,1809.93333333,0.0,0.0
44,University of Oklahoma Norman Campus,7842.3732493,0.0,0.0
45,University of Pittsburgh Pittsburgh Campus,5966.83333333,0.0,0.0
46,University of Utah,43204.3,4002.71518359,96397794.2292
47,University of California-Santa Cruz,82507.3511905,3561.51568252,165441949.064
48,Indiana University at Bloomington,13168.0944444,479.218024821,2431552.25794
49,University of Virginia,19603.9142857,948.926439874,5648460.66147
50,University of South Florida,16383.9571429,0.0,0.0
51,University of Arizona,36994.0451128,4592.22941235,78282185.2163
52,Virginia Polytechnic Institute and State University,6566.73333333,0.0,0.0
53,University of Chicago,24740.1140275,297.144839682,5322458.36839
54,Washington University In St. Louis,924.909090909,0.0,0.0
55,Georgia State University,7183.40833333,0.0,0.0
56,North Carolina State University,41795.7507576,88.653431547,648308.890793
57,University of Tennessee,31855.1178571,248.173670945,3605715.26515
58,Johns Hopkins University,156988.367216,33542.0395403,1263987297.0
59,Vanderbilt University,19593.4934066,0.0,0.0
60,Florida Institute of Technology,7644.78333333,0.0,0.0
61,University of Colorado at Boulder,28219.3166667,903.349585082,17390159.992
62,Lehigh University,20286.5833333,25.4783549784,103518.556277
63,University of Central Florida,33774.9,411.653347591,3494525.2677
64,University of Kentucky,21435.575,16.0642356161,12096.369419
65,Florida State University,9522.76666667,0.0,0.0
66,Oklahoma State University Main Campus,1911.83333333,0.0,0.0
67,Washington State University,23924.0470085,34.4778266023,94779.5453298
68,Iowa State University,18062.6428571,34.5323570589,152102.122029
69,Northwestern University,109879.152778,1611.93981267,17646413.0326
70,Dartmouth College,16071.95,8.6407876103,59146.1911925
71,Boston University,11252.3126984,23.1557405147,63747.7536368
72,University of Georgia,9945.80833333,0.0,0.0
73,Rutgers The State University of New Jersey New Brunswick Campus,599.966666667,0.0,0.0
74,University of Maryland Baltimore County,7566.8974359,16.2314814815,37364.8703704
75,California Institute of Technology,23168.1261905,155.614653617,489460.232722
76,University of Delaware,61393.1555556,2783.46842258,56894830.9737
77,University of Texas at Dallas,136448.905006,14068.5385319,606981504.184
78,University of Cincinnati Main Campus,6656.5,0.0,0.0
79,Kent State University Main Campus,4909.70833333,0.0,0.0
80,Oregon State University,83527.3111305,4343.24462686,127003414.611
81,University of Iowa,11216.0527778,8.30472896184,19482.8941445
82,Rensselaer Polytechnic Institute,75253.1675214,5799.62487016,210175768.471
83,University of Florida,24027.7333333,15.2962030558,35367.5762251
84,Northeastern University,64723.5597708,1106.37126163,15785503.9902
85,Illinois Institute of Technology,16835.4138889,134.734139697,733289.536423
86,Auburn University,3052.75,0.0,0.0
87,Wayne State University,10160.5,0.0,0.0
88,University of Oregon,24184.2595238,0.0,0.0
89,Wright State University Main Campus,23103.1583333,378.286263311,3762099.57318
90,University of Illinois at Chicago,100960.323377,4227.68621482,129980001.364
91,Brandeis University,57186.4261905,7559.69951247,184447981.364
92,North Dakota State University Main Campus,8089.66666667,29.7358207442,51580.108128
93,City University of New York Grad. Center,402.666666667,0.0,0.0
94,State University of New York at Binghamton,2564.41666667,0.0,0.0
95,University of North Carolina at Charlotte,16301.0981685,11.0935832044,38385.4661133
96,Case Western Reserve University,23551.8369048,63.2696941076,313248.255527
97,University of New Mexico Main Campus,6197.26666667,0.0,0.0
98,Syracuse University Main Campus,37415.6666667,54.1716869071,78386.4309545
99,New Mexico State University Main Campus,415.166666667,0.0,0.0
100,New Jersey Institute of Technology,119.5,0.0,0.0
101,University of South Carolina Columbia,11545.7972222,0.0,0.0
102,College of William and Mary,5620.21666667,0.0,0.0
103,Florida International University,26580.1833333,53.4958304918,1248913.65866
104,George Washington University,44430.5333333,8715.88630132,354855407.774
105,Old Dominion University,11317.55,41.5807041236,277010.650871
106,Texas Tech University,11042.8833333,3.90421472367,2891.26939838
107,University of Kansas,21235.2416667,35.6041188334,94956.1849287
108,University of Arkansas Main Campus,4487.9,7.87848142231,14504.2842985
109,University of Alabama,5829.85,4.8019909659,17215.1376128
110,Mississippi State University,13413.95,14.3782165917,11200.6307249
111,University of Houston,15081.675,0.0,0.0
112,University of North Texas,13642.6333333,12.8551235968,23187.5518886
113,Clemson University,4653.71111111,0.0,0.0
114,State University of New York at Albany,36130.9178571,2513.3407888,56615753.404
115,Brigham Young University,26600.7916667,759.663590003,10536370.2961
116,Kansas State University,5091.43333333,0.0,0.0
117,University of Alabama In Huntsville,1971.55,1.97429171963,382.874181299
118,University of Memphis,18227.6666667,123.845459295,1340503.25141
119,Temple University,32709.7666667,3184.19830701,50952353.9273
120,University of Louisiana at Lafayette,10328.8,0.0,0.0
121,University of Alabama at Birmingham,12688.1666667,734.462413062,7892533.09076
122,Oregon Health and Science University,86212.1904762,10788.6217597,458510872.276
123,Western Michigan University,966.5,0.0,0.0
