,Name,Operating system pscore norm,Operating system year norm,Operating system year combined norm
0,Stanford University,334.467934073,8.25650957703,77136.0954942
1,University of California-Berkeley,373.032038355,7.5400235953,115539.233898
2,Massachusetts Institute of Technology,381.219901008,12.1255328802,177376.757618
3,Carnegie Mellon University,344.566088383,6.03910343623,69215.173739
4,University of Illinois at Urbana-Champaign,411.692653427,1.74760083715,7666.24520748
5,Princeton University,156.148485533,5.40090984364,52146.0336936
6,Cornell University,259.353937018,6.79860034227,61908.7063297
7,University of California-Santa Barbara,159.433100202,0.314952475972,1789.34875528
8,University of North Carolina at Chapel Hill,10.8788677918,0.0,0.0
9,University of California-Los Angeles,217.505336213,1.42451125728,18343.4247858
10,University of Texas at Austin,188.359049126,3.03313961254,16226.7317201
11,Georgia Institute of Technology,350.5163119,1.48613044697,18508.8501304
12,Michigan State University,106.291356071,0.112142099435,777.336174212
13,University of Maryland College Park,57.5869072735,0.0149358441316,57.3685773095
14,University of California-San Diego,233.327431183,6.49471411568,72425.1614842
15,University of Michigan-Ann Arbor,11.9976698583,0.0181257693833,36.4327964604
16,University of Southern California,233.968708044,1.75635528942,8138.45006255
17,University of Pennsylvania,115.941327607,1.1809726522,5828.66974125
18,University of Massachusetts Amherst,186.462035498,1.33032760429,6309.77839514
19,University of Wisconsin-Madison,185.51397128,7.1728884815,78919.2961272
20,Harvard University,91.3990079365,3.3390552531,25953.6605199
21,University of Rochester,65.5871405903,1.19014121191,8311.95171477
22,University of Washington,198.707116067,5.89177748933,73685.3518415
23,Purdue University Main Campus,215.686629303,1.03175222905,5704.61720379
24,Duke University,136.902343207,1.73346012336,11087.3652058
25,New York University,113.638692988,2.13338929706,9122.91842918
26,Tufts University,19.4854882459,0.0270510895454,34.0344053506
27,State University of New York at Stony Brook,49.5576652602,0.301256531242,2247.53691981
28,Louisiana State University and Agricultural and Mechanical College,29.7208710066,0.0,0.0
29,University of California-Riverside,134.508557258,0.248725463792,1197.54995699
30,Penn State University,0.525316455696,0.0,0.0
31,University of Minnesota-Twin Cities,8.53776371308,0.0,0.0
32,Brown University,93.2550477812,0.834674486549,6912.49508573
33,Rice University,89.2230138047,0.850811066318,4775.31183125
34,University of California-Irvine,178.006540432,0.0774433461103,362.602871462
35,Ohio State University Main Campus,28.0716596343,0.124202954176,314.179919167
36,Yale University,91.3828590464,1.79202826308,8024.31770199
37,Arizona State University,112.892145583,0.0838738148865,162.931683413
38,University of Nebraska - Lincoln,5.30379746835,0.0173758428527,25.4382339363
39,Columbia University In The City of New York,8.92791842475,0.0,0.0
40,University of Connecticut,55.1784106892,0.0183592509414,142.155680039
41,University of California-Davis,127.0573803,0.122331808041,571.894190362
42,State University of New York at Buffalo,9.93621659634,0.0238299662379,27.4282911398
43,Texas A & M University,11.9980661041,0.00946704018015,18.7731406772
44,University of Oklahoma Norman Campus,29.6752151071,0.0,0.0
45,University of Pittsburgh Pittsburgh Campus,5.27848101266,0.0,0.0
46,University of Utah,59.1874824191,0.393255590013,1187.36742312
47,University of California-Santa Cruz,87.8936809323,0.993615944101,4929.95615712
48,Indiana University at Bloomington,31.8169479606,0.0,0.0
49,University of Virginia,120.663728149,0.305203509356,1109.47789413
50,University of South Florida,35.7662698413,0.0514369777447,40.3113882684
51,University of Arizona,81.1867519537,2.36500480111,32832.6394794
52,Virginia Polytechnic Institute and State University,15.2394514768,0.0,0.0
53,University of Chicago,67.7100005148,0.74885842643,3079.85542249
54,Washington University In St. Louis,16.8980948728,0.0240042295521,135.839935035
55,Georgia State University,41.8276019691,0.0,0.0
56,North Carolina State University,131.490031113,0.424672089835,1614.53058329
57,University of Tennessee,78.2850236086,0.161162503602,638.525839272
58,Johns Hopkins University,57.0113985873,0.416972944611,1639.15696278
59,Vanderbilt University,44.9191218065,0.0212007130601,160.612409983
60,Florida Institute of Technology,16.2050281294,0.0,0.0
61,University of Colorado at Boulder,40.8408931083,0.492933885711,3211.72619109
62,Lehigh University,14.7607243319,0.0292463258767,76.3329105382
63,University of Central Florida,55.0413795124,0.0,0.0
64,University of Kentucky,58.2070499297,0.0325265560492,154.055841064
65,Florida State University,52.3904711674,0.0398314718173,72.9362706251
66,Oklahoma State University Main Campus,13.5944092827,0.0,0.0
67,Washington State University,39.7883037614,0.103784057601,198.552414178
68,Iowa State University,43.8260749447,0.0158651054228,19.2662290845
69,Northwestern University,117.326324426,0.357439364395,2063.33194252
70,Dartmouth College,68.1531997187,0.150839800775,779.443398731
71,Boston University,60.9951493537,0.30109609334,878.92722652
72,University of Georgia,19.9918073136,0.0127631438693,18.7362952002
73,Rutgers The State University of New Jersey New Brunswick Campus,10.1528481013,0.263107259992,1923.84028506
74,University of Maryland Baltimore County,14.4542626853,0.0,0.0
75,California Institute of Technology,47.2414280691,0.106513401152,598.027363021
76,University of Delaware,27.896331458,0.0,0.0
77,University of Texas at Dallas,159.68824181,0.265597122184,1335.35852429
78,University of Cincinnati Main Campus,33.8343881857,0.0,0.0
79,Kent State University Main Campus,23.6518401313,0.0,0.0
80,Oregon State University,55.6120864192,0.0,0.0
