,Name,Operating system pscore 5 years,Operating system year 5 years,Operating system year combined 5 years
0,Stanford University,29232.6738095,830.439090938,7526468.34371
1,University of California-Berkeley,36902.3706349,855.173019583,13396744.3086
2,Massachusetts Institute of Technology,34191.3345238,1203.72570937,17794568.5636
3,Carnegie Mellon University,35408.7615079,668.847678445,7591047.62119
4,University of Illinois at Urbana-Champaign,38307.3781746,210.122770616,832338.820844
5,Princeton University,15243.3833333,633.83604142,6065388.2441
6,Cornell University,23646.9107143,761.35431009,6671679.7874
7,University of California-Santa Barbara,14085.0222222,26.0063442825,149554.011824
8,University of North Carolina at Chapel Hill,1173.83333333,0.0,0.0
9,University of California-Los Angeles,18581.2555556,136.992775725,1733075.05536
10,University of Texas at Austin,16353.7369048,318.963908534,1714314.93872
11,Georgia Institute of Technology,28722.077381,147.735424905,1795408.47591
12,Michigan State University,8345.26666667,9.06661012044,57889.5484587
13,University of Maryland College Park,3732.40238095,0.913403098679,3508.38130203
14,University of California-San Diego,23848.897619,723.889652029,7959634.65178
15,University of Michigan-Ann Arbor,1806.93333333,2.0733786172,4167.49102058
16,University of Southern California,23468.175,203.419306736,935948.820033
17,University of Pennsylvania,10544.1166667,174.996176575,862814.75861
18,University of Massachusetts Amherst,16951.3452381,154.925085026,708026.468384
19,University of Wisconsin-Madison,19228.0071429,893.874094401,10014700.5434
20,Harvard University,8362.19166667,370.618797005,2691874.78565
21,University of Rochester,6253.43095238,120.609842697,819830.779694
22,University of Washington,21825.9460317,647.261998975,7973596.99907
23,Purdue University Main Campus,17444.3373016,121.822592567,654606.376247
24,Duke University,12661.2777778,173.479124181,1072961.6261
25,New York University,10634.2702381,242.063628877,1035127.50346
26,Tufts University,1787.58333333,2.46214191617,2866.91600685
27,State University of New York at Stony Brook,4164.08333333,28.9100995712,199594.500651
28,Louisiana State University and Agricultural and Mechanical College,2140.5,0.0,0.0
29,University of California-Riverside,11966.6888889,24.140545628,102131.912925
30,Penn State University,24.5,0.0,0.0
31,University of Minnesota-Twin Cities,835.583333333,0.0,0.0
32,Brown University,7232.28333333,88.8530455818,551272.588864
33,Rice University,7518.23015873,101.880610069,595741.326761
34,University of California-Irvine,15317.1230159,6.46528746004,30660.9549398
35,Ohio State University Main Campus,1649.41666667,7.61982404382,17686.605223
36,Yale University,7486.6,220.859641248,988917.836039
37,Arizona State University,9290.68333333,7.22266622267,13716.4067044
38,University of Nebraska - Lincoln,629.5,2.84280735865,4161.86997306
39,Columbia University In The City of New York,409.5,0.0,0.0
40,University of Connecticut,4452.75,1.13951612903,8823.2733871
41,University of California-Davis,10873.7638889,9.72492621279,49262.6250874
42,State University of New York at Buffalo,887.45,4.64382401596,5345.04144237
43,Texas A & M University,796.833333333,0.734027320718,1455.57617698
44,University of Oklahoma Norman Campus,2106.18333333,0.0,0.0
45,University of Pittsburgh Pittsburgh Campus,275.666666667,0.0,0.0
46,University of Utah,5878.7,43.5208270306,135831.122122
47,University of California-Santa Cruz,8304.38333333,110.2689133,504892.767925
48,Indiana University at Bloomington,2889.3047619,0.0,0.0
49,University of Virginia,10468.6095238,25.1590143971,88649.482739
50,University of South Florida,2888.91666667,5.23692810458,4067.12418301
51,University of Arizona,6415.91666667,230.036186653,3287933.85691
52,Virginia Polytechnic Institute and State University,949.9,0.0,0.0
53,University of Chicago,5968.48690476,96.0647712589,345096.915964
54,Washington University In St. Louis,1338.16666667,2.04286858974,11560.5933494
55,Georgia State University,3278.15,0.0,0.0
56,North Carolina State University,11757.25,46.8068419169,176295.6928
57,University of Tennessee,7265.28452381,19.9105237188,78885.4949738
58,Johns Hopkins University,5132.3,52.658030049,209914.590895
59,Vanderbilt University,4160.2952381,1.69636163143,12330.6101712
60,Florida Institute of Technology,1472.83333333,0.0,0.0
61,University of Colorado at Boulder,3108.75,43.7511945806,287622.037042
62,Lehigh University,1348.66666667,2.12845596473,5555.27006793
63,University of Central Florida,4659.71428571,0.0,0.0
64,University of Kentucky,4250.09761905,2.41495449171,13826.8930872
65,Florida State University,4817.3,4.17348956687,7758.23964346
66,Oklahoma State University Main Campus,1093.66666667,0.0,0.0
67,Washington State University,4162.675,9.87045735455,18248.937236
68,Iowa State University,3136.5,1.52225216167,1844.71262195
69,Northwestern University,12227.1535714,36.4431835519,211656.713954
70,Dartmouth College,5265.91666667,16.2995004684,81787.5358754
71,Boston University,6263.4452381,40.954151402,115622.220162
72,University of Georgia,1534.16666667,1.59569235851,2342.47638229
73,Rutgers The State University of New Jersey New Brunswick Campus,1409.33333333,38.6855105971,282868.453486
74,University of Maryland Baltimore County,1217.6,0.0,0.0
75,California Institute of Technology,3347.0,7.39571228907,38544.7785335
76,University of Delaware,3207.77777778,0.0,0.0
77,University of Texas at Dallas,12317.0333333,24.0295741987,118950.225969
78,University of Cincinnati Main Campus,2118.5,0.0,0.0
79,Kent State University Main Campus,1791.40952381,0.0,0.0
80,Oregon State University,5899.7952381,0.0,0.0
81,University of Iowa,2436.0797619,3.23043887679,3970.47326124
82,Rensselaer Polytechnic Institute,3795.34166667,0.0,0.0
83,University of Florida,8622.04404762,5.08949485062,7721.82671188
84,Northeastern University,9250.13333333,134.96534708,369329.577553
85,Illinois Institute of Technology,5144.76666667,0.0,0.0
86,Auburn University,2125.75,1.39843396753,6870.50608248
87,Wayne State University,4589.27857143,6.52119706955,11470.653346
88,University of Oregon,4118.8547619,10.2108991967,24672.3653098
89,Wright State University Main Campus,1818.08333333,0.0,0.0
90,University of Illinois at Chicago,8365.34761905,18.8470020013,20324.0050378
91,Brandeis University,1211.4,22.3401718897,135828.245089
92,North Dakota State University Main Campus,1617.68333333,0.0,0.0
93,City University of New York Grad. Center,104.0,0.0,0.0
94,State University of New York at Binghamton,877.0,1.73729119326,2446.10600012
95,University of North Carolina at Charlotte,2495.48333333,2.12154473135,1173.21423643
96,Case Western Reserve University,3749.81666667,2.76463351762,14541.2205091
97,University of New Mexico Main Campus,232.95,0.0,0.0
98,Syracuse University Main Campus,3801.1,1.90098884382,9090.52865115
99,New Mexico State University Main Campus,47.5,0.0,0.0
100,New Jersey Institute of Technology,22.0,0.0,0.0
101,University of South Carolina Columbia,2176.84761905,1.93143452565,4612.26564726
102,College of William and Mary,5016.31666667,25.5458623072,134137.920443
103,Florida International University,4680.28333333,44.3887016121,103028.344983
104,George Washington University,3123.45,15.9313740635,39563.3278047
105,Old Dominion University,3211.41666667,1.39106585006,2503.55697342
106,Texas Tech University,1155.16666667,0.0,0.0
107,University of Kansas,3569.42777778,0.0,0.0
