,Name,Operating system pscore,Operating system year,Operating system year combined
0,Stanford University,158537.800751,3913.58553951,36562509.2642
1,University of California-Berkeley,176817.18618,3573.97118417,54765596.8678
2,Massachusetts Institute of Technology,180698.233078,5747.5025852,84076583.1107
3,Carnegie Mellon University,163324.325894,2862.53502877,32807992.3523
4,University of Illinois at Urbana-Champaign,195142.317724,828.362796808,3633800.22835
5,Princeton University,74014.3821429,2560.03126589,24717219.9707
6,Cornell University,122933.766147,3222.53656224,29344726.8003
7,University of California-Santa Barbara,75571.2894958,149.287473611,848151.310002
8,University of North Carolina at Chapel Hill,5156.58333333,0.0,0.0
9,University of California-Los Angeles,103097.529365,675.218335952,8694783.34845
10,University of Texas at Austin,89282.1892857,1437.70817634,7691470.83533
11,Georgia Institute of Technology,166144.73184,704.425831865,8773194.9618
12,Michigan State University,50382.1027778,53.155355132,368457.346576
13,University of Maryland College Park,27296.1940476,7.07959011838,27192.7056447
14,University of California-San Diego,110597.202381,3078.49449083,34329526.5435
15,University of Michigan-Ann Arbor,5686.89551282,8.59161468767,17269.1455222
16,University of Southern California,110901.167613,832.512407185,3857625.32965
17,University of Pennsylvania,54956.1892857,559.781037142,2762789.45735
18,University of Massachusetts Amherst,88383.0048259,630.575284435,2990834.9593
19,University of Wisconsin-Madison,87933.6223868,3399.94914023,37407746.3643
20,Harvard University,43323.1297619,1582.71218997,12302035.0864
21,University of Rochester,31088.3046398,564.126934445,3939865.1128
22,University of Washington,94187.1730159,2792.70252994,34926856.7729
23,Purdue University Main Campus,102235.46229,489.050556568,2703988.5546
24,Duke University,64891.7106802,821.660098472,5255411.10756
25,New York University,53864.7404762,1011.22652681,4324263.33543
26,Tufts University,9236.12142857,12.8222164445,16132.3081362
27,State University of New York at Stony Brook,23490.3333333,142.795595809,1065332.49999
28,Louisiana State University and Agricultural and Mechanical College,14087.6928571,0.0,0.0
29,University of California-Riverside,63757.0561404,117.895869838,567638.679614
30,Penn State University,249.0,0.0,0.0
31,University of Minnesota-Twin Cities,4046.9,0.0,0.0
32,Brown University,44202.8926483,395.635706624,3276522.67064
33,Rice University,42291.7085434,403.284445435,2263497.80801
34,University of California-Irvine,84375.1001646,36.7081460563,171873.761073
35,Ohio State University Main Campus,13305.9666667,58.8722002794,148921.281685
36,Yale University,43315.475188,849.421396698,3803526.59074
37,Arizona State University,53510.8770063,39.7561882562,77229.6179376
38,University of Nebraska - Lincoln,2514.0,8.23614951217,12057.7228858
39,Columbia University In The City of New York,4231.83333333,0.0,0.0
40,University of Connecticut,26154.5666667,8.70228494624,67381.7923387
41,University of California-Davis,60225.198262,57.9852770115,271077.846232
42,State University of New York at Buffalo,4709.76666667,11.2954039968,13001.0100003
43,Texas A & M University,5687.08333333,4.48737704539,8898.46868101
44,University of Oklahoma Norman Campus,14066.0519608,0.0,0.0
45,University of Pittsburgh Pittsburgh Campus,2502.0,0.0,0.0
46,University of Utah,28054.8666667,186.403149666,562812.158558
47,University of California-Santa Cruz,41661.6047619,470.973957504,2336799.21848
48,Indiana University at Bloomington,15081.2333333,0.0,0.0
49,University of Virginia,57194.6071429,144.666463435,525892.521819
50,University of South Florida,16953.2119048,24.381127451,19107.5980392
51,University of Arizona,38482.5204261,1121.01227573,15562671.1132
52,Virginia Polytechnic Institute and State University,7223.5,0.0,0.0
53,University of Chicago,32094.540244,354.958894128,1459851.47026
54,Washington University In St. Louis,8009.6969697,11.3780048077,64388.1292067
55,Georgia State University,19826.2833333,0.0,0.0
56,North Carolina State University,62326.2747475,201.294570582,765287.496481
57,University of Tennessee,37107.1011905,76.3910267075,302661.247815
58,Johns Hopkins University,27023.4029304,197.645175746,776960.40036
59,Vanderbilt University,21291.6637363,10.0491379905,76130.2823321
60,Florida Institute of Technology,7681.18333333,0.0,0.0
61,University of Colorado at Boulder,19358.5833333,233.650661827,1522358.21458
62,Lehigh University,6996.58333333,13.8627584656,36181.7995951
63,University of Central Florida,26089.6138889,0.0,0.0
64,University of Kentucky,27590.1416667,15.4175875673,73022.4686642
65,Florida State University,24833.0833333,18.8801176414,34571.7922763
