,Name,Parallel computing pscore norm,Parallel computing year norm,Parallel computing year combined norm
0,Stanford University,111.728819214,0.55402256106,13280.928023
1,University of California-Berkeley,187.541540601,2.80753840583,137968.228836
2,Massachusetts Institute of Technology,132.307671081,1.0450053224,20255.2651125
3,Carnegie Mellon University,134.06356859,0.452755545643,7339.13466396
4,University of Illinois at Urbana-Champaign,379.053257173,13.5099334243,1518633.3849
5,Princeton University,61.8839597673,0.693315017376,19043.6639535
6,Cornell University,78.3850176652,0.567553669621,16328.9741197
7,University of California-Santa Barbara,147.527013813,2.5760961576,97893.0316864
8,University of North Carolina at Chapel Hill,5.05619892928,0.0200013763319,79.4356565216
9,University of California-Los Angeles,135.365030726,0.660840015545,16249.4876545
10,University of Texas at Austin,123.46158341,2.95053797204,110701.363797
11,Georgia Institute of Technology,310.028484268,16.4367881828,1539060.16345
12,Michigan State University,114.662510566,3.22965619511,121806.948584
13,University of Maryland College Park,29.0287329429,1.00161327712,26814.1164854
14,University of California-San Diego,129.987909546,1.85980384195,44048.9464599
15,University of Michigan-Ann Arbor,5.70497919241,0.0,0.0
16,University of Southern California,254.110962989,9.11793590236,1282456.83775
17,University of Pennsylvania,46.4042671927,0.0620790087432,1129.42685266
18,University of Massachusetts Amherst,117.690624824,2.83933525242,161252.82947
19,University of Wisconsin-Madison,78.9410833118,0.893030021485,26324.6770615
20,Harvard University,26.60707644,0.035152073571,420.355512479
21,University of Rochester,45.8304386935,1.04171781764,24944.2932297
22,University of Washington,79.1546976415,1.0719690622,26714.8956382
23,Purdue University Main Campus,139.927450431,2.39361699144,63765.160246
24,Duke University,78.9491563429,0.93820471045,16062.0360934
25,New York University,59.7223996699,0.415827278614,4739.61160049
26,Tufts University,8.74638932496,0.0145839441888,21.6924065673
27,State University of New York at Stony Brook,26.6302761341,0.152378617672,2741.05289382
28,Louisiana State University and Agricultural and Mechanical College,33.2041883025,0.96629021635,16581.524905
29,University of California-Riverside,159.311782538,5.51019243263,474375.112088
