,Name,Parallel computing pscore,Parallel computing year,Parallel computing year combined
0,Stanford University,264350.386261,1310.81737947,31422675.7025
1,University of California-Berkeley,443723.285063,6642.63586818,326432829.426
2,Massachusetts Institute of Technology,313039.949778,2472.4825928,47923957.2562
3,Carnegie Mellon University,317194.403283,1071.21962099,17364392.6149
4,University of Illinois at Urbana-Champaign,896840.006471,31964.5024818,3593086588.67
5,Princeton University,146417.44881,1640.38333111,45057308.914
6,Cornell University,185458.951796,1342.83198232,38634352.7673
7,University of California-Santa Barbara,349048.914683,6095.04350889,231614912.97
8,University of North Carolina at Chapel Hill,11962.9666667,47.3232564013,187944.76333
9,University of California-Los Angeles,320273.662698,1563.54747678,38446287.7906
10,University of Texas at Austin,292110.106349,6980.97284184,261919426.743
11,Georgia Institute of Technology,733527.393778,38889.4408405,3641416346.72
12,Michigan State University,271291.5,7641.36655762,288195240.351
13,University of Maryland College Park,68681.9821429,2369.81701366,63442199.6045
14,University of California-San Diego,307551.393985,4400.29589004,104219807.324
15,University of Michigan-Ann Arbor,13497.9807692,0.0,0.0
16,University of Southern California,601226.538431,21573.036345,3034292878.11
17,University of Pennsylvania,109792.496178,146.878934686,2672223.93338
18,University of Massachusetts Amherst,278456.018333,6717.86720722,381524194.527
19,University of Wisconsin-Madison,186774.603116,2112.90903083,62284185.9276
20,Harvard University,62952.3428571,83.1698060689,994561.142526
21,University of Rochester,108434.817949,2464.70435653,59018197.7815
22,University of Washington,187280.01462,2536.27880116,63207443.0799
23,Purdue University Main Campus,331068.347719,5663.29780175,150868369.142
24,Duke University,186793.703907,2219.79234493,38002777.3969
25,New York University,141303.197619,983.847341202,11213921.0467
26,Tufts University,20693.9571429,34.5056119508,51324.2339383
27,State University of New York at Stony Brook,63007.2333333,360.527809411,6485331.14677
28,Louisiana State University and Agricultural and Mechanical College,78561.1095238,2286.24265188,39231887.9252
29,University of California-Riverside,376931.677485,13037.1152956,1122371515.2
30,Penn State University,875.0,0.0,0.0
31,University of Minnesota-Twin Cities,13219.0333333,87.1724776867,529325.702074
32,Brown University,76283.0155806,348.965384329,5368189.46834
33,Rice University,123600.635714,4164.12893059,160959221.601
34,University of California-Irvine,336510.486022,8738.58745369,406019923.465
35,Ohio State University Main Campus,23936.2333333,197.324347897,1443344.78932
36,Yale University,85711.6862155,390.96815905,4198555.32203
37,Arizona State University,236244.63862,2152.05781311,59913129.0704
38,University of Nebraska - Lincoln,21046.4166667,532.424036468,8045743.20218
39,Columbia University In The City of New York,3940.66666667,0.0,0.0
40,University of Connecticut,133430.95,2268.6176214,66925495.406
41,University of California-Davis,245852.151154,2314.00153332,70182186.9153
42,State University of New York at Buffalo,21819.65,222.809657154,2283651.43899
43,Texas A & M University,15496.7333333,157.047310498,1181809.66668
44,University of Oklahoma Norman Campus,123032.447059,6368.05793706,254472010.834
45,University of Pittsburgh Pittsburgh Campus,8735.66666667,104.240572301,577492.77055
46,University of Utah,135643.333333,2982.98014743,100219191.959
