,Name,Programming language pscore norm,Programming language year norm,Programming language year combined norm
0,Stanford University,258.456636716,6.52019030999,121979.468398
1,University of California-Berkeley,260.292419366,2.85725692098,38053.5080336
2,Massachusetts Institute of Technology,262.266265918,6.10350307118,109714.148885
3,Carnegie Mellon University,309.652579354,6.29545879691,71218.5749196
4,University of Illinois at Urbana-Champaign,417.218393337,6.35446007243,118594.503295
5,Princeton University,144.662903694,3.97923411737,66197.1484626
6,Cornell University,173.209403422,3.45799463634,33536.1452731
7,University of California-Santa Barbara,121.419760558,0.948866843527,5525.14159942
8,University of North Carolina at Chapel Hill,5.16297008547,0.0,0.0
9,University of California-Los Angeles,138.337331095,2.23914614928,44476.0002904
10,University of Texas at Austin,204.949036935,7.79020895565,202614.40057
11,Georgia Institute of Technology,247.368818913,1.5714323279,17632.024678
12,Michigan State University,52.7415277778,0.0302709063362,148.943679705
13,University of Maryland College Park,63.3319062882,2.05587399793,29328.1256829
14,University of California-San Diego,186.627761069,3.90864126823,54325.7160192
15,University of Michigan-Ann Arbor,8.19751561473,0.141080588923,558.679132136
16,University of Southern California,146.055668185,0.201135401376,1686.45868265
17,University of Pennsylvania,132.658285578,5.25988270388,74857.0611926
18,University of Massachusetts Amherst,114.00223065,1.5677200814,17523.2642485
19,University of Wisconsin-Madison,139.764107738,4.52079050146,80168.6490218
20,Harvard University,54.7429441392,0.64812935188,4081.82515991
21,University of Rochester,58.3267755393,2.20511552836,35117.994982
22,University of Washington,165.636928499,5.25827845268,80249.0407648
23,Purdue University Main Campus,144.976574593,3.1108472883,53179.2831113
24,Duke University,75.7546701962,0.0749252052457,760.656183509
25,New York University,106.217346612,0.953443516482,8992.76351962
26,Tufts University,39.3333760684,1.67474827166,15053.9091194
27,State University of New York at Stony Brook,30.2506837607,0.0858844364923,497.935904514
28,Louisiana State University and Agricultural and Mechanical College,21.3559249084,0.336360409047,1501.44716477
29,University of California-Riverside,102.52593511,1.54534380463,55459.6468888
30,Penn State University,0.967307692308,0.0,0.0
31,University of Minnesota-Twin Cities,4.34985042735,0.0,0.0
32,Brown University,96.6294052974,0.690104383422,6303.32140973
33,Rice University,128.606791999,5.74338189722,107414.68309
34,University of California-Irvine,175.933218951,2.46442240951,24769.4500303
35,Ohio State University Main Campus,14.7811538462,0.0731209701632,135.444016226
36,Yale University,71.4341051346,2.57457916135,34207.2510094
37,Arizona State University,54.2445931846,0.00610361240471,23.7552594791
38,University of Nebraska - Lincoln,4.09006410256,0.0,0.0
39,Columbia University In The City of New York,5.13012820513,0.0,0.0
40,University of Connecticut,32.4012179487,0.0137796983196,11.685184175
41,University of California-Davis,80.0032710753,0.5358338574,7160.21347118
42,State University of New York at Buffalo,5.88151709402,0.0,0.0
43,Texas A & M University,11.9732478632,0.239833444833,802.193424815
44,University of Oklahoma Norman Campus,18.7997171946,0.0191938508205,23.8771504207
45,University of Pittsburgh Pittsburgh Campus,4.60811965812,0.0,0.0
46,University of Utah,81.4420512821,2.12981545276,19993.9900145
47,University of California-Santa Cruz,92.8623290598,3.12788596691,71174.4443141
48,Indiana University at Bloomington,43.2722435897,0.933812095627,7428.47439052
49,University of Virginia,112.129235348,1.7370747512,29652.3959045
50,University of South Florida,13.3841544567,0.0672211487542,186.807572388
51,University of Arizona,72.9284793715,2.52367542257,25261.6430646
52,Virginia Polytechnic Institute and State University,9.71337606838,0.0,0.0
53,University of Chicago,80.285131853,1.1860649054,10138.5620925
54,Washington University In St. Louis,5.79352175602,0.0,0.0
55,Georgia State University,29.4178205128,0.017748085145,24.9360596287
56,North Carolina State University,104.347916343,1.57295461734,22936.761215
57,University of Tennessee,60.5601739927,0.0310296718389,42.9488522441
58,Johns Hopkins University,34.5481814126,0.231502532629,2128.43428499
59,Vanderbilt University,37.6517483798,0.0,0.0
60,Florida Institute of Technology,7.93038461538,0.0107739704297,8.88852560454
61,University of Colorado at Boulder,30.1717948718,0.0,0.0
62,Lehigh University,6.4922008547,0.0892098582804,315.892108171
63,University of Central Florida,37.1898896011,0.0758213289628,875.508885534
64,University of Kentucky,29.4200534188,0.0119994958631,26.3421250235
65,Florida State University,45.7881517094,0.33709142556,3445.18111834
66,Oklahoma State University Main Campus,5.94358974359,0.0,0.0
67,Washington State University,31.6383360728,0.0653468778565,75.3817264716
68,Iowa State University,38.5577228327,0.0992019813718,766.043150443
69,Northwestern University,75.8798860399,0.416942963425,4812.3634624
70,Dartmouth College,26.0657478632,0.0,0.0
71,Boston University,28.8969785307,0.164707444852,656.51702297
72,University of Georgia,8.34083333333,0.0,0.0
73,Rutgers The State University of New Jersey New Brunswick Campus,8.47358974359,0.0,0.0
74,University of Maryland Baltimore County,4.26365877712,0.0,0.0
75,California Institute of Technology,24.874203377,0.0570768933706,524.650803862
76,University of Delaware,32.2497792023,0.797096194029,5515.43720477
77,University of Texas at Dallas,105.448324724,0.219244092366,789.423085641
78,University of Cincinnati Main Campus,17.0794871795,0.0,0.0
79,Kent State University Main Campus,22.3231481481,0.0283915768979,92.2158417644
80,Oregon State University,54.9856293706,0.166730201195,648.837951807
81,University of Iowa,35.0460861823,0.0507849351919,205.650289362
82,Rensselaer Polytechnic Institute,37.0813431013,0.0813861163211,219.509096746
83,University of Florida,62.1289529915,0.034111858395,223.777410518
84,Northeastern University,122.874358512,4.07223106121,71261.6173849
85,Illinois Institute of Technology,44.0861111111,0.00259914890453,2.48478635273
86,Auburn University,19.3271367521,0.0203185224559,12.8318430487
87,Wayne State University,34.2986289174,0.0389541649472,195.316183045
88,University of Oregon,37.9774847375,0.170057325185,651.939213277
89,Wright State University Main Campus,13.5071153846,0.0,0.0
90,University of Illinois at Chicago,62.9035919636,0.352508560924,1521.65959695
91,Brandeis University,15.7014377289,0.232605250669,1006.51676935
92,North Dakota State University Main Campus,8.22104700855,0.0,0.0
93,City University of New York Grad. Center,0.976709401709,0.0,0.0
94,State University of New York at Binghamton,3.35,0.0,0.0
95,University of North Carolina at Charlotte,13.7780532075,0.0,0.0
96,Case Western Reserve University,18.6187484737,0.00831445132507,9.63644908576
97,University of New Mexico Main Campus,4.20566239316,0.0,0.0
98,Syracuse University Main Campus,21.7512820513,0.0851433406194,86.6216296585
99,New Mexico State University Main Campus,0.336538461538,0.0,0.0
100,New Jersey Institute of Technology,0.194871794872,0.0,0.0
101,University of South Carolina Columbia,9.81429843305,0.0244284281114,42.1878953484
102,College of William and Mary,22.1769810745,0.157162369954,268.919990127
103,Florida International University,25.9733974359,0.148301538234,709.755763346
104,George Washington University,15.5935683761,0.0,0.0
105,Old Dominion University,32.5546367521,0.0,0.0
106,Texas Tech University,13.5698183761,0.0481907164551,49.7328193816
107,University of Kansas,26.0960897436,0.0553959583015,135.780808127
108,University of Arkansas Main Campus,6.84534188034,0.0,0.0
109,University of Alabama,18.8396367521,0.0,0.0
110,Mississippi State University,12.5470299145,0.00674314586263,12.4343609707
111,University of Houston,34.4714102564,0.228796665328,735.208703073
112,University of North Texas,24.1083547009,0.102882502165,386.84962642
113,Clemson University,28.760534188,0.0,0.0
114,State University of New York at Albany,21.8971855922,0.109383167549,757.332359688
115,Brigham Young University,14.2300213675,0.0,0.0
116,Kansas State University,22.9537606838,0.0960656192906,405.245047687
117,University of Alabama In Huntsville,2.77743589744,0.0,0.0
118,University of Memphis,5.75084045584,0.0,0.0
119,Temple University,9.11138888889,0.0,0.0
120,University of Louisiana at Lafayette,26.4145512821,0.154754253409,525.700198831
121,University of Alabama at Birmingham,4.58878205128,0.0,0.0
122,Oregon Health and Science University,0.532081807082,0.0,0.0
123,Western Michigan University,3.80833333333,0.0,0.0
124,Southern Methodist University,10.0126068376,0.0,0.0
125,University of Southern Mississippi,1.8264957265,0.0,0.0
126,Universidade de Brasília,10.2819444444,0.0,0.0
127,Universidade Federal de Uberlândia,1.60224358974,0.0,0.0
128,USP - São Carlos,13.197760989,0.0,0.0
129,Universidade de São Paulo,11.5279487179,0.0,0.0
130,Universidade do Vale do Rio dos Sinos,1.16495726496,0.0,0.0
