,Name,Programming language pscore 5 years,Programming language year 5 years,Programming language year combined 5 years
0,Stanford University,59417.356746,1742.86040536,33243391.7616
1,University of California-Berkeley,55106.7587302,653.423088698,8696755.89312
2,Massachusetts Institute of Technology,57252.1468254,1587.92514657,29530089.0713
3,Carnegie Mellon University,78098.9928571,1521.68294656,17046933.896
4,University of Illinois at Urbana-Champaign,82259.7674603,1292.66240727,22335729.8548
5,Princeton University,27367.7404762,979.305686142,16195431.9687
6,Cornell University,38499.7107143,927.616958655,9086270.69118
7,University of California-Santa Barbara,22008.8944444,242.124341838,1400100.37633
8,University of North Carolina at Chapel Hill,2747.66666667,0.0,0.0
9,University of California-Los Angeles,28155.0460317,557.187992385,10669851.7112
10,University of Texas at Austin,44697.1738095,2085.88443681,56072515.7591
11,Georgia Institute of Technology,49291.2654762,313.87784023,3396311.83107
12,Michigan State University,9762.48333333,5.47097399633,27069.0583911
13,University of Maryland College Park,12621.6714286,450.387561531,6563481.06339
14,University of California-San Diego,40735.9666667,1072.19455203,15148099.1509
15,University of Michigan-Ann Arbor,2682.65952381,40.8274110574,161676.547787
16,University of Southern California,29562.8,30.9742028307,254003.690253
17,University of Pennsylvania,28493.05,1345.77428505,18516059.1058
18,University of Massachusetts Amherst,26947.797619,441.125835218,5043209.22071
19,University of Wisconsin-Madison,33428.1059524,1139.01501545,19727636.2627
20,Harvard University,11246.0833333,199.890468751,1290494.05013
21,University of Rochester,12553.2404762,560.274074978,8962134.05219
22,University of Washington,43452.1071429,1533.80395117,23581158.5079
23,Purdue University Main Campus,33234.1642857,835.302591916,14384059.4876
24,Duke University,12122.4583333,9.37135605782,85642.0987959
25,New York University,19910.8642857,212.903560093,1915287.51404
26,Tufts University,8084.19444444,410.870629452,3580322.017
27,State University of New York at Stony Brook,5225.25,16.4506366514,94388.622207
28,Louisiana State University and Agricultural and Mechanical College,3295.75,52.5813769851,227444.73422
29,University of California-Riverside,19234.5,351.7488512,12834442.492
30,Penn State University,43.0,0.0,0.0
31,University of Minnesota-Twin Cities,1541.58333333,0.0,0.0
32,Brown University,17623.3277778,174.161524537,1432297.20688
33,Rice University,28716.8428571,1355.02153816,24659935.5064
