,Name,Programming language pscore,Programming language year,Programming language year combined
0,Stanford University,201596.176638,5085.7484418,95143985.3507
1,University of California-Berkeley,203028.087105,2228.66039836,29681736.2662
2,Massachusetts Institute of Technology,204567.687416,4760.73239552,85577036.1306
3,Carnegie Mellon University,241529.011896,4910.45786159,55550488.4373
4,University of Illinois at Urbana-Champaign,325430.346803,4956.4788565,92503712.57
5,Princeton University,112837.064881,3103.80261154,51633775.8008
6,Cornell University,135103.334669,2697.23581635,26158193.313
7,University of California-Santa Barbara,94707.4132353,740.116137951,4309610.44754
8,University of North Carolina at Chapel Hill,4027.11666667,0.0,0.0
9,University of California-Los Angeles,107903.118254,1746.53399644,34691280.2265
10,University of Texas at Austin,159860.24881,6076.3629854,158039232.444
11,Georgia Institute of Technology,192947.678752,1225.71721576,13752979.2489
12,Michigan State University,41138.3916667,23.6113069423,116176.07017
13,University of Maryland College Park,49398.8869048,1603.58171838,22875938.0327
14,University of California-San Diego,145569.653634,3048.74018922,42374058.495
15,University of Michigan-Ann Arbor,6394.06217949,110.04285936,435769.723066
16,University of Southern California,113923.421184,156.885613073,1315437.77247
17,University of Pennsylvania,103473.462751,4102.70850903,58388507.7302
18,University of Massachusetts Amherst,88921.739907,1222.82166349,13668146.1138
19,University of Wisconsin-Madison,109016.004036,3526.21659114,62531546.237
20,Harvard University,42699.4964286,505.540894466,3183823.62473
21,University of Rochester,45494.8849206,1719.99011212,27392036.086
22,University of Washington,129196.804229,4101.45719309,62594251.7965
23,Purdue University Main Campus,113081.728183,2426.46088487,41479840.8268
24,Duke University,59088.642753,58.4416600917,593311.823137
25,New York University,82849.5303571,743.685942856,7014355.5453
26,Tufts University,30680.0333333,1306.3036519,11742049.1132
27,State University of New York at Stony Brook,23595.5333333,66.989860464,388390.005521
28,Louisiana State University and Agricultural and Mechanical College,16657.6214286,262.361119057,1171128.78852
29,University of California-Riverside,79970.229386,1205.36816761,43258524.5733
30,Penn State University,754.5,0.0,0.0
31,University of Minnesota-Twin Cities,3392.88333333,0.0,0.0
32,Brown University,75370.936132,538.281419069,4916590.69959
33,Rice University,100313.297759,4479.83787983,83783452.8105
34,University of California-Irvine,137227.910782,1922.24947942,19320171.0237
35,Ohio State University Main Campus,11529.3,57.0343567273,105646.332656
36,Yale University,55718.602005,2008.17174585,26681655.7873
37,Arizona State University,42310.782684,4.76081767568,18529.1023937
38,University of Nebraska - Lincoln,3190.25,0.0,0.0
39,Columbia University In The City of New York,4001.5,0.0,0.0
40,University of Connecticut,25272.95,10.7481646893,9114.44365649
41,University of California-Davis,62402.5514388,417.950408772,5584966.50752
42,State University of New York at Buffalo,4587.58333333,0.0,0.0
