,Name,Speech recognition pscore,Speech recognition year,Speech recognition year combined
0,Stanford University,184282.460627,4438.29006843,349965079.816
1,University of California-Berkeley,367079.691008,637.067180385,13795802.4048
2,Massachusetts Institute of Technology,870689.00818,63246.9419833,14745207929.6
3,Carnegie Mellon University,2659659.95269,285661.63381,1.4769947924e+11
4,University of Illinois at Urbana-Champaign,604391.922466,61224.0686201,21792934183.7
5,Princeton University,84923.4809524,262.388210078,4688126.87212
6,Cornell University,233327.192102,220.843400837,24775895.3204
7,University of California-Santa Barbara,255180.230159,3712.40396402,507887797.004
8,University of North Carolina at Chapel Hill,3128.51666667,0.0,0.0
9,University of California-Los Angeles,83361.7063492,5.979443728,5895.73151581
10,University of Texas at Austin,51350.1698413,414.036280141,5845124.95269
11,Georgia Institute of Technology,162534.123687,387.743150954,7980370.10162
12,Michigan State University,93618.3111111,194.186639045,3133596.71179
13,University of Maryland College Park,9840.53333333,0.0,0.0
14,University of California-San Diego,112152.916667,883.242208192,41785952.3163
15,University of Michigan-Ann Arbor,318837.855769,38212.6733708,8998205687.34
16,University of Southern California,1961766.27225,320387.924861,2.78205045876e+11
17,University of Pennsylvania,235861.866667,14849.3006918,1458184747.57
18,University of Massachusetts Amherst,77864.5891599,862.736651202,12531249.8587
19,University of Wisconsin-Madison,183612.221112,43.5672995781,557922.838397
20,Harvard University,25337.3809524,58.0435673653,583606.5407
21,University of Rochester,180848.998291,2192.56936097,136330108.409
22,University of Washington,1091171.85635,115336.836931,43853866349.9
23,Purdue University Main Campus,50483.4187146,63.6570874862,986239.256424
24,Duke University,157764.121123,362.631797732,5210164.28791
25,New York University,177455.447619,2174.51451865,193263559.562
26,Tufts University,29484.1714286,0.0,0.0
27,State University of New York at Stony Brook,12010.1666667,3.52436730549,1155.9924762
28,Louisiana State University and Agricultural and Mechanical College,11545.0095238,0.0,0.0
29,University of California-Riverside,65528.071345,26.0943746464,280741.937862
30,Penn State University,151.5,0.0,0.0
31,University of Minnesota-Twin Cities,8571.81666667,0.0,0.0
32,Brown University,22845.6935673,33.1451168708,389189.962296
33,Rice University,5542.42857143,0.0,0.0
34,University of California-Irvine,70332.7473631,53.3888371284,658963.470583
35,Ohio State University Main Campus,2255.06666667,0.0,0.0
36,Yale University,29990.6522364,16.2958442857,109931.765551
37,Arizona State University,124766.997677,30.265904931,218770.832751
38,University of Nebraska - Lincoln,1006.25,0.0,0.0
39,Columbia University In The City of New York,1068.33333333,0.0,0.0
40,University of Connecticut,22067.4833333,0.0,0.0
41,University of California-Davis,71720.5569986,167.711564871,6354938.96283
42,State University of New York at Buffalo,4982.36666667,0.0,0.0
43,Texas A & M University,931.0,0.0,0.0
44,University of Oklahoma Norman Campus,16156.1838936,0.0,0.0
45,University of Pittsburgh Pittsburgh Campus,886.5,0.0,0.0
46,University of Utah,77953.45,1274.5092907,52974978.668
47,University of California-Santa Cruz,91478.6059524,3159.38884023,285369426.793
48,Indiana University at Bloomington,10529.8833333,119.997255993,941258.476011
49,University of Virginia,21510.9547619,0.0,0.0
50,University of South Florida,49625.7095238,129.637507601,907073.640688
51,University of Arizona,24609.2276942,204.901664281,2575413.07722
52,Virginia Polytechnic Institute and State University,42633.0,444.305894239,18296072.4188
53,University of Chicago,42847.6456537,199.863963846,3120311.87397
54,Washington University In St. Louis,727.787878788,0.0,0.0
55,Georgia State University,16294.9833333,0.0,0.0
56,North Carolina State University,63855.8962121,1200.2172891,20074274.9629
57,University of Tennessee,71391.7785714,45.4190910374,362935.657244
58,Johns Hopkins University,106349.525092,1920.10052127,59694958.6225
59,Vanderbilt University,35253.3336996,320.985549563,5971615.16407
60,Florida Institute of Technology,22385.15,55.7507079895,603055.408322
61,University of Colorado at Boulder,190683.166667,15994.6678991,2837977942.06
62,Lehigh University,16277.75,19.8215378227,184637.624819
63,University of Central Florida,42599.3638889,0.0,0.0
64,University of Kentucky,22769.55,23.5040387722,349176.0
65,Florida State University,30722.0333333,0.0,0.0
66,Oklahoma State University Main Campus,1988.58333333,0.0,0.0
67,Washington State University,59271.5606838,362.325860766,7201622.1799
68,Iowa State University,20676.1785714,27.4237665266,208338.354302
69,Northwestern University,406340.013889,1530.12083025,92099787.1158
70,Dartmouth College,50099.1666667,232.567717497,3086173.61119
71,Boston University,11174.9206349,24.3579625706,215787.190413
72,University of Georgia,6319.04166667,0.0,0.0
73,Rutgers The State University of New Jersey New Brunswick Campus,547.25,0.0,0.0
74,University of Maryland Baltimore County,14150.8974359,0.0,0.0
75,California Institute of Technology,43061.0511905,0.0,0.0
76,University of Delaware,43420.2777778,1857.55633565,52072527.9225
77,University of Texas at Dallas,201076.070085,1036.77738872,34174519.8525
78,University of Cincinnati Main Campus,9785.33333333,0.0,0.0
79,Kent State University Main Campus,1656.75,0.0,0.0
80,Oregon State University,220463.861538,2097.64623314,263699303.26
81,University of Iowa,3390.46666667,0.0,0.0
82,Rensselaer Polytechnic Institute,21506.7803114,44.0033252641,425688.168605
83,University of Florida,27833.1,17.4772998316,122113.893923
84,Northeastern University,140680.414838,4822.73360578,113813924.342
85,Illinois Institute of Technology,7754.81944444,0.0,0.0
86,Auburn University,2097.33333333,0.0,0.0
87,Wayne State University,13450.75,0.0,0.0
88,University of Oregon,21201.0166667,9.4243164575,134117.447507
89,Wright State University Main Campus,33006.3083333,282.024952171,7681795.64725
90,University of Illinois at Chicago,34489.6854978,141.10835907,997132.802081
91,Brandeis University,28622.85,0.0,0.0
92,North Dakota State University Main Campus,6110.9,0.0,0.0
