,Name,Theoretical computer science pscore norm,Theoretical computer science year norm,Theoretical computer science year combined norm
0,Stanford University,336.392707673,21.2444597094,1816818.57955
1,University of California-Berkeley,437.352148612,36.7190803456,3701691.21885
2,Massachusetts Institute of Technology,523.962738627,41.6010444365,2832539.41353
3,Carnegie Mellon University,409.083521696,37.3357005986,4589626.22986
4,University of Illinois at Urbana-Champaign,298.192092182,11.677414301,657760.142898
5,Princeton University,359.862199252,41.670772533,4044221.77109
6,Cornell University,369.657880667,22.1170490101,1375578.99265
7,University of California-Santa Barbara,156.82223013,3.05723394815,136551.766581
8,University of North Carolina at Chapel Hill,5.7636682243,0.0358794150886,146.208616486
9,University of California-Los Angeles,245.656207119,20.6214005016,1708622.31405
10,University of Texas at Austin,241.874439299,28.1305550918,1830764.4035
11,Georgia Institute of Technology,414.411821415,33.1548759471,2962040.00841
12,Michigan State University,34.0696050753,0.0726551380569,1090.02356374
13,University of Maryland College Park,25.1411423565,0.309887696377,7326.16902411
14,University of California-San Diego,333.365944176,33.1357548834,3015319.7494
15,University of Michigan-Ann Arbor,10.0333733974,0.0738126105499,317.556850961
16,University of Southern California,164.977779989,9.20216689158,341942.261859
17,University of Pennsylvania,166.789199141,7.58435429083,622645.219113
18,University of Massachusetts Amherst,130.314027225,3.75556550709,130786.551963
19,University of Wisconsin-Madison,133.42848773,10.6038375931,644823.042038
20,Harvard University,249.035830413,33.1888900199,4539230.25401
21,University of Rochester,64.2364146854,1.99447159398,58960.9185195
22,University of Washington,227.854532084,22.1929951957,1184059.19667
23,Purdue University Main Campus,157.18153438,6.73658334853,263776.249859
24,Duke University,175.830258427,6.30361911212,584696.221444
25,New York University,312.778200448,28.2613803312,2292235.94461
26,Tufts University,38.3842929462,0.468047176393,11394.4665366
27,State University of New York at Stony Brook,38.2305588006,1.6271041405,46535.7906392
28,Louisiana State University and Agricultural and Mechanical College,18.6463993658,0.0509384320413,420.334710673
29,University of California-Riverside,95.4042355817,1.57430330435,78139.4620039
30,Penn State University,5.45151869159,0.0780645725513,869.092886214
31,University of Minnesota-Twin Cities,3.258605919,0.0,0.0
32,Brown University,208.267107605,8.40611845524,538781.307092
33,Rice University,59.8703978262,0.580630269756,43491.373678
34,University of California-Irvine,167.42801666,2.7097294942,145407.78366
35,Ohio State University Main Campus,17.8083235981,0.461651969952,6431.21591487
36,Yale University,103.208672641,5.55958553592,291552.990516
37,Arizona State University,53.4924546832,0.127228052784,2073.68277782
38,University of Nebraska - Lincoln,5.00243380062,0.0166123477489,66.6321268208
39,Columbia University In The City of New York,10.6496300623,0.0373995664415,506.876323982
40,University of Connecticut,45.2132885514,1.00536191471,45303.4095209
41,University of California-Davis,93.1148889027,1.59482733479,32536.1846335
42,State University of New York at Buffalo,33.0005354361,2.86441060524,187142.106426
43,Texas A & M University,3.27418224299,0.0433448945772,147.849435403
44,University of Oklahoma Norman Campus,25.2392895593,0.287014008628,6891.81108517
45,University of Pittsburgh Pittsburgh Campus,7.40099299065,0.0347964012426,187.598561508
46,University of Utah,30.335338785,0.904429940011,13210.398432
47,University of California-Santa Cruz,104.742380118,5.76064967928,229357.755251
48,Indiana University at Bloomington,13.3862830997,0.0746853232152,685.321052027
49,University of Virginia,23.2584737984,0.741927265404,9794.08396459
50,University of South Florida,8.77877308634,0.034925437384,135.418688597
51,University of Arizona,48.7526160612,0.892524594372,23882.8216172
52,Virginia Polytechnic Institute and State University,4.1437305296,0.0,0.0
53,University of Chicago,128.682184914,13.4052406051,677427.335206
54,Washington University In St. Louis,6.58664330218,0.0505422153402,592.961270372
55,Georgia State University,16.8390840565,0.0840422773943,880.1439656
56,North Carolina State University,34.3057113188,0.210782106395,1688.09418238
57,University of Tennessee,26.8926374054,0.0630009348294,1054.25764344
58,Johns Hopkins University,112.628563084,9.2236776873,608835.777498
59,Vanderbilt University,22.1831798167,0.219708593501,6563.57452225
60,Florida Institute of Technology,8.4156347352,0.0165805257835,146.289978988
61,University of Colorado at Boulder,78.3665985202,3.05908866436,231730.869395
62,Lehigh University,5.17912772586,0.0,0.0
63,University of Central Florida,18.0317400052,0.0552465337005,201.564368611
64,University of Kentucky,28.8323403427,0.165316020797,2892.20378385
65,Florida State University,20.8572770639,0.0895175702641,994.092617783
66,Oklahoma State University Main Campus,3.87174566088,0.0,0.0
67,Washington State University,12.9124438354,0.0,0.0
68,Iowa State University,76.4182729751,4.99714821947,248396.946535
69,Northwestern University,106.959039136,8.71164649136,351096.199936
70,Dartmouth College,82.833411215,6.48526190868,229989.608594
71,Boston University,107.034044698,6.36928560518,281329.529797
72,University of Georgia,13.7230821651,0.0548378612035,327.92109495
73,Rutgers The State University of New Jersey New Brunswick Campus,7.3339758567,0.171192601437,2378.93272852
74,University of Maryland Baltimore County,5.85873846753,0.0,0.0
75,California Institute of Technology,85.5876821874,12.1174083024,603439.9801
