,Name,Theoretical computer science pscore 5 years,Theoretical computer science year 5 years,Theoretical computer science year combined 5 years
0,Stanford University,157238.679365,11803.4236548,1017820533.34
1,University of California-Berkeley,197949.022222,18485.7766464,1812338500.81
2,Massachusetts Institute of Technology,258605.702381,22406.6716517,1549192417.39
3,Carnegie Mellon University,208445.922222,21798.2165815,2816260780.63
4,University of Illinois at Urbana-Champaign,121643.826984,5781.37494476,322380824.147
5,Princeton University,161184.15,22662.4398598,2022340190.8
6,Cornell University,170234.335714,10517.6108374,637894995.607
7,University of California-Santa Barbara,53331.1261905,1410.31580317,50250154.138
8,University of North Carolina at Chapel Hill,1673.66666667,10.2947403896,41951.0670877
9,University of California-Los Angeles,132198.934127,12128.4966624,1178310542.57
10,University of Texas at Austin,129759.435714,16300.8013587,1077718620.66
11,Georgia Institute of Technology,179232.164286,15236.4128801,1314062834.96
12,Michigan State University,13531.7595238,35.0782500837,583244.797395
13,University of Maryland College Park,6613.46190476,89.4902644589,2118155.89626
14,University of California-San Diego,174901.028571,21545.8507615,2031255724.9
15,University of Michigan-Ann Arbor,4905.11666667,28.3447436805,126002.762626
16,University of Southern California,69446.9119048,4677.49165904,177494548.448
17,University of Pennsylvania,81285.25,4296.89599716,354690446.423
18,University of Massachusetts Amherst,55880.6357143,1980.17793381,62330423.0216
19,University of Wisconsin-Madison,60507.9547619,5603.48934308,330690432.539
20,Harvard University,139027.066667,20416.1784235,2914340023.26
21,University of Rochester,25638.95,762.099246885,21924256.0796
22,University of Washington,103219.142063,11323.124715,623990153.299
23,Purdue University Main Campus,64804.2333333,3754.4445501,131285040.06
24,Duke University,74228.2666667,2694.35982309,240055726.227
25,New York University,161013.140476,14520.9083375,1185490054.58
26,Tufts University,14464.3333333,178.763308131,4459199.65998
27,State University of New York at Stony Brook,11550.25,475.414144442,13632853.1127
28,Louisiana State University and Agricultural and Mechanical College,7980.58333333,15.6864495831,137654.151502
29,University of California-Riverside,36176.7333333,708.63331112,34586470.3257
30,Penn State University,1489.0,21.1487201598,235448.701539
31,University of Minnesota-Twin Cities,2789.41666667,0.0,0.0
32,Brown University,91088.75,3739.63584305,224021778.256
33,Rice University,18990.5333333,193.93779978,14121798.2697
34,University of California-Irvine,75927.9301587,1126.60107465,61512003.4878
35,Ohio State University Main Campus,6554.58333333,155.731709667,2117565.6675
36,Yale University,39469.5333333,2232.36347268,116639407.74
37,Arizona State University,21459.1833333,46.5709855846,751013.688333
38,University of Nebraska - Lincoln,2049.66666667,5.4573180906,21889.3028614
39,Columbia University In The City of New York,2662.66666667,9.36829818518,126968.545304
40,University of Connecticut,18970.4166667,476.850087471,21769935.3234
41,University of California-Davis,38601.05,735.806358948,15184944.5017
42,State University of New York at Buffalo,15643.2,1350.02145136,87845515.1787
43,Texas A & M University,1478.33333333,25.89076342,88313.3940256
44,University of Oklahoma Norman Campus,8401.76666667,128.327338841,3147884.86535
45,University of Pittsburgh Pittsburgh Campus,1871.83333333,7.78517850283,43936.239716
46,University of Utah,12593.3,493.954805312,7066019.83714
47,University of California-Santa Cruz,42418.8833333,2907.66462404,116041883.028
48,Indiana University at Bloomington,4429.80952381,26.3054112641,232130.666204
49,University of Virginia,8864.77619048,695.803885512,9275279.17493
50,University of South Florida,2626.7,9.7793236623,36279.5304257
51,University of Arizona,16827.85,299.373813369,8122249.42447
52,Virginia Polytechnic Institute and State University,1081.5,0.0,0.0
53,University of Chicago,55904.6714286,6518.63722719,322149802.236
54,Washington University In St. Louis,1767.0,15.2261772478,178633.511471
55,Georgia State University,6146.21666667,39.8249373114,479703.959407
56,North Carolina State University,14126.8666667,179.378633251,1532314.67538
57,University of Tennessee,9319.30952381,19.2623160896,322335.597444
