,Name,Theoretical computer science pscore,Theoretical computer science year,Theoretical computer science year combined
0,Stanford University,575904.315537,36370.5150225,3110393408.19
1,University of California-Berkeley,748746.878424,62863.0655516,6337295366.68
2,Massachusetts Institute of Technology,897024.208529,71220.9880753,4849307475.97
3,Carnegie Mellon University,700350.989144,63918.7194249,7857440105.52
4,University of Illinois at Urbana-Champaign,510504.861816,19991.7332833,1126085364.64
5,Princeton University,616084.085119,71340.3625764,6923707672.1
6,Cornell University,632854.291702,37864.3879053,2354991235.42
7,University of California-Santa Barbara,268479.657983,5233.98451924,233776624.386
8,University of North Carolina at Chapel Hill,9867.4,61.4255586317,250309.151424
9,University of California-Los Angeles,420563.426587,35303.8376587,2925161401.65
10,University of Texas at Austin,414089.040079,48159.5103171,3134268658.78
11,Georgia Institute of Technology,709473.038262,56761.1476214,5071012494.39
12,Michigan State University,58327.1638889,124.385596353,1866120.34112
13,University of Maryland College Park,43041.6357143,530.527736198,12542401.3693
14,University of California-San Diego,570722.496429,56728.4123604,5162227410.97
15,University of Michigan-Ann Arbor,17177.1352564,126.367189262,543657.328846
16,University of Southern California,282441.959341,15754.1097184,585405152.302
17,University of Pennsylvania,285543.108929,12984.4145459,1065968615.12
18,University of Massachusetts Amherst,223097.614609,6429.52814814,223906576.96
19,University of Wisconsin-Madison,228429.570994,18153.7699593,1103937047.97
20,Harvard University,426349.341667,56819.379714,7771162194.87
21,University of Rochester,109972.741941,3414.53536889,100941092.505
22,University of Washington,390086.958929,37994.4077751,2027109344.7
23,Purdue University Main Campus,269094.786858,11533.0306927,451584939.758
24,Duke University,301021.402428,10791.79592,1000999931.11
25,New York University,535476.279167,48383.4831269,3924307937.17
26,Tufts University,65713.9095238,801.296765984,19507326.7107
27,State University of New York at Stony Brook,65450.7166667,2785.60228854,79669273.5743
28,Louisiana State University and Agricultural and Mechanical College,31922.6357143,87.2065956547,719613.024673
29,University of California-Riverside,163332.051316,2695.20725705,133774758.951
30,Penn State University,9333.0,133.646548208,1487887.0212
31,University of Minnesota-Twin Cities,5578.73333333,0.0,0.0
32,Brown University,356553.288221,14391.2747954,922393597.742
33,Rice University,102498.121078,994.039021822,74457231.7367
34,University of California-Irvine,286636.764522,4639.05689406,248938125.625
35,Ohio State University Main Campus,30487.85,790.348172558,11010241.6463
36,Yale University,176693.247561,9518.0104375,499138719.763
37,Arizona State University,91579.0824176,217.814426366,3550144.91564
38,University of Nebraska - Lincoln,8564.16666667,28.4403393461,114074.201117
