,Name,World Wide Web pscore norm,World Wide Web year norm,World Wide Web year combined norm
0,Stanford University,227.035580783,5.49933130484,287707.557813
1,University of California-Berkeley,172.435369137,0.170657516152,1779.20587172
2,Massachusetts Institute of Technology,187.118369136,3.69811811652,101902.482582
3,Carnegie Mellon University,403.069570012,2.59423055096,177352.599646
4,University of Illinois at Urbana-Champaign,304.878626954,3.45917428345,318781.847767
5,Princeton University,43.5418435187,0.0806860455963,345.706291256
6,Cornell University,202.916661642,4.89636527518,98156.460079
7,University of California-Santa Barbara,127.546444609,0.830643032458,20375.8634265
8,University of North Carolina at Chapel Hill,8.06893626777,0.0,0.0
9,University of California-Los Angeles,151.502625489,1.25894844776,25067.7765298
10,University of Texas at Austin,114.530496059,1.27022112625,19554.9664107
11,Georgia Institute of Technology,256.769278378,2.92146495408,84902.3090658
12,Michigan State University,73.6789087575,0.170763673804,2188.55416534
13,University of Maryland College Park,22.6461583808,0.0,0.0
14,University of California-San Diego,88.6585347482,0.261222869474,1282.8289549
15,University of Michigan-Ann Arbor,20.5558419744,0.900219534093,11066.7671131
16,University of Southern California,244.035425621,3.46273811529,66816.3432739
17,University of Pennsylvania,89.0153419139,0.164370223901,1902.04159994
18,University of Massachusetts Amherst,220.005843362,1.12288407138,45089.5031105
19,University of Wisconsin-Madison,95.992937056,0.130944533122,3244.30792154
20,Harvard University,50.8470090719,0.722973438158,4685.91634945
21,University of Rochester,51.8381007385,0.160885066777,2371.50056038
22,University of Washington,150.260671437,0.575500615633,11566.20646
23,Purdue University Main Campus,160.360296834,1.21366830206,20731.586572
24,Duke University,74.5014614843,0.367247463541,3799.67513304
25,New York University,106.812667846,2.35012068833,79254.661648
26,Tufts University,17.823002227,0.0562356904658,98.6344438939
27,State University of New York at Stony Brook,17.6068890417,0.0775989053761,317.379522988
28,Louisiana State University and Agricultural and Mechanical College,18.7661459357,0.0,0.0
29,University of California-Riverside,91.7771109341,0.753180515923,8275.58854873
30,Penn State University,0.447386519945,0.0,0.0
31,University of Minnesota-Twin Cities,7.78845712976,0.0546392843981,808.115016248
32,Brown University,64.4805415361,0.0920683181183,522.532417193
33,Rice University,32.4504196864,0.437325995395,2840.57612743
34,University of California-Irvine,151.825680484,0.346568397108,7569.38328622
35,Ohio State University Main Campus,10.4909330582,0.0,0.0
36,Yale University,44.0180028025,0.140432289931,1311.00606045
37,Arizona State University,162.953061433,2.03095639122,67777.5947137
38,University of Nebraska - Lincoln,2.31808803301,0.0,0.0
39,Columbia University In The City of New York,4.88376891334,0.0,0.0
40,University of Connecticut,27.2458505273,0.0326098056363,376.741084516
41,University of California-Davis,58.1613921047,0.195358427802,1920.47890492
42,State University of New York at Buffalo,3.73727647868,0.0,0.0
43,Texas A & M University,3.91224209078,0.0,0.0
44,University of Oklahoma Norman Campus,18.7633974085,0.0,0.0
45,University of Pittsburgh Pittsburgh Campus,6.08092618065,0.0125738328344,90.0915122583
46,University of Utah,28.0931568088,0.123136958196,607.017746395
47,University of California-Santa Cruz,79.3105153272,0.836992748434,10921.4765177
48,Indiana University at Bloomington,30.477987926,1.31921562016,24825.728878
49,University of Virginia,39.4912253553,1.06931692584,13148.0427745
50,University of South Florida,23.4745857077,0.0926078476069,549.164536309
51,University of Arizona,45.1141794479,0.157423583396,1718.5407892
52,Virginia Polytechnic Institute and State University,9.66116460339,0.0132994342899,20.9333095723
53,University of Chicago,35.7475434174,0.0423450072768,125.267750141
54,Washington University In St. Louis,3.21716998041,0.0,0.0
55,Georgia State University,14.6297913801,0.0,0.0
56,North Carolina State University,71.0825356384,1.65249573582,28813.5316436
57,University of Tennessee,32.7477107487,0.025237133385,206.600922654
58,Johns Hopkins University,29.8478442694,0.0260905992008,102.075535822
59,Vanderbilt University,26.0598060926,0.0,0.0
60,Florida Institute of Technology,11.7569348923,0.0046700570697,4.5159451864
61,University of Colorado at Boulder,18.2549977075,0.0,0.0
62,Lehigh University,42.9523154516,3.29934252825,88075.7510026
63,University of Central Florida,47.293227495,0.103716905043,730.063294597
64,University of Kentucky,32.8011348006,0.0414647220516,789.198054809
65,Florida State University,24.4875974324,0.0482717147509,897.081546931
66,Oklahoma State University Main Campus,4.41202430078,0.0,0.0
67,Washington State University,32.3532033647,0.017555174203,29.8964616678
68,Iowa State University,32.0268798716,0.121624547698,1872.51606993
69,Northwestern University,115.192406006,0.789722866481,7264.91353702
70,Dartmouth College,20.7164718019,0.0220301536687,49.2947934642
