,Name,World Wide Web pscore 5 years,World Wide Web year 5 years,World Wide Web year combined 5 years
0,Stanford University,109299.75873,4300.46647307,221518718.658
1,University of California-Berkeley,76636.9992063,113.687933506,1131306.04527
2,Massachusetts Institute of Technology,84154.3,2888.38425862,78477260.2826
3,Carnegie Mellon University,209558.299206,1570.73276716,103850838.571
4,University of Illinois at Urbana-Champaign,164945.105159,2298.9072295,207710192.623
5,Princeton University,18344.4333333,61.7593733695,243603.691771
6,Cornell University,118233.485714,3930.88710114,76536145.6964
7,University of California-Santa Barbara,68107.6261905,556.775388432,11132528.5319
8,University of North Carolina at Chapel Hill,5629.41666667,0.0,0.0
9,University of California-Los Angeles,68831.6992063,869.523658512,17183971.3304
10,University of Texas at Austin,48904.3130952,705.716679549,10987321.2119
11,Georgia Institute of Technology,134626.225,2329.81204301,68208294.9337
12,Michigan State University,37826.697619,131.098633912,1430215.88274
13,University of Maryland College Park,9514.23095238,0.0,0.0
14,University of California-San Diego,38665.7547619,195.76130575,826403.134876
15,University of Michigan-Ann Arbor,16394.0833333,1008.326621,12485738.545
16,University of Southern California,117614.394048,2080.90070841,39519905.3473
17,University of Pennsylvania,38498.8833333,75.4262960752,861157.891508
18,University of Massachusetts Amherst,123783.935714,800.560053827,31323261.2392
19,University of Wisconsin-Madison,34622.3857143,51.6573002194,1009103.43553
20,Harvard University,21665.4666667,575.597595156,3615421.65225
21,University of Rochester,24017.7857143,78.5370129736,1202374.56841
22,University of Washington,74286.831746,354.468310744,6485685.3716
23,Purdue University Main Campus,76178.797619,911.323227116,14352253.6162
24,Duke University,29975.55,245.605647938,2518606.7007
25,New York University,57627.8904762,1835.62218657,62490391.4146
26,Tufts University,8484.25,37.0818768736,67447.3972155
27,State University of New York at Stony Brook,7497.5,93.4854622896,382355.540765
28,Louisiana State University and Agricultural and Mechanical College,7420.08333333,0.0,0.0
29,University of California-Riverside,49061.4166667,573.312032842,6042010.18479
30,Penn State University,114.0,0.0,0.0
31,University of Minnesota-Twin Cities,6996.5,50.7603560989,750745.666703
32,Brown University,23931.5833333,63.2963514628,329818.01663
33,Rice University,16063.5166667,531.54685825,3151578.98059
34,University of California-Irvine,67756.8079365,211.469391148,4372100.48068
35,Ohio State University Main Campus,3100.91666667,0.0,0.0
36,Yale University,20230.6166667,77.06247744,706156.817663
37,Arizona State University,97659.15,1420.51496166,47628450.9116
38,University of Nebraska - Lincoln,1168.66666667,0.0,0.0
39,Columbia University In The City of New York,1921.0,0.0,0.0
40,University of Connecticut,12952.9166667,20.7912221128,240200.989069
41,University of California-Davis,33833.8666667,143.166826649,1466765.7921
42,State University of New York at Buffalo,2100.2,0.0,0.0
43,Texas A & M University,1654.83333333,0.0,0.0
44,University of Oklahoma Norman Campus,8203.43333333,0.0,0.0
45,University of Pittsburgh Pittsburgh Campus,2209.16666667,5.20147058824,37268.5367647
46,University of Utah,14216.2,121.482481293,575484.849537
47,University of California-Santa Cruz,38911.8666667,575.193374276,7001287.89247
48,Indiana University at Bloomington,20388.852381,1100.97381059,20573239.7644
