,Name,World Wide Web pscore,World Wide Web year,World Wide Web year combined
0,Stanford University,330109.734459,7996.02771723,418326789.06
1,University of California-Berkeley,250721.026725,248.136028485,2586965.33749
2,Massachusetts Institute of Technology,272070.108724,5377.06374142,148166209.674
3,Carnegie Mellon University,586063.154798,3772.0112211,257870679.886
4,University of Illinois at Urbana-Champaign,443293.52359,5029.63940813,463508806.653
5,Princeton University,63309.8404762,117.317510297,502656.947486
6,Cornell University,295040.826027,7119.31511011,142719492.955
7,University of California-Santa Barbara,185452.530462,1207.75496919,29626505.4222
8,University of North Carolina at Chapel Hill,11732.2333333,0.0,0.0
9,University of California-Los Angeles,220284.81746,1830.51104305,36448547.0743
10,University of Texas at Austin,166527.34127,1846.90151757,28432921.1611
11,Georgia Institute of Technology,373342.530761,4247.81004323,123447957.382
12,Michigan State University,107129.133333,248.290381711,3182157.7564
13,University of Maryland College Park,32927.5142857,0.0,0.0
14,University of California-San Diego,128909.509524,379.818052215,1865233.30042
15,University of Michigan-Ann Arbor,29888.1942308,1308.91920257,16091079.3824
16,University of Southern California,354827.508852,5034.82121963,97150963.1203
17,University of Pennsylvania,129428.307143,238.994305552,2765568.48631
18,University of Massachusetts Amherst,319888.496248,1632.67343979,65560137.5226
19,University of Wisconsin-Madison,139573.730479,190.39335116,4717223.71792
20,Harvard University,73931.5511905,1051.20337908,6813322.3721
21,University of Rochester,75372.5984737,233.926887093,3448161.81479
22,University of Washington,218479.01627,836.77789513,16817264.1928
23,Purdue University Main Campus,233163.871596,1764.6737112,30143726.8757
24,Duke University,108325.124998,533.977811989,5524727.64345
25,New York University,155305.619048,3417.07548083,115236278.036
26,Tufts University,25914.6452381,81.7666939373,143414.481422
27,State University of New York at Stony Brook,25600.4166667,112.828808417,461469.826425
28,Louisiana State University and Agricultural and Mechanical College,27285.9761905,0.0,0.0
29,University of California-Riverside,133443.919298,1095.12447015,12032705.7499
30,Penn State University,650.5,0.0,0.0
31,University of Minnesota-Twin Cities,11324.4166667,79.4455195149,1174999.23363
32,Brown University,93754.7073935,133.867334544,759762.134599
33,Rice University,47182.9102241,635.871997304,4130197.68929
34,University of California-Irvine,220754.539423,503.910449394,11005883.2982
35,Ohio State University Main Campus,15253.8166667,0.0,0.0
36,Yale University,64002.1760748,204.18854956,1906202.81189
37,Arizona State University,236933.751324,2953.01059284,98548622.7137
38,University of Nebraska - Lincoln,3370.5,0.0,0.0
39,Columbia University In The City of New York,7101.0,0.0,0.0
40,University of Connecticut,39615.4666667,47.4146573952,547781.536887
41,University of California-Davis,84566.6641202,284.051154024,2792376.32776
42,State University of New York at Buffalo,5434.0,0.0,0.0
43,Texas A & M University,5688.4,0.0,0.0
44,University of Oklahoma Norman Campus,27281.9798319,0.0,0.0
45,University of Pittsburgh Pittsburgh Campus,8841.66666667,18.2823529412,130993.058824
46,University of Utah,40847.45,179.041137217,882603.803258
47,University of California-Santa Cruz,115317.489286,1216.98745622,15879826.8567
48,Indiana University at Bloomington,44314.9944444,1918.13951171,36096609.7886
49,University of Virginia,57420.2416667,1554.78681018,19117254.1941
50,University of South Florida,34132.047619,134.65181042,798485.235793
51,University of Arizona,65596.0169173,228.893890258,2498758.3075
52,Virginia Polytechnic Institute and State University,14047.3333333,19.3373774575,30437.0321181
53,University of Chicago,51976.928129,61.5696405805,182139.308704
54,Washington University In St. Louis,4677.76515152,0.0,0.0
55,Georgia State University,21271.7166667,0.0,0.0
56,North Carolina State University,103354.006818,2402.72879989,41894875.0098
