Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/kdd,A1,1423.0,,1,journals/tkdd,,0.545945945946
2,conf/balt,232.0,827.0,,132.0,,2,conf/icdm,A1,935.0,,2,journals/sigkdd,,0.524945770065
3,journals/cee,1272.0,4934.0,,118.0,,3,conf/cikm,A1,602.0,,3,conf/kdd,A1,0.495991634716
4,journals/cma,4572.0,33510.0,,118.0,,4,conf/icde,A1,521.0,,4,conf/sdm,A2,0.468809073724
5,journals/pr,6744.0,201239.0,A1,118.0,,5,conf/icml,A1,499.0,,5,journals/datamine,A2,0.392857142857
6,journals/cce,2581.0,35527.0,,118.0,,6,conf/sdm,A2,496.0,,6,conf/wsdm,B1,0.288930581614
7,conf/cvpr,6874.0,379400.0,A1,118.0,,7,journals/tkde,A1,483.0,,7,conf/icdm,A1,0.286282914881
8,journals/neuroimage,6390.0,202819.0,,117.0,,8,conf/www,A1,446.0,,8,conf/pkdd,A2,0.196386946387
9,conf/mmar,518.0,135.0,,113.0,,9,conf/sigmod,A1,417.0,,9,journals/tist,,0.192429022082
10,conf/icete,769.0,1194.0,B4,94.0,,10,conf/aaai,A1,395.0,,10,journals/sadm,B4,0.1875
11,journals/information,150.0,275.0,,93.0,,11,conf/pkdd,A2,337.0,,11,journals/kais,A2,0.186868686869
12,journals/eswa,8936.0,109580.0,A1,89.0,,12,conf/nips,A1,332.0,,12,conf/pakdd,,0.169430051813
13,journals/scl,1739.0,26654.0,,89.0,,13,conf/pakdd,,327.0,,13,journals/tkde,A1,0.165241190558
14,journals/automatica,7338.0,229957.0,A1,86.0,,14,conf/vldb,A1,265.0,,14,conf/icml,A1,0.151487553127
15,journals/cm,1467.0,7672.0,A1,86.0,,15,conf/sigir,A1,248.0,,15,journals/vldb,A2,0.148425787106
16,journals/pieee,1039.0,18961.0,A1,85.0,,16,conf/ijcai,A1,244.0,,16,conf/cikm,A1,0.138933764136
17,journals/sigpro,4742.0,50775.0,A1,84.0,,17,journals/sigkdd,,242.0,,17,conf/ssd,,0.135638297872
18,journals/www,423.0,7421.0,B1,83.0,,18,journals/datamine,A2,209.0,,18,conf/recsys,B1,0.124065769806
19,conf/www,4501.0,120253.0,A1,83.0,,19,journals/kais,A2,185.0,,19,conf/icde,A1,0.120406748324
20,journals/or,324.0,1008.0,,81.0,,20,journals/jmlr,A1,181.0,,20,journals/pvldb,A1,0.120189061445
21,journals/ploscb,3878.0,85175.0,,80.0,,21,journals/pvldb,A1,178.0,,21,conf/ilp,B1,0.116634799235
22,conf/coordination,377.0,6017.0,,78.0,,22,conf/wsdm,B1,154.0,,22,journals/ml,A1,0.116119174943
23,conf/infocom,6943.0,350398.0,A1,76.0,,23,conf/icmcs,B3,153.0,,23,conf/sigmod,A1,0.112520237453
24,journals/computer,4766.0,261329.0,,76.0,,24,journals/ml,A1,152.0,,24,conf/dis,A2,0.104815864023
25,journals/bmcbi,7074.0,136587.0,A1,73.0,,25,conf/edbt,A2,141.0,,25,conf/asunam,,0.101237345332
26,journals/ml,1309.0,184440.0,A1,73.0,,26,conf/mm,A1,136.0,,26,conf/vldb,A1,0.100340780008
27,journals/is,1504.0,32461.0,A2,72.0,,27,journals/bioinformatics,A1,118.0,,27,conf/www,A1,0.099089091313
28,journals/bise,313.0,1427.0,,70.0,,28,conf/cvpr,A1,107.0,,28,conf/edbt,A2,0.0964432284542
29,journals/isci,7032.0,124049.0,A1,70.0,,29,conf/ictai,A2,106.0,,29,conf/ssdbm,A2,0.0886075949367
