Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/kdd,A1,1401.0,,1,journals/tkdd,,0.632432432432
2,conf/balt,232.0,827.0,,132.0,,2,conf/icdm,A1,895.0,,2,conf/kdd,A1,0.488323457651
3,journals/pr,6744.0,201239.0,A1,118.0,,3,conf/cikm,A1,607.0,,3,conf/sdm,A2,0.45179584121
4,journals/cee,1272.0,4934.0,,118.0,,4,conf/icde,A1,524.0,,4,journals/sigkdd,,0.444685466377
5,conf/cvpr,6874.0,379400.0,A1,118.0,,5,journals/tkde,A1,516.0,,5,journals/datamine,A2,0.368421052632
6,journals/cce,2581.0,35527.0,,118.0,,6,conf/sdm,A2,478.0,,6,conf/wsdm,B1,0.288930581614
7,journals/cma,4572.0,33510.0,,118.0,,7,conf/icml,A1,468.0,,7,conf/icdm,A1,0.274035517453
8,journals/neuroimage,6390.0,202819.0,,117.0,,8,conf/sigmod,A1,435.0,,8,journals/tist,,0.198738170347
9,conf/mmar,518.0,135.0,,113.0,,9,conf/www,A1,418.0,,9,journals/sadm,B4,0.191176470588
10,conf/icete,769.0,1194.0,B4,94.0,,10,conf/aaai,A1,389.0,,10,journals/kais,A2,0.184848484848
11,journals/information,150.0,275.0,,93.0,,11,conf/nips,A1,318.0,,11,conf/pkdd,A2,0.181235431235
12,journals/eswa,8936.0,109580.0,A1,89.0,,12,conf/pkdd,A2,311.0,,12,journals/tkde,A1,0.176530961341
13,journals/scl,1739.0,26654.0,,89.0,,13,conf/pakdd,,305.0,,13,conf/pakdd,,0.158031088083
14,journals/automatica,7338.0,229957.0,A1,86.0,,14,conf/vldb,A1,262.0,,14,journals/vldb,A2,0.151424287856
15,journals/cm,1467.0,7672.0,A1,86.0,,15,conf/ijcai,A1,237.0,,15,journals/pvldb,A1,0.147197839298
16,journals/pieee,1039.0,18961.0,A1,85.0,,16,conf/sigir,A1,231.0,,16,conf/icml,A1,0.142076502732
17,journals/sigpro,4742.0,50775.0,A1,84.0,,17,journals/pvldb,A1,218.0,,17,conf/cikm,A1,0.140087699054
18,conf/www,4501.0,120253.0,A1,83.0,,18,journals/sigkdd,,205.0,,18,conf/ssd,,0.135638297872
19,journals/www,423.0,7421.0,B1,83.0,,19,journals/datamine,A2,196.0,,19,conf/recsys,B1,0.122571001495
20,journals/or,324.0,1008.0,,81.0,,20,journals/kais,A2,183.0,,20,conf/icde,A1,0.121100069332
21,journals/ploscb,3878.0,85175.0,,80.0,,21,journals/jmlr,A1,176.0,,21,conf/sigmod,A1,0.11737722612
22,conf/coordination,377.0,6017.0,,78.0,,22,conf/wsdm,B1,154.0,,22,journals/ml,A1,0.105423987777
23,journals/computer,4766.0,261329.0,,76.0,,23,conf/edbt,A2,151.0,,23,conf/icwsm,B1,0.10539523212
24,conf/infocom,6943.0,350398.0,A1,76.0,,24,journals/ml,A1,138.0,,24,conf/edbt,A2,0.103283173735
25,journals/bmcbi,7074.0,136587.0,A1,73.0,,25,journals/bioinformatics,A1,131.0,,25,conf/vldb,A1,0.099204846649
26,journals/ml,1309.0,184440.0,A1,73.0,,26,conf/icmcs,B3,126.0,,26,conf/aistats,,0.0971731448763
27,journals/is,1504.0,32461.0,A2,72.0,,27,conf/mm,A1,126.0,,27,conf/www,A1,0.0928682514997
28,journals/bise,313.0,1427.0,,70.0,,28,conf/dasfaa,B1,121.0,,28,conf/asunam,,0.0922384701912
29,journals/isci,7032.0,124049.0,A1,70.0,,29,journals/tkdd,,117.0,,29,conf/ssdbm,A2,0.0905550146056
30,conf/dasip,258.0,161.0,,70.0,,30,conf/cvpr,A1,115.0,,30,journals/jmlr,A1,0.0812933025404
31,conf/data,130.0,26.0,,69.0,,31,conf/ipps,A1,109.0,,31,conf/dasfaa,B1,0.0743243243243
32,conf/icml,3294.0,290468.0,A1,69.0,,32,conf/ictai,A2,103.0,,32,conf/sigir,A1,0.0651622002821
33,journals/orgsci,621.0,19294.0,,68.0,,33,journals/ijon,A1,102.0,,33,conf/pods,A1,0.0641373080397
34,conf/nips,5684.0,404822.0,A1,66.0,,34,journals/vldb,A2,101.0,,34,conf/dis,A2,0.0637393767705
35,journals/jocn,2068.0,89870.0,,64.0,,35,journals/bmcbi,A1,97.0,,35,conf/bcb,B4,0.0625
36,journals/interfaces,714.0,4506.0,B2,63.0,,36,journals/isci,A1,95.0,,36,journals/jiis,B1,0.0610119047619
37,journals/mansci,2100.0,125312.0,B2,62.0,,37,conf/ssdbm,A2,93.0,,37,conf/dawak,B1,0.060092449923
38,conf/icra,16038.0,236265.0,A1,61.0,,38,conf/uai,A1,85.0,,38,journals/tods,A2,0.0593505039194
39,journals/comsur,583.0,19860.0,A1,61.0,,39,conf/icwsm,B1,84.0,,39,journals/debu,,0.0579029733959
40,conf/sigmod,3706.0,337960.0,A1,61.0,,40,conf/asunam,,82.0,,40,journals/ida,,0.0573770491803
41,journals/ior,1480.0,54189.0,A1,61.0,,41,conf/recsys,B1,82.0,,41,conf/nips,A1,0.0559465165376
42,journals/simulation,1374.0,14076.0,B3,61.0,,42,conf/sac,A1,81.0,,42,journals/mms,A2,0.0524934383202
