Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/sigir,A1,1895.0,,1,conf/ictir,,0.559322033898
2,conf/balt,232.0,827.0,,132.0,,2,conf/cikm,A1,968.0,,2,conf/sigir,A1,0.534555712271
3,journals/cce,2581.0,35527.0,,118.0,,3,conf/trec,A2,811.0,,3,conf/adcs,,0.533980582524
4,conf/cvpr,6874.0,379400.0,A1,118.0,,4,conf/ecir,A2,523.0,,4,journals/ir,B1,0.469907407407
5,journals/pr,6744.0,201239.0,A1,118.0,,5,conf/clef,B2,502.0,,5,conf/ecir,A2,0.459174714662
6,journals/cee,1272.0,4934.0,,118.0,,6,conf/www,A1,474.0,,6,conf/trec,A2,0.453579418345
7,journals/cma,4572.0,33510.0,,118.0,,7,journals/jasis,A1,384.0,,7,journals/sigir,,0.453536754508
8,journals/neuroimage,6390.0,202819.0,,117.0,,8,journals/ipm,,358.0,,8,conf/iiix,,0.343612334802
9,conf/mmar,518.0,135.0,,113.0,,9,journals/sigir,,327.0,,9,journals/tois,A2,0.339344262295
10,conf/icete,769.0,1194.0,B4,94.0,,10,conf/mm,A1,267.0,,10,conf/wsdm,B1,0.333958724203
11,journals/information,150.0,275.0,,93.0,,11,conf/aaai,A1,251.0,,11,conf/inex,,0.324929971989
12,journals/eswa,8936.0,109580.0,A1,89.0,,12,conf/jcdl,A2,243.0,,12,conf/spire,B1,0.275563258232
13,journals/scl,1739.0,26654.0,,89.0,,13,journals/tois,A2,207.0,,13,conf/airs,B3,0.226937269373
14,journals/automatica,7338.0,229957.0,A1,86.0,,14,journals/ir,B1,203.0,,14,conf/cikm,A1,0.223401800138
15,journals/cm,1467.0,7672.0,A1,86.0,,15,conf/wsdm,B1,178.0,,15,journals/tweb,A2,0.2125
16,journals/pieee,1039.0,18961.0,A1,85.0,,16,conf/ntcir,,176.0,,16,conf/riao,,0.185358255452
