Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/nips,A1,1815.0,,1,conf/icml,A1,0.487249544627
2,conf/balt,232.0,827.0,,132.0,,2,conf/icml,A1,1605.0,,2,journals/jmlr,A1,0.434642032333
3,journals/pr,6744.0,201239.0,A1,118.0,,3,journals/jmlr,A1,941.0,,3,conf/colt,A2,0.377049180328
4,journals/cce,2581.0,35527.0,,118.0,,4,conf/aaai,A1,625.0,,4,conf/aistats,,0.356890459364
5,conf/cvpr,6874.0,379400.0,A1,118.0,,5,journals/ml,A1,420.0,,5,journals/ml,A1,0.320855614973
6,journals/cee,1272.0,4934.0,,118.0,,6,conf/colt,A2,414.0,,6,conf/nips,A1,0.319317382125
7,journals/cma,4572.0,33510.0,,118.0,,7,conf/kdd,A1,402.0,,7,conf/uai,A1,0.199491094148
8,journals/neuroimage,6390.0,202819.0,,117.0,,8,conf/uai,A1,392.0,,8,journals/tkdd,,0.189189189189
9,conf/mmar,518.0,135.0,,113.0,,9,conf/ijcai,A1,386.0,,9,conf/alt,B1,0.154255319149
10,conf/icete,769.0,1194.0,B4,94.0,,10,conf/icassp,A1,259.0,,10,conf/ilp,B1,0.143403441683
11,journals/information,150.0,275.0,,93.0,,11,conf/cvpr,A1,243.0,,11,conf/kdd,A1,0.140118508191
12,journals/eswa,8936.0,109580.0,A1,89.0,,12,conf/pkdd,A2,236.0,,12,conf/pkdd,A2,0.137529137529
13,journals/scl,1739.0,26654.0,,89.0,,13,conf/aistats,,202.0,,13,journals/sigkdd,,0.108459869848
14,journals/automatica,7338.0,229957.0,A1,86.0,,14,conf/icdm,A1,184.0,,14,conf/sdm,A2,0.100189035917
15,journals/cm,1467.0,7672.0,A1,86.0,,15,journals/neco,A1,181.0,,15,conf/wsdm,B1,0.0956848030019
16,journals/pieee,1039.0,18961.0,A1,85.0,,16,journals/pami,A1,159.0,,16,journals/tist,,0.0946372239748
17,journals/sigpro,4742.0,50775.0,A1,84.0,,17,journals/bioinformatics,A1,137.0,,17,journals/datamine,A2,0.0864661654135
18,journals/www,423.0,7421.0,B1,83.0,,18,conf/acl,A1,135.0,,18,conf/aaai,A1,0.0827266710788
19,conf/www,4501.0,120253.0,A1,83.0,,19,conf/sigir,A1,129.0,,19,conf/emnlp,A1,0.0797101449275
20,journals/or,324.0,1008.0,,81.0,,20,journals/tnn,,119.0,,20,journals/jair,A1,0.0790419161677
21,journals/ploscb,3878.0,85175.0,,80.0,,21,journals/tit,A1,117.0,,21,journals/neco,A1,0.0732200647249
22,conf/coordination,377.0,6017.0,,78.0,,22,journals/ai,A1,117.0,,22,conf/dis,A2,0.070821529745
23,journals/computer,4766.0,261329.0,,76.0,,23,conf/alt,B1,116.0,,23,conf/ijcai,A1,0.0623787976729
24,conf/infocom,6943.0,350398.0,A1,76.0,,24,conf/icip,A1,111.0,,24,conf/conll,,0.0609555189456
25,journals/ml,1309.0,184440.0,A1,73.0,,25,conf/emnlp,A1,110.0,,25,conf/ai,B1,0.0599520383693
26,journals/bmcbi,7074.0,136587.0,A1,73.0,,26,conf/cikm,A1,108.0,,26,conf/icdm,A1,0.056338028169
27,journals/is,1504.0,32461.0,A2,72.0,,27,conf/sdm,A2,106.0,,27,conf/naacl,A1,0.0467289719626
28,journals/bise,313.0,1427.0,,70.0,,28,conf/icra,A1,105.0,,28,journals/ai,A1,0.0453488372093
29,journals/isci,7032.0,124049.0,A1,70.0,,29,conf/atal,,104.0,,29,conf/robocup,,0.0425531914894
30,conf/dasip,258.0,161.0,,70.0,,30,conf/www,A1,95.0,,30,journals/aim,A2,0.0409240924092
31,conf/data,130.0,26.0,,69.0,,31,conf/interspeech,A1,92.0,,31,conf/aips,,0.0401301518438
32,conf/icml,3294.0,290468.0,A1,69.0,,32,conf/icann,B1,90.0,,32,conf/recomb,A2,0.0374493927126
33,journals/orgsci,621.0,19294.0,,68.0,,33,conf/iros,A1,83.0,,33,conf/sigecom,,0.0374064837905
34,conf/nips,5684.0,404822.0,A1,66.0,,34,journals/nn,A1,82.0,,34,conf/sigir,A1,0.036389280677
35,journals/jocn,2068.0,89870.0,,64.0,,35,journals/tsp,A1,79.0,,35,journals/ida,,0.0355191256831
36,journals/interfaces,714.0,4506.0,B2,63.0,,36,conf/eccv,A1,78.0,,36,conf/cvpr,A1,0.0353505964504
37,journals/mansci,2100.0,125312.0,B2,62.0,,37,conf/stoc,A1,76.0,,37,journals/ci,B1,0.0343007915567
38,conf/icra,16038.0,236265.0,A1,61.0,,38,conf/ilp,B1,75.0,,38,conf/icann,B1,0.0338218714769
39,journals/comsur,583.0,19860.0,A1,61.0,,39,conf/mm,A1,75.0,,39,conf/ismir,A1,0.0335235378031
40,journals/ior,1480.0,54189.0,A1,61.0,,40,journals/tkde,A1,75.0,,40,conf/acl,A1,0.0318246110325
41,conf/or,809.0,2232.0,B4,61.0,,41,journals/pr,A1,71.0,,41,conf/pakdd,,0.0316062176166
42,journals/simulation,1374.0,14076.0,B3,61.0,,42,journals/bmcbi,A1,70.0,,42,journals/pami,A1,0.0313424009462
43,conf/sigmod,3706.0,337960.0,A1,61.0,,43,conf/naacl,A1,70.0,,43,journals/tnn,,0.0307971014493
44,conf/eccv,3329.0,159515.0,A1,59.0,,44,journals/jair,A1,66.0,,44,journals/tkde,A1,0.0256585699624
45,conf/isscc,1967.0,13365.0,B1,59.0,,45,conf/iccv,A1,64.0,,45,conf/stoc,A1,0.025198938992
