Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/mm,A1,1879.0,,1,journals/tomccap,,0.51775147929
2,conf/balt,232.0,827.0,,132.0,,2,conf/icmcs,B3,1524.0,,2,conf/mm,A1,0.452117420597
3,journals/cma,4572.0,33510.0,,118.0,,3,conf/icip,A1,1191.0,,3,conf/mmsys,B3,0.398305084746
4,conf/cvpr,6874.0,379400.0,A1,118.0,,4,conf/icassp,A1,632.0,,4,conf/mir,,0.347107438017
5,journals/cce,2581.0,35527.0,,118.0,,5,conf/cvpr,A1,581.0,,5,journals/tmm,A1,0.331563421829
6,journals/pr,6744.0,201239.0,A1,118.0,,6,journals/tmm,A1,562.0,,6,conf/mmm,B1,0.296995708155
7,journals/cee,1272.0,4934.0,,118.0,,7,conf/icpr,A1,449.0,,7,conf/icimcs,,0.270557029178
8,journals/neuroimage,6390.0,202819.0,,117.0,,8,journals/tcsv,A1,438.0,,8,journals/ieeemm,A2,0.244590780809
9,conf/mmar,518.0,135.0,,113.0,,9,journals/tip,A1,387.0,,9,journals/mms,A2,0.230971128609
10,conf/icete,769.0,1194.0,B4,94.0,,10,conf/mmm,B1,346.0,,10,conf/icmcs,B3,0.209168267911
11,journals/information,150.0,275.0,,93.0,,11,conf/pcm,,337.0,,11,conf/pcm,,0.208024691358
12,journals/eswa,8936.0,109580.0,A1,89.0,,12,conf/iscas,A1,288.0,,12,conf/nossdav,A2,0.173033707865
13,journals/scl,1739.0,26654.0,,89.0,,13,journals/pami,A1,267.0,,13,conf/mediaeval,,0.166666666667
14,journals/cm,1467.0,7672.0,A1,86.0,,14,journals/ieeemm,A2,260.0,,14,journals/tcsv,A1,0.145273631841
15,journals/automatica,7338.0,229957.0,A1,86.0,,15,conf/mir,,252.0,,15,journals/tist,,0.145110410095
16,journals/pieee,1039.0,18961.0,A1,85.0,,16,journals/mta,B2,246.0,,16,conf/wiamis,,0.130193905817
17,journals/sigpro,4742.0,50775.0,A1,84.0,,17,conf/iccv,A1,213.0,,17,conf/mmsp,B2,0.128417037508
18,conf/www,4501.0,120253.0,A1,83.0,,18,journals/pr,A1,202.0,,18,conf/ism,B2,0.118257261411
19,journals/www,423.0,7421.0,B1,83.0,,19,conf/mmsp,B2,202.0,,19,conf/vcip,B1,0.115816767502
20,journals/or,324.0,1008.0,,81.0,,20,conf/globecom,A1,191.0,,20,conf/pcs,,0.112380952381
21,journals/ploscb,3878.0,85175.0,,80.0,,21,conf/eccv,A1,176.0,,21,conf/cbmi,,0.110236220472
22,conf/coordination,377.0,6017.0,,78.0,,22,journals/mms,A2,176.0,,22,journals/mta,B2,0.110017889088
23,journals/computer,4766.0,261329.0,,76.0,,23,journals/tomccap,,175.0,,23,journals/jvcir,B1,0.107047279215
24,conf/infocom,6943.0,350398.0,A1,76.0,,24,conf/icc,A2,171.0,,24,conf/fgr,,0.0928853754941
25,journals/bmcbi,7074.0,136587.0,A1,73.0,,25,conf/www,A1,169.0,,25,conf/cvpr,A1,0.0845213849287
26,journals/ml,1309.0,184440.0,A1,73.0,,26,conf/sigir,A1,154.0,,26,journals/spic,,0.0795529257068
27,journals/is,1504.0,32461.0,A2,72.0,,27,conf/infocom,A1,148.0,,27,journals/tip,A1,0.0757042253521
28,journals/isci,7032.0,124049.0,A1,70.0,,28,journals/ijon,A1,135.0,,28,conf/icig,B3,0.0742358078603
29,journals/bise,313.0,1427.0,,70.0,,29,conf/vcip,B1,134.0,,29,conf/iccv,A1,0.0706702057067
30,conf/dasip,258.0,161.0,,70.0,,30,conf/aaai,A1,123.0,,30,conf/icmi,A2,0.0706319702602
31,conf/data,130.0,26.0,,69.0,,31,journals/jsac,A1,123.0,,31,conf/icip,A1,0.0689116472835
32,conf/icml,3294.0,290468.0,A1,69.0,,32,journals/spic,,121.0,,32,conf/ismir,A1,0.0634807417974
