index,Vkey,VPsize,Information Retrieval,H-Index,Citations,Qualis,World Wide Web,Computer graphics (images),Operating system,Algorithm,Database,Computer network,Data mining,Programming language,Machine learning,Computer vision,Natural language processing,Computer hardware,Pattern recognition,Embedded system,Simulation,Internet privacy,Artificial intelligence,Human-computer interaction,Speech recognition,Parallel computing,Distributed computing,Computer architecture,Computational biology,Real-time computing,Computational science,Data science,Information retrieval,Theoretical computer science,Management science,Cognitive science,Operations research,Computer security,Bioinformatics,Multimedia,Mathematical optimization,Knowledge management,Telecommunications
0,journals/corr,,,,485635.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,conf/ssp,361.0,,,94.0,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,,,,,,,,,,
2,conf/isit,4224.0,,49.0,15815.0,B1,,,,23.0,,107.0,,,,,,,,,,,,,207.0,64.0,102.0,,,102.0,,,,2115.0,,,,54.0,,,48.0,,101.0
3,journals/tcom,7959.0,,,236070.0,A1,,,,,,312.0,,,,,,7.0,,7.0,,,,,352.0,112.0,298.0,,,298.0,,,,784.0,,,,145.0,,,,,905.0
4,journals/twc,5728.0,,,84604.0,A1,,,,,,467.0,,,,,,,,,,,,,366.0,86.0,423.0,,,423.0,,,,441.0,,,,238.0,,,,,1056.0
5,journals/jstsp,733.0,,,6282.0,A1,,,,,,,,,,,,,,,,,,,160.0,,,,,,,,,58.0,,,,,,,,,
6,conf/acssc,1721.0,,26.0,458.0,,,,,,,,,,,,,,,,,,,,286.0,,,,,,,,,124.0,,,,,,,,,74.0
7,journals/tmc,1549.0,,,38787.0,,,,98.0,,,394.0,,,,,,,,,,,,,,126.0,403.0,,,403.0,,,,20.0,,,,111.0,,,,,57.0
8,journals/tit,13667.0,,,729338.0,A1,,46.0,,320.0,,352.0,,,,,,,,,,41.0,,,531.0,202.0,331.0,,,331.0,,,,4777.0,,,,108.0,4.0,,192.0,,164.0
9,journals/wc,1264.0,,,103875.0,,,,,,,140.0,,,,,,,,,,,,,,,120.0,,,120.0,,,,26.0,,,,171.0,,,,,168.0
