Pkey,NGroups,Gkeys
conf/sc/FoxRSMBCCCCEFFGHKKLLLOPPSSWY93,13,"['Northwestern University', 'University of Chicago', 'Indiana University at Bloomington', 'Georgia Institute of Technology', 'University of Florida', 'University of Illinois at Urbana-Champaign', 'University of Oregon', 'University of Texas at Austin', 'University of California-Berkeley', 'Stanford University', 'University of Rochester', 'University of Maryland College Park', 'Mississippi State University']"
journals/tkde/Waha93,12,"['University of California-Berkeley', 'University of Pennsylvania', 'University of Texas at Dallas', 'Columbia University In The City of New York', 'University of Maryland College Park', 'New York University', 'University of California-Los Angeles', 'University of Maryland Baltimore County', 'University of Texas at Austin', 'University of Wisconsin-Madison', 'University of Massachusetts Amherst', 'Carnegie Mellon University']"
journals/cacm/AbiteboulABCCCDFGGGHHHIKPLMNSSSSSUWWZ05,11,"['Stanford University', 'University of Massachusetts Amherst', 'Massachusetts Institute of Technology', 'University of Arizona', 'University of California-Irvine', 'University of California-Berkeley', 'University of Wisconsin-Madison', 'ETH Zurich', 'Brown University', 'Rutgers The State University of New Jersey New Brunswick Campus', 'Yale University']"
journals/csur/AgarwalGEEIHHJKKLMMMMMPSSSW02,11,"['Stanford University', 'Rutgers The State University of New Jersey New Brunswick Campus', 'University of North Carolina at Chapel Hill', 'Duke University', 'University of California-Santa Barbara', 'University of Illinois at Urbana-Champaign', 'University of Illinois at Chicago', 'Rice University', 'University of Maryland College Park', 'Purdue University Main Campus', 'University of California-Davis']"
journals/sigmod/AbadiAABBCCDDFGHHHIJKMMMNRMOORSSWW14,10,"['Massachusetts Institute of Technology', 'University of Michigan-Ann Arbor', 'University of California-Irvine', 'University of California-Berkeley', 'Stanford University', 'Cornell University', 'University of Wisconsin-Madison', 'ETH Zurich', 'University of Illinois at Urbana-Champaign', 'Yale University']"
conf/ipps/KennedyMMCTBCDSAFARGJKDVW02,9,"['University of Tennessee', 'University of Chicago', 'University of California-San Diego', 'University of Illinois at Urbana-Champaign', 'Indiana University at Bloomington', 'University of California-Santa Barbara', 'Rice University', 'University of Houston', 'Rensselaer Polytechnic Institute']"
journals/aim/AhaBBGDEGGGHIJKKKLMMNPRRRRSSSTMHMN10,9,"['Wright State University Main Campus', 'Massachusetts Institute of Technology', 'University of California-Berkeley', 'University of Georgia', 'Georgia Institute of Technology', 'University of Central Florida', 'Universidade Federal do Rio Grande do Sul', 'University of Illinois at Chicago', 'University of North Carolina at Charlotte']"
conf/rtcsa/AroraRESBNKZCSKSAHTZNSKAWGCCDSTGFP05,9,"['University of Texas at Austin', 'University of California-Berkeley', 'Ohio State University Main Campus', 'Michigan State University', 'Wayne State University', 'University of Michigan-Ann Arbor', 'University of Iowa', 'University of Memphis', 'Kent State University Main Campus']"
conf/dcoss/AroraRSEBNKZSKCSAHZTGCNSKAWCDSTGFP05,9,"['University of Texas at Austin', 'University of California-Berkeley', 'Ohio State University Main Campus', 'Michigan State University', 'Wayne State University', 'University of Michigan-Ann Arbor', 'University of Iowa', 'University of Memphis', 'Kent State University Main Campus']"
journals/ijhpca/BermanCCDFGJKKMRTW01,9,"['University of Tennessee', 'University of Chicago', 'University of California-San Diego', 'University of Illinois at Urbana-Champaign', 'Indiana University at Bloomington', 'University of California-Santa Barbara', 'Rice University', 'University of Houston', 'Rensselaer Polytechnic Institute']"
journals/sigplan/AllenBBBFFHKKLLLPRRSTW08,9,"['Massachusetts Institute of Technology', 'University of Delaware', 'Brown University', 'Carnegie Mellon University', 'University of Central Florida', 'Northeastern University', 'University of California-Santa Barbara', 'University of California-Berkeley', 'Tufts University']"
journals/cn/AroraDBKZNMCDGCHKANVM04,8,"['University of Texas at Austin', 'Ohio State University Main Campus', 'Michigan State University', 'Wayne State University', 'University of Michigan-Ann Arbor', 'State University of New York at Buffalo', 'University of Iowa', 'Kent State University Main Campus']"
journals/ccr/AndersonBBCCCFHIKLLMNSSRWWY14,8,"['University of California-Berkeley', 'Cornell University', 'University of Pennsylvania', 'Princeton University', 'Stanford University', 'University of Illinois at Urbana-Champaign', 'Purdue University Main Campus', 'University of Texas at Austin']"
journals/jss/KuleszaSCCBLMSFACFPDPSCBLLMBBCSSSVACRPR13,8,"['Pontif\xc3\xadcia Universidade Cat\xc3\xb3lica do Rio de Janeiro', 'Universidade Federal de Pernambuco', 'Universidade Federal do Rio Grande de Norte', 'Universidade Estadual de Campinas', 'Universidade Federal da Bahia', 'Universidade de Fortaleza', 'USP - S\xc3\xa3o Carlos', 'Universidade Federal de S\xc3\xa3o Carlos']"
conf/fia/AndersonBBCCCFHIKLLMNSSRWWY13,8,"['University of California-Berkeley', 'Cornell University', 'University of Pennsylvania', 'Princeton University', 'Stanford University', 'University of Illinois at Urbana-Champaign', 'Purdue University Main Campus', 'University of Texas at Austin']"
journals/cacm/AgrawalABBCCDFFGGGHHHIKKMMOORSSSW09,8,"['Stanford University', 'Massachusetts Institute of Technology', 'University of California-Irvine', 'University of California-Berkeley', 'Cornell University', 'ETH Zurich', 'University of Oklahoma Norman Campus', 'University of Illinois at Urbana-Champaign']"
journals/tjs/BuellCCCDFHSKKKMMOPPQSSWW88,8,"['Purdue University Main Campus', 'University of Central Florida', 'University of Michigan-Ann Arbor', 'University of South Carolina Columbia', 'New York University', 'University of Kentucky', 'University of Maryland College Park', 'Kent State University Main Campus']"
journals/sigmod/AgrawalABBCCDFFGGGHHHIKKMMOORSSSW08,8,"['Stanford University', 'Massachusetts Institute of Technology', 'University of California-Irvine', 'University of California-Berkeley', 'Cornell University', 'ETH Zurich', 'University of Oklahoma Norman Campus', 'University of Illinois at Urbana-Champaign']"
journals/aim/BalducciniBBCFGHHHHLLMMMSSTVV08,8,"['Rensselaer Polytechnic Institute', 'Arizona State University', 'University of Southern California', 'Imperial College London', 'Brigham Young University', 'Florida International University', 'Stanford University', 'Northwestern University']"
conf/ipps/1999w,8,"['University of California-Santa Barbara', 'Old Dominion University', 'Indiana University at Bloomington', 'Georgia State University', 'University of Illinois at Urbana-Champaign', 'University of North Carolina at Chapel Hill', 'University of California-Davis', 'University of Florida']"
conf/cvpr/PonceBMBFHIKSSPS94,7,"['Rutgers The State University of New Jersey New Brunswick Campus', 'University of Rochester', 'University of California-Berkeley', 'University of Pennsylvania', 'University of Illinois at Urbana-Champaign', 'Boston University', 'Michigan State University']"
journals/aim/AnandBBBCCDDDEGGGHJJJKKLLLLMMMMNNOOPRRRSSWW07,7,"['University of Michigan-Ann Arbor', 'Oregon State University', 'University of Kentucky', 'Indiana University at Bloomington', 'Yale University', 'North Carolina State University', 'Rensselaer Polytechnic Institute']"
conf/gis/2009,7,"['University of California-Santa Barbara', 'University of Southern California', 'University of Illinois at Chicago', 'Purdue University Main Campus', 'University of Minnesota-Twin Cities', 'Northwestern University', 'Virginia Polytechnic Institute and State University']"
journals/aim/BlakeHHFSBMGPMKBSKPBdJDDRSGWGHIWAGL02,7,"['Arizona State University', 'Cornell University', 'University of Nebraska - Lincoln', 'University of Maryland Baltimore County', 'University of Illinois at Chicago', 'North Carolina State University', 'Washington University In St. Louis']"
journals/sigir/AllanABBCCDFHHHHHKLLLLMMPPRRRRRSSSSTVWXZ03,7,"['University of Massachusetts Amherst', 'University of Southern California', 'University of Illinois at Urbana-Champaign', 'University of Michigan-Ann Arbor', 'Carnegie Mellon University', 'University of Chicago', 'University of Rochester']"
journals/ijhpca/DongarraBM11,7,"['University of Tennessee', 'Northwestern University', 'University of Houston', 'University of Illinois at Urbana-Champaign', 'University of California-Berkeley', 'Indiana University at Bloomington', 'University of Chicago']"
conf/hpec/MattsonBBBDFFGGHKLLPPRSWY13,7,"['University of Tennessee', 'Carnegie Mellon University', 'University of Illinois at Urbana-Champaign', 'Georgia Institute of Technology', 'Indiana University at Bloomington', 'Massachusetts Institute of Technology', 'University of California-Santa Barbara']"
journals/ijpp/BermanCCCDDDDJKKLLMMMMMOPRSSXY05,7,"['University of Tennessee', 'University of California-San Diego', 'University of Chicago', 'University of Illinois at Urbana-Champaign', 'Rice University', 'University of Houston', 'Rensselaer Polytechnic Institute']"
conf/ipps/CooperDKKMMMMBCCDLOSXJLPRDMSYD04,7,"['University of Tennessee', 'University of California-San Diego', 'University of Chicago', 'University of Illinois at Urbana-Champaign', 'Rice University', 'University of Houston', 'Rensselaer Polytechnic Institute']"
conf/hpc/CatlettAA06,7,"['University of Chicago', 'University of Wisconsin-Madison', 'Indiana University at Bloomington', 'University of Illinois at Urbana-Champaign', 'Rensselaer Polytechnic Institute', 'Stanford University', 'Clemson University']"
journals/dt/LeeHKRWWRPSSBDFGTJJKMPMR14,7,"['University of Pennsylvania', 'California Institute of Technology', 'Carnegie Mellon University', 'University of Michigan-Ann Arbor', 'University of California-Berkeley', 'University of California-San Diego', 'University of Massachusetts Amherst']"
conf/iaai/ZhangYDADDGGKLMMMMOPRRSSTZZCDDKLMRSTWWHHW09,7,"['University of Massachusetts Amherst', 'Arizona State University', 'Rensselaer Polytechnic Institute', 'Oregon State University', 'Georgia Institute of Technology', 'University of Illinois at Urbana-Champaign', 'University of Rochester']"
conf/sbes/ChavezKSBLMSPFCCSAMFCSPBCSLSLPDBVRBAC11,7,"['Pontif\xc3\xadcia Universidade Cat\xc3\xb3lica do Rio de Janeiro', 'Universidade Federal de Pernambuco', 'Universidade Federal do Rio Grande de Norte', 'USP - S\xc3\xa3o Carlos', 'Universidade Federal da Bahia', 'Universidade de Fortaleza', 'Universidade Federal de S\xc3\xa3o Carlos']"
journals/tist/ZhangSYKDGMHWAWTDMMHDPDTWGRSKLDMORRMZZCLS12,7,"['University of Massachusetts Amherst', 'Arizona State University', 'Rensselaer Polytechnic Institute', 'Oregon State University', 'Georgia Institute of Technology', 'University of Illinois at Urbana-Champaign', 'University of Rochester']"
journals/cacm/JagadishGLPPRS14,6,"['University of Michigan-Ann Arbor', 'University of Southern California', 'Cornell University', 'University of Wisconsin-Madison', 'University of California-San Diego', 'University of Pittsburgh Pittsburgh Campus']"
conf/oopsla/BlackburnGHKMBDFFGHHJLMPSVDW06,6,"['University of Massachusetts Amherst', 'University of Texas at Austin', 'Purdue University Main Campus', 'University of New Mexico Main Campus', 'Tufts University', 'Northeastern University']"
conf/sigcse/PrasadCDDGGJKSLLPPPRRSSSWW11,6,"['University of Florida', 'University of Texas at Austin', 'University of Massachusetts Amherst', 'University of Illinois at Urbana-Champaign', 'University of Maryland College Park', 'Georgia State University']"
journals/tse/AdveBBDDHRSSTV00,6,"['University of Southern California', 'University of Texas at Austin', 'University of California-Los Angeles', 'University of Wisconsin-Madison', 'Purdue University Main Campus', 'University of Illinois at Urbana-Champaign']"
journals/tosn/VicaireHCYZGLSSA09,6,"['University of Virginia', 'University of Illinois at Urbana-Champaign', 'University of Minnesota-Twin Cities', 'College of William and Mary', 'University of Tennessee', 'Texas A & M University']"
journals/aim/HorvitzGGHKSWK10,6,"['University of Michigan-Ann Arbor', 'University of Maryland College Park', 'University of Rochester', 'Carnegie Mellon University', 'University of Minnesota-Twin Cities', 'Rice University']"
journals/aim/AbeckerABBDFGGLLMMMNNSSSSSSW06,6,"['Wright State University Main Campus', 'University of Michigan-Ann Arbor', 'Arizona State University', 'Northeastern University', 'University of Colorado at Boulder', 'University of Pennsylvania']"
conf/wosp/DeelmanDHLOSWABBHLRTV98,6,"['University of Southern California', 'University of Texas at Austin', 'University of California-Los Angeles', 'University of Wisconsin-Madison', 'Purdue University Main Campus', 'University of Illinois at Urbana-Champaign']"
journals/ijhpca/SnirWAABBBBCCCCDDEEFGGJKLLMMSSH14,6,"['Stanford University', 'University of California-San Diego', 'University of Chicago', 'University of Illinois at Urbana-Champaign', 'Purdue University Main Campus', 'University of Southern California']"
journals/jpdc/KennedyBCDFGJMT01,6,"['University of Tennessee', 'Indiana University at Bloomington', 'Rice University', 'University of Houston', 'Duke University', 'University of North Carolina at Chapel Hill']"
conf/tridentcom/TakaiBGDFSBKMMRMSE05,6,"['University of California-Los Angeles', 'University of California-Davis', 'University of California-Riverside', 'University of Delaware', 'University of Kansas', 'University of California-Santa Barbara']"
conf/rtcsa/HeLYGCZSVCSSA05,6,"['University of Virginia', 'University of Illinois at Urbana-Champaign', 'University of Minnesota-Twin Cities', 'College of William and Mary', 'University of Tennessee', 'Texas A & M University']"
journals/internet/HuhnsSBDDFGGJLNPRRSSSTWZ05,6,"['University of Southern California', 'North Carolina State University', 'University of Michigan-Ann Arbor', 'University of South Carolina Columbia', 'University of Maryland Baltimore County', 'University of Central Florida']"
journals/computer/El-RewiniHSEMHBCGLWMEPBW95,6,"['Purdue University Main Campus', 'University of California-San Diego', 'University of Chicago', 'University of Illinois at Urbana-Champaign', 'University of Virginia', 'Brown University']"
journals/sigmod/AbiteboulHVGHHRUVH05,6,"['Rice University', 'Stanford University', 'State University of New York at Albany', 'University of California-Los Angeles', 'University of California-Berkeley', 'University of Southern California']"
journals/cacm/BlackburnMGHKBDFFGHHJLMPSVDW08,6,"['University of Massachusetts Amherst', 'University of Texas at Austin', 'Purdue University Main Campus', 'University of New Mexico Main Campus', 'Tufts University', 'Northeastern University']"
conf/icde/2010,6,"['University of California-Irvine', 'University of California-Riverside', 'University of Southern California', 'Florida State University', 'University of Utah', 'Universidade Federal de Minas Gerais']"
journals/ccr/KoponenSBFGGGMPRRAK11,6,"['University of California-Berkeley', 'Princeton University', 'Massachusetts Institute of Technology', 'Stanford University', 'Georgia Institute of Technology', 'University of Illinois at Urbana-Champaign']"
journals/cacm/BajcsyBBBBFFHJKLLLMMNOPPRTSSW04,6,"['University of California-Berkeley', 'University of Pennsylvania', 'Penn State University', 'University of California-Davis', 'Purdue University Main Campus', 'Tufts University']"
journals/sigcse/ChangEKRSSS99,6,"['Clemson University', 'Iowa State University', 'University of Illinois at Chicago', 'Stanford University', 'University of Connecticut', 'University of Houston']"
conf/wsc/TolkBDFHLPRSZ11,6,"['Georgia State University', 'University of Florida', 'University of Virginia', 'Arizona State University', 'Virginia Polytechnic Institute and State University', 'University of Alabama In Huntsville']"
