CNPq_Id,Akey,CNPqLevelRel,index,APsize,H-Index
93,Daniel Schwabe,3,5416.0,119.0,36.0
201,Jussara M. Almeida,2,3782.0,143.0,34.0
258,Marcos André Gonçalves,2,1317.0,213.0,34.0
379,Wagner Meira Jr.,3,1154.0,223.0,33.0
290,Nivio Ziviani,5,7054.0,103.0,32.0
8,Alberto H. F. Laender,5,2171.0,180.0,29.0
18,Altigran Soares da Silva,2,6279.0,113.0,26.0
101,Edleno Silva de Moura,2,9897.0,90.0,25.0
330,Ricardo da Silva Torres,2,3694.0,142.0,23.0
298,Paulo Cesar Masiero,2,19235.0,72.0,21.0
266,Maria Cristina Ferreira de Oliveira,3,14124.0,72.0,18.0
3,Adriano Veloso,1,17464.0,67.0,17.0
254,Marco Cristo,1,36536.0,43.0,15.0
155,Gisele L. Pappa,1,31394.0,51.0,14.0
112,Eduardo Sany Laber,3,13287.0,71.0,
130,Fabrício Benevenuto,1,20279.0,52.0,
