,Akey,APsize,Score
1317,Marcos André Gonçalves,213,13.0
7054,Nivio Ziviani,103,11.0
9897,Edleno Silva de Moura,90,11.0
1154,Wagner Meira Jr.,223,7.0
36536,Marco Cristo,39,5.0
6279,Altigran Soares da Silva,113,4.0
3782,Jussara M. Almeida,135,3.0
17464,Adriano Veloso,64,3.0
20279,Fabrício Benevenuto,52,2.0
2171,Alberto H. F. Laender,180,1.0
3694,Ricardo da Silva Torres,142,1.0
5416,Daniel Schwabe,119,1.0
13287,Eduardo Sany Laber,71,1.0
14124,Maria Cristina Ferreira de Oliveira,72,1.0
19235,Paulo Cesar Masiero,61,1.0
31394,Gisele L. Pappa,43,1.0
0,H. Vincent Poor,768,
1,Wei Wang,1023,
2,Yan Zhang,953,
3,Wei Liu,934,
