,entity/cn,,entity/dcn,entity/f/0/fId,entity/f/0/fn,entity/f/1/fId,entity/f/1/fn,entity/f/2/fId,entity/f/2/fn,entity/f/3/fId,entity/f/3/fn,entity/f/4/fId,entity/f/4/fn,entity/f/5/fId,entity/f/5/fn,entity/f/6/fId,entity/f/6/fn,entity/f/7/fId,entity/f/7/fn,entity/f/8/fId,entity/f/8/fn,entity/f/9/fId,entity/f/9/fn,entity/f/10/fId,entity/f/10/fn,entity/f/11/fId,entity/f/11/fn,entity/f/12/fId,entity/f/12/fn,entity/f/13/fId,entity/f/13/fn,entity/f/14/fId,entity/f/14/fn,entity/f/15/fId,entity/f/15/fn,entity/f/16/fId,entity/f/16/fn,entity/f/17/fId,entity/f/17/fn,entity/f/18/fId,entity/f/18/fn,entity/e,entity/extended/dn,entity/extended/sn,entity/extended/pc,entity/ty,entity/id,entity/cc,entity/ecc,displayedTitle,publicationCount,citationCount,entity/f/19/fId,entity/f/19/fn
conf/,sigir,conf/sigir,SIGIR: International ACM SIGIR Conference on Research and Development in Information Retrieval,23123220,Information retrieval,41008148,Computer Science,124101348,Data mining,49774154,Multimedia,119857082,Machine learning,77088390,Database,154945302,Artificial intelligence,56739046,Knowledge management,11413529,Algorithm,87868495,Information processing,195324797,Natural language,136764020,World Wide Web,46312422,Communication,95831776,Information science,204321447,Natural language processing,155092808,Computational linguistics,45374587,Computation,124246873,Semantics,518677369,Social media,"{""DN"":""International ACM SIGIR Conference on Research and Development in Information Retrieval"",""SN"":""SIGIR"",""PC"":4229}",International ACM SIGIR Conference on Research and Development in Information Retrieval,SIGIR,4229,3,1140684652,152253,152253,SIGIR: International ACM SIGIR Conference on Research and Development in Information Retrieval,0,0,,
conf/,www,conf/www,WWW: International World Wide Web Conferences,136764020,World Wide Web,41008148,Computer Science,46312422,Communication,77088390,Database,11413529,Algorithm,49774154,Multimedia,124101348,Data mining,154945302,Artificial intelligence,45374587,Computation,124246873,Semantics,23123220,Information retrieval,119857082,Machine learning,56739046,Knowledge management,2129575,Semantic Web,121017731,Information technology,87868495,Information processing,1668388,Data management,518677369,Social media,86256295,Social network,"{""DN"":""International World Wide Web Conferences"",""SN"":""WWW"",""PC"":5866}",International World Wide Web Conferences,WWW,5866,3,1135342153,208439,208439,WWW: International World Wide Web Conferences,0,0,,
conf/,cikm,conf/cikm,CIKM: Conference on Information and Knowledge Management,56739046,Knowledge management,41008148,Computer Science,77088390,Database,124101348,Data mining,23123220,Information retrieval,11413529,Algorithm,154945302,Artificial intelligence,119857082,Machine learning,49774154,Multimedia,136764020,World Wide Web,46312422,Communication,87868495,Information processing,45374587,Computation,1668388,Data management,95831776,Information science,124246873,Semantics,195324797,Natural language,121017731,Information technology,2129575,Semantic Web,"{""DN"":""Conference on Information and Knowledge Management"",""SN"":""CIKM"",""PC"":4873}",Conference on Information and Knowledge Management,CIKM,4873,3,1194094125,78317,78317,CIKM: Conference on Information and Knowledge Management,0,0,,
conf/,sigmod,conf/sigmod,SIGMOD: International Conference on Management of Data,77088390,Database,41008148,Computer Science,124101348,Data mining,11413529,Algorithm,1668388,Data management,45374587,Computation,136764020,World Wide Web,46312422,Communication,49774154,Multimedia,56739046,Knowledge management,124246873,Semantics,119857082,Machine learning,23123220,Information retrieval,154945302,Artificial intelligence,75684735,Big data,36464697,Visualization,120314980,Distributed computing,195807954,Information extraction,72634772,Data integration,"{""DN"":""International Conference on Management of Data"",""SN"":""SIGMOD"",""PC"":4443}",International Conference on Management of Data,SIGMOD,4443,3,1175089206,234698,234698,SIGMOD: International Conference on Management of Data,0,0,,
conf/,vldb,conf/vldb,VLDB: Very Large Data Bases,77088390,Database,41008148,Computer Science,1668388,Data management,11413529,Algorithm,124101348,Data mining,45374587,Computation,46312422,Communication,49774154,Multimedia,136764020,World Wide Web,56739046,Knowledge management,124246873,Semantics,23123220,Information retrieval,154945302,Artificial intelligence,2129575,Semantic Web,75684735,Big data,120314980,Distributed computing,128487930,Information management,95831776,Information science,121017731,Information technology,"{""DN"":""Very Large Data Bases"",""SN"":""VLDB"",""PC"":3885}",Very Large Data Bases,VLDB,3885,3,1133523790,197174,197174,VLDB: Very Large Data Bases,0,0,,
conf/,icde,conf/icde,ICDE: International Conference on Data Engineering,77088390,Database,41008148,Computer Science,124101348,Data mining,1668388,Data management,11413529,Algorithm,49774154,Multimedia,56739046,Knowledge management,45374587,Computation,46312422,Communication,136764020,World Wide Web,124246873,Semantics,154945302,Artificial intelligence,23123220,Information retrieval,84685590,Knowledge engineering,75684735,Big data,119857082,Machine learning,2129575,Semantic Web,95831776,Information science,121017731,Information technology,"{""DN"":""International Conference on Data Engineering"",""SN"":""ICDE"",""PC"":4921}",International Conference on Data Engineering,ICDE,4921,3,1163988186,120590,120590,ICDE: International Conference on Data Engineering,0,0,,
conf/,kdd,conf/kdd,KDD: Knowledge Discovery and Data Mining,124101348,Data mining,41008148,Computer Science,119857082,Machine learning,11413529,Algorithm,154945302,Artificial intelligence,77088390,Database,45374587,Computation,46312422,Communication,23123220,Information retrieval,87868495,Information processing,49774154,Multimedia,56739046,Knowledge management,136764020,World Wide Web,86256295,Social network,60644358,Bioinformatics,36464697,Visualization,195324797,Natural language,178980831,Pattern recognition,121017731,Information technology,"{""DN"":""Knowledge Discovery and Data Mining"",""SN"":""KDD"",""PC"":5242}",Knowledge Discovery and Data Mining,KDD,5242,3,1130985203,188478,188478,KDD: Knowledge Discovery and Data Mining,0,0,,
conf/,mm,conf/mm,MM: ACM Multimedia,46312422,Communication,77088390,Database,11413529,Algorithm,49774154,Multimedia,41008148,Computer Science,36464697,Visualization,143409427,Magnetic resonance imaging,119599485,Electrical engineering,45374587,Computation,21442007,Graphics,169760540,Neuroscience,104267543,Signal processing,9417928,Image processing,115901376,Automation,108225325,Semiconductor,60644358,Bioinformatics,136229726,Biological engineering,178980831,Pattern recognition,121017731,Information technology,"{""DN"":""ACM Multimedia"",""SN"":""MM"",""PC"":4766}",ACM Multimedia,MM,4766,3,1135237122,84810,84810,MM: ACM Multimedia,0,0,,
conf/,acl,conf/acl,ACL: Meeting of the Association for Computational Linguistics,155092808,Computational linguistics,195324797,Natural language,204321447,Natural language processing,41008148,Computer Science,154945302,Artificial intelligence,119857082,Machine learning,46312422,Communication,124246873,Semantics,11413529,Algorithm,23123220,Information retrieval,203005215,Machine translation,77088390,Database,45374587,Computation,87868495,Information processing,195807954,Information extraction,124101348,Data mining,44291984,Question answering,49774154,Multimedia,28490314,Speech recognition,"{""DN"":""Meeting of the Association for Computational Linguistics"",""SN"":""ACL"",""PC"":5949}",Meeting of the Association for Computational Linguistics,ACL,5949,3,1188739475,153169,153169,ACL: Meeting of the Association for Computational Linguistics,0,0,,
conf/,iswc,conf/iswc,ISWC: International Semantic Web Conference,2129575,Semantic Web,41008148,Computer Science,124246873,Semantics,154945302,Artificial intelligence,77088390,Database,136764020,World Wide Web,46312422,Communication,49774154,Multimedia,56739046,Knowledge management,11413529,Algorithm,45374587,Computation,84685590,Knowledge engineering,115903868,Software Engineering,124101348,Data mining,121017731,Information technology,23123220,Information retrieval,87868495,Information processing,119857082,Machine learning,36464697,Visualization,"{""DN"":""International Semantic Web Conference"",""SN"":""ISWC"",""PC"":2096}",International Semantic Web Conference,ISWC,2096,3,1155608529,48710,48710,ISWC: International Semantic Web Conference,0,0,,
