index,Vkey,Qualis,VPsize,Citations,H-Index
194,conf/cvpr,A1,6874.0,379400.0,118.0
323,conf/www,A1,4501.0,120253.0,83.0
760,conf/icml,A1,3294.0,290468.0,69.0
758,conf/nips,A1,5684.0,404822.0,66.0
129,conf/sigmod,A1,3706.0,337960.0,61.0
994,conf/wsdm,B1,533.0,8651.0,54.0
119,conf/emnlp,A1,1380.0,19971.0,53.0
501,conf/icde,A1,4327.0,135333.0,52.0
1050,journals/ir,B1,432.0,42026.0,49.0
247,conf/sigir,A1,3545.0,205477.0,49.0
1077,conf/naacl,A1,1498.0,59153.0,48.0
10,conf/icassp,A1,28525.0,238265.0,47.0
560,conf/ijcai,A1,6188.0,295635.0,46.0
645,conf/interspeech,A1,17729.0,130378.0,39.0
227,conf/aaai,A1,7555.0,234650.0,37.0
66,conf/icip,A1,17283.0,156642.0,35.0
847,conf/sdm,A2,1058.0,20754.0,35.0
985,conf/vldb,A1,2641.0,235473.0,34.0
498,conf/sac,A1,5502.0,37130.0,32.0
442,conf/coling,A1,3555.0,68639.0,31.0
517,conf/lrec,A2,3847.0,17564.0,31.0
969,conf/clef,B2,2767.0,18658.0,24.0
246,conf/icmcs,B3,7286.0,55698.0,23.0
110,conf/webi,,1781.0,10504.0,22.0
543,conf/jcdl,A2,1597.0,13713.0,21.0
391,conf/dasfaa,B1,1628.0,6723.0,17.0
2483,conf/spire,B1,577.0,5936.0,17.0
445,conf/trec,A2,1788.0,55555.0,16.0
853,conf/mmm,B1,1165.0,3542.0,14.0
3400,conf/inex,,357.0,6857.0,13.0
629,journals/ipm,,2616.0,85353.0,12.0
624,journals/sigir,,721.0,31047.0,11.0
621,conf/airs,B3,542.0,1314.0,10.0
534,conf/chi,A1,10697.0,257222.0,6.0
75,conf/kdd,A1,2869.0,148223.0,
103,conf/ntcir,,993.0,1994.0,
106,journals/pvldb,A1,1481.0,18238.0,
161,conf/mm,A1,4156.0,84789.0,
184,conf/cikm,A1,4333.0,72291.0,
403,conf/icdm,A1,3266.0,43188.0,
418,journals/tmm,A1,1695.0,38203.0,
475,conf/acl,A1,4242.0,195392.0,
576,journals/jasis,A1,5376.0,281507.0,
581,conf/iiix,,227.0,586.0,
899,journals/tkde,A1,2923.0,124112.0,
1004,journals/tois,A2,610.0,71840.0,
1199,conf/ecir,A2,1139.0,8436.0,
1215,journals/cacm,A1,10519.0,922594.0,
1302,conf/ercimdl,,1123.0,9491.0,
2966,conf/riao,,642.0,8533.0,
