,Akey,APsize,Score
629,W. Bruce Croft,283,96.0
3401,Ryen W. White,148,49.0
227,Maarten de Rijke,383,47.0
3082,James Allan,155,45.0
1283,ChengXiang Zhai,216,42.0
1416,Justin Zobel,210,37.0
1980,Mark Sanderson,186,36.0
1422,Iadh Ounis,211,36.0
5514,Leif Azzopardi,119,36.0
3467,Susan T. Dumais,147,35.0
5894,Luo Si,113,35.0
16619,Oren Kurland,61,34.0
1296,Joemon M. Jose,218,32.0
2140,Norbert Fuhr,181,32.0
3732,Craig Macdonald,143,30.0
3593,Charles L. A. Clarke,145,29.0
398,Tat-Seng Chua,329,29.0
1650,Alistair Moffat,197,27.0
9616,C. J. van Rijsbergen,89,26.0
4515,Tetsuya Sakai,132,26.0
934,Zheng Chen,244,26.0
6007,Nicholas J. Belkin,116,26.0
2271,Douglas W. Oard,177,26.0
8212,Eugene Agichtein,99,26.0
1677,Fabio Crestani,197,24.0
726,Ophir Frieder,269,24.0
14682,James P. Callan,72,24.0
17,Tao Li,698,24.0
3303,Jian-Yun Nie,149,24.0
7867,Jamie Callan,99,23.0
8956,Javed A. Aslam,93,23.0
1475,Hang Li,186,22.0
499,Wei-Ying Ma,301,22.0
284,Ricardo A. Baeza-Yates,359,22.0
7656,Diane Kelly,103,22.0
722,Gareth J. F. Jones,269,21.0
14008,Ben Carterette,74,21.0
10985,David Carmel,85,21.0
16020,Chris Buckley,68,20.0
1107,Clement T. Yu,231,20.0
29559,Milad Shokouhi,45,20.0
1870,Arjen P. de Vries,186,20.0
10475,Jimmy J. Lin,87,19.0
1550,Mounia Lalmas,199,19.0
3079,Gerard Salton,157,19.0
10368,Gordon V. Cormack,86,19.0
8404,Stephen E. Robertson,98,19.0
5529,Ellen M. Voorhees,120,18.0
2027,Jaap Kamps,185,18.0
198,Yong Yu,395,18.0
478,Edward A. Fox,307,18.0
20495,Paul N. Bennett,57,18.0
15195,Abraham Bookstein,70,17.0
14208,Ian Soboroff,73,17.0
2099,Hui Yang,178,17.0
7300,Yiming Yang,105,17.0
735,Eric Horvitz,230,17.0
5941,Aixin Sun,116,17.0
27508,Emine Yilmaz,48,17.0
15902,Abdur Chowdhury,68,17.0
20459,David D. Lewis,57,16.0
12206,Krisztian Balog,80,16.0
5462,Kalervo Järvelin,121,16.0
31299,William Webber,43,16.0
9647,Brian D. Davison 0001,91,16.0
7918,Pavel Serdyukov,97,16.0
2799,Vijay V. Raghavan,163,16.0
10789,Jaime Teevan,85,15.0
4505,Dawei Song,129,15.0
21256,Fernando Diaz,56,15.0
21430,Donald Metzler,57,15.0
679,Rong Jin,239,14.0
207,Qiang Yang 0001,393,14.0
3390,Djoerd Hiemstra,149,14.0
144,Gerhard Weikum,446,14.0
8529,Nick Craswell,97,14.0
2395,Hongyuan Zha,162,14.0
34247,Filip Radlinski,36,14.0
9338,Falk Scholer,93,13.0
32356,Evangelos Kanoulas,42,13.0
14861,Shmuel T. Klein,71,13.0
20426,Chirag Shah,58,13.0
1317,Marcos André Gonçalves,213,13.0
8970,Ian Ruthven,94,13.0
121,Hsinchun Chen,476,13.0
19849,Roi Blanco,57,13.0
18196,Fazli Can,63,13.0
3115,Wai Lam,153,13.0
23444,Wouter Weerkamp,53,12.0
10737,Jialie Shen,86,12.0
32648,K. L. Kwok,42,12.0
7340,Peter Bruza,104,12.0
6736,Gary Marchionini,108,12.0
2625,Kam-Fai Wong,166,12.0
34717,Mark D. Smucker,39,12.0
10425,Donna Harman,87,12.0
16233,David A. Grossman,68,12.0
1157,Xueqi Cheng,211,12.0
3585,Hui Fang,147,12.0
503,Alan F. Smeaton,301,12.0
5736,Ji-Rong Wen,114,12.0
