,RankA0,RankP0,RankA1,RankP1,RankA2,RankP2,RankA3,RankP3,RankA4,RankP4,RankA5,RankP5,RankA6,RankP6,RankA7,RankP7
1,University of Illinois at Chicago,Universidade Federal do Amazonas,University of Massachusetts Amherst,Universidade Federal do Amazonas,University of Massachusetts Amherst,University of Massachusetts Amherst,University of Massachusetts Amherst,University of Massachusetts Amherst,University of Massachusetts Amherst,Universidade Federal do Amazonas,University of Massachusetts Amherst,Universidade Federal do Amazonas,University of Massachusetts Amherst,University of Massachusetts Amherst,University of Massachusetts Amherst,University of Massachusetts Amherst
2,University of Massachusetts Amherst,University of Massachusetts Amherst,University of Illinois at Chicago,University of Massachusetts Amherst,Lehigh University,Lehigh University,Lehigh University,Lehigh University,University of Illinois at Chicago,University of Massachusetts Amherst,University of Illinois at Chicago,University of Massachusetts Amherst,University of Illinois at Chicago,Lehigh University,University of Illinois at Chicago,Lehigh University
3,University of Illinois at Urbana-Champaign,Lehigh University,Florida International University,Lehigh University,University of Illinois at Chicago,Northeastern University,University of Illinois at Chicago,University of Iowa,Florida International University,Lehigh University,Florida International University,Lehigh University,Lehigh University,Northeastern University,Florida International University,University of Illinois at Chicago
4,Florida International University,University of Illinois at Chicago,University of Illinois at Urbana-Champaign,University of Illinois at Chicago,Florida International University,Illinois Institute of Technology,University of Illinois at Urbana-Champaign,Universidade Federal de Minas Gerais,University of Illinois at Urbana-Champaign,University of Illinois at Chicago,University of Illinois at Urbana-Champaign,University of Illinois at Chicago,Florida International University,Universidade Federal de Minas Gerais,Lehigh University,Universidade Federal de Minas Gerais
5,Carnegie Mellon University,Universidade Federal de Minas Gerais,Lehigh University,Universidade Federal de Minas Gerais,University of Illinois at Urbana-Champaign,University of Iowa,Virginia Polytechnic Institute and State University,State University of New York at Albany,Lehigh University,Universidade Federal de Minas Gerais,Carnegie Mellon University,Universidade Federal de Minas Gerais,University of Illinois at Urbana-Champaign,University of Illinois at Chicago,University of Illinois at Urbana-Champaign,Florida International University
6,Arizona State University,Florida International University,Carnegie Mellon University,Florida International University,Illinois Institute of Technology,Universidade Federal de Minas Gerais,Florida International University,Universidade Federal do Amazonas,Carnegie Mellon University,Florida International University,Arizona State University,Florida International University,Illinois Institute of Technology,Florida International University,Purdue University Main Campus,Northeastern University
7,Stanford University,University of Rochester,Arizona State University,Oregon Health and Science University,Northeastern University,Universidade Federal do Amazonas,Illinois Institute of Technology,Northeastern University,Arizona State University,Oregon Health and Science University,Lehigh University,Northeastern University,Northeastern University,Illinois Institute of Technology,Virginia Polytechnic Institute and State University,Illinois Institute of Technology
8,Lehigh University,Northeastern University,Stanford University,Northeastern University,Virginia Polytechnic Institute and State University,State University of New York at Albany,University of Iowa,Illinois Institute of Technology,Stanford University,Northeastern University,Stanford University,University of Iowa,Virginia Polytechnic Institute and State University,Universidade Federal do Amazonas,Illinois Institute of Technology,Universidade Federal do Amazonas
9,University of Minnesota-Twin Cities,University of Illinois at Urbana-Champaign,Purdue University Main Campus,State University of New York at Albany,Purdue University Main Campus,Florida International University,University of Louisiana at Lafayette,University of Louisiana at Lafayette,Purdue University Main Campus,University of Iowa,University of Minnesota-Twin Cities,State University of New York at Albany,Purdue University Main Campus,University of Iowa,Carnegie Mellon University,University of Iowa
10,University of California-Berkeley,Illinois Institute of Technology,University of Minnesota-Twin Cities,University of Iowa,University of Iowa,University of Illinois at Chicago,Northeastern University,Virginia Polytechnic Institute and State University,University of Minnesota-Twin Cities,State University of New York at Albany,Cornell University,University of Rochester,Universidade Federal de Minas Gerais,Virginia Polytechnic Institute and State University,Northeastern University,University of Illinois at Urbana-Champaign
11,University of California-Santa Barbara,State University of New York at Albany,University of California-Santa Barbara,Louisiana State University and Agricultural and Mechanical College,Universidade Federal de Minas Gerais,University of Louisiana at Lafayette,State University of New York at Albany,University of Arkansas Main Campus,University of California-Santa Barbara,Louisiana State University and Agricultural and Mechanical College,Purdue University Main Campus,Illinois Institute of Technology,Old Dominion University,University of Illinois at Urbana-Champaign,Universidade Federal de Minas Gerais,Virginia Polytechnic Institute and State University
