Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/icip,A1,4166.0,,1,conf/cvpr,A1,0.387547279604
2,conf/balt,232.0,827.0,,132.0,,2,conf/cvpr,A1,2664.0,,2,conf/iccv,A1,0.383875248839
3,journals/cce,2581.0,35527.0,,118.0,,3,conf/icassp,A1,1640.0,,3,journals/ijcv,A1,0.330659025788
4,journals/cee,1272.0,4934.0,,118.0,,4,journals/pami,A1,1440.0,,4,conf/eccv,A1,0.316611595074
5,journals/pr,6744.0,201239.0,A1,118.0,,5,journals/tip,A1,1292.0,,5,journals/pami,A1,0.283855706682
6,journals/cma,4572.0,33510.0,,118.0,,6,conf/iccv,A1,1157.0,,6,journals/tip,A1,0.252738654147
7,conf/cvpr,6874.0,379400.0,A1,118.0,,7,conf/icpr,A1,1116.0,,7,conf/emmcvpr,,0.25
8,journals/neuroimage,6390.0,202819.0,,117.0,,8,conf/eccv,A1,1054.0,,8,conf/icip,A1,0.241046114679
9,conf/mmar,518.0,135.0,,113.0,,9,conf/icmcs,B3,987.0,,9,journals/tcsv,A1,0.236484245439
10,conf/icete,769.0,1194.0,B4,94.0,,10,journals/tcsv,A1,713.0,,10,conf/pcs,,0.23619047619
11,journals/information,150.0,275.0,,93.0,,11,journals/pr,A1,620.0,,11,conf/icb,,0.218130311615
12,journals/eswa,8936.0,109580.0,A1,89.0,,12,journals/ijcv,A1,577.0,,12,conf/wacv,B1,0.216622458002
13,journals/scl,1739.0,26654.0,,89.0,,13,conf/mm,A1,541.0,,13,conf/mmsp,B2,0.212333121424
14,journals/cm,1467.0,7672.0,A1,86.0,,14,conf/bmvc,A2,519.0,,14,conf/fgr,,0.208498023715
15,journals/automatica,7338.0,229957.0,A1,86.0,,15,conf/iscas,A1,487.0,,15,journals/tmm,A1,0.208259587021
16,journals/pieee,1039.0,18961.0,A1,85.0,,16,conf/miccai,A1,452.0,,16,journals/cviu,A1,0.205913410771
17,journals/sigpro,4742.0,50775.0,A1,84.0,,17,journals/tsp,A1,407.0,,17,conf/bmvc,A2,0.204976303318
18,journals/www,423.0,7421.0,B1,83.0,,18,journals/cviu,A1,390.0,,18,conf/vcip,B1,0.184096802074
19,conf/www,4501.0,120253.0,A1,83.0,,19,conf/isbi,B1,373.0,,19,conf/accv,,0.183286908078
20,journals/or,324.0,1008.0,,81.0,,20,journals/tmm,A1,353.0,,20,journals/spic,,0.161735700197
21,journals/ploscb,3878.0,85175.0,,80.0,,21,conf/mmsp,B2,334.0,,21,journals/ejivp,,0.152230971129
22,conf/coordination,377.0,6017.0,,78.0,,22,conf/accv,,329.0,,22,conf/3dim,B1,0.150081566069
23,journals/computer,4766.0,261329.0,,76.0,,23,journals/prl,A1,327.0,,23,conf/icmcs,B3,0.135465275872
24,conf/infocom,6943.0,350398.0,A1,76.0,,24,conf/nips,A1,286.0,,24,conf/mm,A1,0.130173243503
25,journals/ml,1309.0,184440.0,A1,73.0,,25,journals/ivc,A1,277.0,,25,conf/icdsc,,0.130136986301
26,journals/bmcbi,7074.0,136587.0,A1,73.0,,26,journals/spic,,246.0,,26,conf/vmv,,0.125581395349
27,journals/is,1504.0,32461.0,A2,72.0,,27,conf/wacv,B1,245.0,,27,journals/cvgip,,0.125358166189
