Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/cvpr,A1,1781.0,,1,conf/ictir,,0.449152542373
2,conf/balt,232.0,827.0,,132.0,,2,conf/sigir,A1,1506.0,,2,conf/sigir,A1,0.424823695346
3,journals/pr,6744.0,201239.0,A1,118.0,,3,journals/pami,A1,1497.0,,3,journals/sigir,,0.396671289875
4,journals/cma,4572.0,33510.0,,118.0,,4,conf/icpr,A1,972.0,,4,journals/ir,B1,0.375
5,journals/cce,2581.0,35527.0,,118.0,,5,conf/iccv,A1,868.0,,5,conf/trec,A2,0.368568232662
6,conf/cvpr,6874.0,379400.0,A1,118.0,,6,conf/cikm,A1,770.0,,6,conf/ecir,A2,0.351185250219
7,journals/cee,1272.0,4934.0,,118.0,,7,conf/eccv,A1,753.0,,7,journals/pami,A1,0.295091661739
8,journals/neuroimage,6390.0,202819.0,,117.0,,8,conf/icip,A1,685.0,,8,conf/iccv,A1,0.28798938288
9,conf/mmar,518.0,135.0,,113.0,,9,conf/trec,A2,659.0,,9,conf/wsdm,B1,0.279549718574
10,conf/icete,769.0,1194.0,B4,94.0,,10,journals/pr,A1,580.0,,10,journals/ijcv,A1,0.277936962751
11,journals/information,150.0,275.0,,93.0,,11,journals/ijcv,A1,485.0,,11,conf/cvpr,A1,0.259092231597
12,journals/eswa,8936.0,109580.0,A1,89.0,,12,conf/mm,A1,420.0,,12,conf/iiix,,0.242290748899
13,journals/scl,1739.0,26654.0,,89.0,,13,conf/ecir,A2,400.0,,13,conf/gbrpr,,0.237288135593
14,journals/cm,1467.0,7672.0,A1,86.0,,14,conf/bmvc,A2,385.0,,14,journals/tois,A2,0.227868852459
15,journals/automatica,7338.0,229957.0,A1,86.0,,15,conf/www,A1,360.0,,15,conf/inex,,0.226890756303
16,journals/pieee,1039.0,18961.0,A1,85.0,,16,conf/icdar,A2,333.0,,16,conf/eccv,A1,0.226194052268
17,journals/sigpro,4742.0,50775.0,A1,84.0,,17,journals/cviu,A1,332.0,,17,conf/icb,,0.182719546742
18,journals/www,423.0,7421.0,B1,83.0,,18,journals/prl,A1,323.0,,18,conf/cikm,A1,0.177705977383
19,conf/www,4501.0,120253.0,A1,83.0,,19,conf/clef,B2,314.0,,19,journals/cviu,A1,0.175290390707
20,journals/or,324.0,1008.0,,81.0,,20,conf/nips,A1,312.0,,20,conf/sspr,B1,0.168181818182
21,journals/ploscb,3878.0,85175.0,,80.0,,21,conf/icassp,A1,292.0,,21,conf/fgr,,0.166007905138
22,conf/coordination,377.0,6017.0,,78.0,,22,journals/sigir,,286.0,,22,conf/drr,,0.164179104478
23,conf/infocom,6943.0,350398.0,A1,76.0,,23,conf/icmcs,B3,283.0,,23,conf/emmcvpr,,0.163793103448
24,journals/computer,4766.0,261329.0,,76.0,,24,journals/ipm,,269.0,,24,conf/riao,,0.16199376947
25,journals/bmcbi,7074.0,136587.0,A1,73.0,,25,conf/aaai,A1,266.0,,25,conf/mcs,,0.15644820296
26,journals/ml,1309.0,184440.0,A1,73.0,,26,journals/tip,A1,264.0,,26,conf/wacv,B1,0.153846153846
27,journals/is,1504.0,32461.0,A2,72.0,,27,journals/jasis,A1,243.0,,27,conf/bmvc,A2,0.15205371248
28,journals/isci,7032.0,124049.0,A1,70.0,,28,journals/ivc,A1,228.0,,28,conf/spire,B1,0.140381282496
29,conf/dasip,258.0,161.0,,70.0,,29,journals/tsmc,,224.0,,29,conf/airs,B3,0.138376383764
30,journals/bise,313.0,1427.0,,70.0,,30,conf/icml,A1,191.0,,30,conf/das,,0.136186770428
31,conf/data,130.0,26.0,,69.0,,31,conf/ijcai,A1,181.0,,31,journals/ijdar,B1,0.129441624365
32,conf/icml,3294.0,290468.0,A1,69.0,,32,conf/wacv,B1,174.0,,32,conf/mir,,0.12258953168
33,journals/orgsci,621.0,19294.0,,68.0,,33,conf/miccai,A1,172.0,,33,journals/cvgip,,0.122492836676
34,conf/nips,5684.0,404822.0,A1,66.0,,34,journals/cvgip,,171.0,,34,conf/icdar,A2,0.12056480811
35,journals/jocn,2068.0,89870.0,,64.0,,35,conf/fgr,,168.0,,35,conf/ntcir,,0.114803625378
36,journals/interfaces,714.0,4506.0,B2,63.0,,36,conf/accv,,162.0,,36,conf/clef,B2,0.113480303578
37,journals/mansci,2100.0,125312.0,B2,62.0,,37,journals/ir,B1,162.0,,37,conf/icpr,A1,0.108337048596
38,journals/ior,1480.0,54189.0,A1,61.0,,38,conf/icdm,A1,162.0,,38,conf/icfhr,,0.105172413793
39,conf/sigmod,3706.0,337960.0,A1,61.0,,39,conf/icra,A1,153.0,,39,journals/ipm,,0.102828746177
40,conf/or,809.0,2232.0,B4,61.0,,40,conf/wsdm,B1,149.0,,40,conf/mm,A1,0.101058710298
41,journals/simulation,1374.0,14076.0,B3,61.0,,41,conf/sspr,B1,148.0,,41,conf/accv,,0.0902506963788
42,journals/comsur,583.0,19860.0,A1,61.0,,42,conf/jcdl,A2,142.0,,42,conf/jcdl,A2,0.0889167188478
43,conf/icra,16038.0,236265.0,A1,61.0,,43,conf/kdd,A1,142.0,,43,journals/ivc,A1,0.0887159533074
44,conf/isscc,1967.0,13365.0,B1,59.0,,44,journals/tois,A2,139.0,,44,journals/mva,B1,0.0868024800709
45,conf/eccv,3329.0,159515.0,A1,59.0,,45,journals/tog,A1,134.0,,45,journals/pr,A1,0.0860023724792
46,conf/smc,9388.0,28167.0,B2,58.0,,46,conf/icb,,129.0,,46,conf/ercimdl,,0.0845948352627
47,conf/se,978.0,773.0,,57.0,,47,journals/tmm,A1,127.0,,47,conf/www,A1,0.079982226172
48,journals/computing,2617.0,31198.0,B1,57.0,,48,journals/tkde,A1,126.0,,48,conf/caip,B2,0.0753532182104
49,journals/soco,1974.0,28145.0,B1,57.0,,49,journals/ijprai,B1,125.0,,49,journals/tmm,A1,0.0749262536873
50,journals/itp,375.0,12276.0,,56.0,,50,journals/tcsv,A1,116.0,,50,journals/ieeemm,A2,0.071495766698
