Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/aaai,A1,2015.0,,1,conf/kr,A2,0.484913793103
2,conf/balt,232.0,827.0,,132.0,,2,conf/ijcai,A1,1747.0,,2,journals/ai,A1,0.41976744186
3,journals/cee,1272.0,4934.0,,118.0,,3,journals/ai,A1,1083.0,,3,conf/socs,,0.370689655172
4,journals/cma,4572.0,33510.0,,118.0,,4,conf/atal,,984.0,,4,journals/jair,A1,0.360479041916
5,journals/cce,2581.0,35527.0,,118.0,,5,conf/ecai,A2,460.0,,5,conf/lpnmr,B1,0.353057199211
6,conf/cvpr,6874.0,379400.0,A1,118.0,,6,conf/kr,A2,450.0,,6,conf/aips,,0.309110629067
7,journals/pr,6744.0,201239.0,A1,118.0,,7,conf/uai,A1,406.0,,7,conf/ijcai,A1,0.282320620556
8,journals/neuroimage,6390.0,202819.0,,117.0,,8,journals/aim,A2,374.0,,8,conf/aaai,A1,0.266710787558
9,conf/mmar,518.0,135.0,,113.0,,9,conf/iros,A1,343.0,,9,conf/sum,,0.25468164794
10,conf/icete,769.0,1194.0,B4,94.0,,10,conf/cp,A2,338.0,,10,journals/aamas,A2,0.254385964912
11,journals/information,150.0,275.0,,93.0,,11,conf/icra,A1,320.0,,11,journals/aim,A2,0.246864686469
12,journals/eswa,8936.0,109580.0,A1,89.0,,12,journals/jair,A1,301.0,,12,conf/dlog,,0.244126659857
13,journals/scl,1739.0,26654.0,,89.0,,13,conf/aips,,285.0,,13,conf/cp,A2,0.238700564972
14,journals/automatica,7338.0,229957.0,A1,86.0,,14,conf/icml,A1,284.0,,14,conf/jelia,B1,0.232108317215
15,journals/cm,1467.0,7672.0,A1,86.0,,15,conf/dlog,,239.0,,15,journals/constraints,,0.224
16,journals/pieee,1039.0,18961.0,A1,85.0,,16,journals/expert,A1,180.0,,16,conf/sara,,0.219178082192
17,journals/sigpro,4742.0,50775.0,A1,84.0,,17,conf/lpnmr,B1,179.0,,17,conf/aamas,A1,0.215258855586
18,journals/www,423.0,7421.0,B1,83.0,,18,conf/robocup,,177.0,,18,conf/atal,,0.211840688913
19,conf/www,4501.0,120253.0,A1,83.0,,19,conf/nips,A1,168.0,,19,conf/uai,A1,0.206615776081
20,journals/or,324.0,1008.0,,81.0,,20,journals/amai,B1,155.0,,20,journals/sigecom,,0.174904942966
21,journals/ploscb,3878.0,85175.0,,80.0,,21,conf/dagstuhl,,153.0,,21,journals/tplp,B1,0.174180327869
22,conf/coordination,377.0,6017.0,,78.0,,22,conf/semweb,,150.0,,22,journals/ci,B1,0.163588390501
23,journals/computer,4766.0,261329.0,,76.0,,23,journals/ml,A1,146.0,,23,conf/ilp,B1,0.160611854685
24,conf/infocom,6943.0,350398.0,A1,76.0,,24,conf/iclp,B1,141.0,,24,conf/ecsqaru,B1,0.160390516039
25,journals/ml,1309.0,184440.0,A1,73.0,,25,conf/acl,A1,129.0,,25,conf/robocup,,0.150638297872
26,journals/bmcbi,7074.0,136587.0,A1,73.0,,26,journals/ci,B1,124.0,,26,conf/ecai,A2,0.148771021992
27,journals/is,1504.0,32461.0,A2,72.0,,27,conf/aaaiss,,120.0,,27,conf/sigecom,,0.143391521197
28,journals/bise,313.0,1427.0,,70.0,,28,conf/jelia,B1,120.0,,28,conf/cpaior,B2,0.142480211082
29,conf/dasip,258.0,161.0,,70.0,,29,journals/aamas,A2,116.0,,29,journals/amai,B1,0.142463235294
30,journals/isci,7032.0,124049.0,A1,70.0,,30,conf/cvpr,A1,116.0,,30,journals/tocl,,0.138613861386
31,conf/icml,3294.0,290468.0,A1,69.0,,31,conf/ecsqaru,B1,115.0,,31,journals/ml,A1,0.1115355233
32,conf/data,130.0,26.0,,69.0,,32,conf/sigecom,,115.0,,32,journals/aicom,B2,0.101160862355
33,journals/orgsci,621.0,19294.0,,68.0,,33,journals/cacm,A1,114.0,,33,journals/expert,A1,0.0949868073879
34,conf/nips,5684.0,404822.0,A1,66.0,,34,conf/kdd,A1,110.0,,34,conf/sat,B1,0.0919324577861
35,journals/jocn,2068.0,89870.0,,64.0,,35,journals/pami,A1,101.0,,35,conf/aaaiss,,0.0887573964497
36,journals/interfaces,714.0,4506.0,B2,63.0,,36,journals/logcom,B1,99.0,,36,journals/logcom,B1,0.0873015873016
37,journals/mansci,2100.0,125312.0,B2,62.0,,37,conf/www,A1,96.0,,37,conf/icml,A1,0.0862173649059
38,journals/ior,1480.0,54189.0,A1,61.0,,38,conf/icdm,A1,95.0,,38,conf/iccbr,B4,0.0824088748019
39,journals/comsur,583.0,19860.0,A1,61.0,,39,conf/ki,,92.0,,39,journals/jetai,B2,0.0788253477589
40,conf/icra,16038.0,236265.0,A1,61.0,,40,journals/tsmc,,90.0,,40,conf/iclp,B1,0.0786830357143
41,journals/simulation,1374.0,14076.0,B3,61.0,,41,journals/tkde,A1,89.0,,41,conf/aaaifs,,0.072808320951
42,conf/or,809.0,2232.0,B4,61.0,,42,conf/ictai,A2,89.0,,42,journals/jar,B1,0.0705622932745
43,conf/sigmod,3706.0,337960.0,A1,61.0,,43,conf/ausai,,88.0,,43,conf/lpar,B1,0.0686015831135
44,conf/isscc,1967.0,13365.0,B1,59.0,,44,conf/cade,A2,87.0,,44,conf/ki,,0.0665701881331
45,conf/eccv,3329.0,159515.0,A1,59.0,,45,journals/ijar,A2,86.0,,45,journals/cogsci,,0.0649350649351
46,conf/smc,9388.0,28167.0,B2,58.0,,46,journals/jacm,A1,86.0,,46,conf/ausai,,0.061797752809
47,journals/soco,1974.0,28145.0,B1,57.0,,47,conf/socs,,86.0,,47,conf/pricai,,0.0594925634296
48,journals/computing,2617.0,31198.0,B1,57.0,,48,journals/tplp,B1,85.0,,48,conf/cade,A2,0.0581939799331
49,conf/se,978.0,773.0,,57.0,,49,journals/constraints,,84.0,,49,conf/semweb,,0.0579822187862
50,journals/itp,375.0,12276.0,,56.0,,50,conf/ilp,B1,84.0,,50,conf/ismis,B2,0.0579243765084
51,conf/networking,1306.0,9360.0,B1,56.0,,51,conf/birthday,,82.0,,51,journals/ker,,0.0566948130277
52,conf/nsdi,481.0,17531.0,A1,54.0,,52,conf/aamas,A1,79.0,,52,conf/pods,A1,0.0551038843722
53,conf/wsdm,533.0,8651.0,B1,54.0,,53,conf/cikm,A1,77.0,,53,conf/iui,A1,0.0544117647059
54,conf/emnlp,1380.0,19971.0,A1,53.0,,54,conf/coling,A1,76.0,,54,journals/ijar,A2,0.0534825870647
55,conf/isca,1821.0,135083.0,A1,53.0,,55,journals/cogsci,,75.0,,55,journals/jlp,,0.0470588235294
56,journals/networks,1952.0,113935.0,B1,52.0,,56,conf/iccv,A1,75.0,,56,conf/emnlp,A1,0.0420289855072
57,conf/icde,4327.0,135333.0,A1,52.0,,57,conf/iui,A1,74.0,,57,conf/pkdd,A2,0.0407925407925
58,journals/behaviourIT,1033.0,21287.0,,52.0,,58,conf/ismis,B2,72.0,,58,conf/kdd,A1,0.0383408853259
59,journals/nn,3310.0,136228.0,A1,52.0,,59,journals/fuin,B1,72.0,,59,conf/esws,,0.0359327217125
60,journals/cl,552.0,5040.0,,51.0,,60,journals/ras,A2,71.0,,60,conf/ictai,A2,0.0355289421158
61,journals/toc,169.0,1011.0,,51.0,,61,journals/tcs,A1,71.0,,61,conf/dagstuhl,,0.0348757693184
62,journals/jcisd,6138.0,73816.0,B1,51.0,,62,conf/pkdd,A2,70.0,,62,conf/naacl,A1,0.0347129506008
63,journals/dss,2302.0,56927.0,A1,50.0,,63,conf/sum,,68.0,,63,journals/ijis,B1,0.0327552986513
