Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,journals/bioinformatics,A1,2187.0,,1,conf/eccb,B1,0.412429378531
2,conf/balt,232.0,827.0,,132.0,,2,journals/bmcbi,A1,949.0,,2,conf/gcb,,0.261868300153
3,journals/cee,1272.0,4934.0,,118.0,,3,journals/nar,B1,913.0,,3,conf/bibm,B4,0.243947858473
4,conf/cvpr,6874.0,379400.0,A1,118.0,,4,conf/bibm,B4,393.0,,4,conf/gensips,,0.237068965517
5,journals/pr,6744.0,201239.0,A1,118.0,,5,journals/ploscb,,292.0,,5,journals/ejbsb,,0.23178807947
6,journals/cma,4572.0,33510.0,,118.0,,6,journals/jcb,A1,270.0,,6,conf/recomb,A2,0.224696356275
7,journals/cce,2581.0,35527.0,,118.0,,7,conf/recomb,A2,222.0,,7,journals/jbcb,B1,0.218579234973
8,journals/neuroimage,6390.0,202819.0,,117.0,,8,conf/gcb,,171.0,,8,journals/bioinformatics,A1,0.217244462104
9,conf/mmar,518.0,135.0,,113.0,,9,journals/bmcsb,,166.0,,9,conf/wabi,B1,0.202505219207
10,conf/icete,769.0,1194.0,B4,94.0,,10,journals/tcbb,A2,162.0,,10,journals/jcb,A1,0.178453403833
11,journals/information,150.0,275.0,,93.0,,11,journals/jbcb,B1,160.0,,11,journals/biodb,,0.162222222222
12,journals/eswa,8936.0,109580.0,A1,89.0,,12,journals/tsp,A1,105.0,,12,journals/tcbb,A2,0.161354581673
13,journals/scl,1739.0,26654.0,,89.0,,13,conf/wabi,B1,97.0,,13,journals/nar,B1,0.158699808795
14,journals/automatica,7338.0,229957.0,A1,86.0,,14,conf/bibe,B1,96.0,,14,journals/ijdmb,,0.153846153846
15,journals/cm,1467.0,7672.0,A1,86.0,,15,journals/jcisd,B1,95.0,,15,conf/isbra,B3,0.139053254438
16,journals/pieee,1039.0,18961.0,A1,85.0,,16,journals/tcs,A1,92.0,,16,journals/almob,A1,0.135458167331
17,journals/sigpro,4742.0,50775.0,A1,84.0,,17,journals/bib,,92.0,,17,journals/bmcbi,A1,0.134153237207
18,conf/www,4501.0,120253.0,A1,83.0,,18,conf/bcb,B4,80.0,,18,conf/bcb,B4,0.121951219512
19,journals/www,423.0,7421.0,B1,83.0,,19,conf/cikm,A1,79.0,,19,journals/biomedsem,,0.120331950207
20,journals/or,324.0,1008.0,,81.0,,20,journals/biodb,,73.0,,20,journals/bib,,0.115288220551
21,journals/ploscb,3878.0,85175.0,,80.0,,21,conf/icassp,A1,73.0,,21,journals/bmcsb,,0.111859838275
22,conf/coordination,377.0,6017.0,,78.0,,22,conf/eccb,B1,73.0,,22,conf/cpm,B1,0.101265822785
23,journals/computer,4766.0,261329.0,,76.0,,23,conf/globecom,A1,73.0,,23,journals/isb,,0.100436681223
24,conf/infocom,6943.0,350398.0,A1,76.0,,24,conf/cpm,B1,72.0,,24,journals/ijbra,B3,0.0931506849315
25,journals/ml,1309.0,184440.0,A1,73.0,,25,journals/candc,A2,72.0,,25,journals/ploscb,,0.0752965446106
26,journals/bmcbi,7074.0,136587.0,A1,73.0,,26,journals/pr,A1,70.0,,26,conf/cibcb,B3,0.0718336483932
27,journals/is,1504.0,32461.0,A2,72.0,,27,conf/ipps,A1,69.0,,27,conf/bibe,B1,0.0703296703297
28,journals/bise,313.0,1427.0,,70.0,,28,conf/kdd,A1,69.0,,28,journals/candc,A2,0.0381355932203
29,conf/dasip,258.0,161.0,,70.0,,29,conf/fskd,B2,64.0,,29,conf/cocoon,B1,0.0353833192923
30,journals/isci,7032.0,124049.0,A1,70.0,,30,conf/nips,A1,62.0,,30,conf/grc,,0.0305039787798
31,conf/data,130.0,26.0,,69.0,,31,conf/coling,A1,62.0,,31,conf/isaac,B1,0.0295226130653
32,conf/icml,3294.0,290468.0,A1,69.0,,32,conf/icic,,59.0,,32,conf/sdm,A2,0.0283553875236
33,journals/orgsci,621.0,19294.0,,68.0,,33,conf/gensips,,55.0,,33,conf/pakdd,,0.0243523316062
34,conf/nips,5684.0,404822.0,A1,66.0,,34,journals/ieicet,,54.0,,34,conf/kdd,A1,0.0240501917044
35,journals/jocn,2068.0,89870.0,,64.0,,35,conf/icip,A1,54.0,,35,journals/jbi,A2,0.0216903515333
36,journals/interfaces,714.0,4506.0,B2,63.0,,36,journals/ijdmb,,52.0,,36,journals/jcamd,A1,0.0204734484965
37,journals/mansci,2100.0,125312.0,B2,62.0,,37,journals/prl,A1,51.0,,37,conf/icic,,0.0204011065007
38,journals/simulation,1374.0,14076.0,B3,61.0,,38,conf/icdm,A1,47.0,,38,conf/icmla,B2,0.019647696477
39,journals/comsur,583.0,19860.0,A1,61.0,,39,conf/isaac,B1,47.0,,39,journals/algorithmica,,0.0182982616651
40,conf/or,809.0,2232.0,B4,61.0,,40,conf/isbra,B3,47.0,,40,conf/cikm,A1,0.0182321717055
41,conf/icra,16038.0,236265.0,A1,61.0,,41,conf/pakdd,,47.0,,41,conf/pkdd,A2,0.0180652680653
42,conf/sigmod,3706.0,337960.0,A1,61.0,,42,conf/grc,,46.0,,42,journals/jamia,A1,0.0177458033573
43,journals/ior,1480.0,54189.0,A1,61.0,,43,journals/isb,,46.0,,43,conf/coling,A1,0.0174402250352
44,conf/eccv,3329.0,159515.0,A1,59.0,,44,journals/dam,A2,45.0,,44,journals/jcss,A2,0.0158850226929
45,conf/isscc,1967.0,13365.0,B1,59.0,,45,conf/icc,A2,45.0,,45,journals/jcst,B2,0.015756302521
46,conf/smc,9388.0,28167.0,B2,58.0,,46,journals/isci,A1,45.0,,46,journals/jcisd,B1,0.015477354187
47,journals/computing,2617.0,31198.0,B1,57.0,,47,conf/acl,A1,44.0,,47,conf/bmei,B4,0.014968614196
48,journals/soco,1974.0,28145.0,B1,57.0,,48,journals/ipl,A2,43.0,,48,conf/cis,B3,0.0146118721461
49,conf/se,978.0,773.0,,57.0,,49,conf/isbi,B1,43.0,,49,conf/icdm,A1,0.014390691978
50,journals/itp,375.0,12276.0,,56.0,,50,conf/cocoon,B1,42.0,,50,journals/jmlr,A1,0.013856812933
51,conf/networking,1306.0,9360.0,B1,56.0,,51,journals/jcss,A2,42.0,,51,journals/tkde,A1,0.0136845706466
52,conf/wsdm,533.0,8651.0,B1,54.0,,52,journals/sigpro,A1,42.0,,52,conf/soda,A1,0.0136798905609
53,conf/nsdi,481.0,17531.0,A1,54.0,,53,conf/igarss,B1,42.0,,53,conf/fskd,B2,0.0131687242798
54,conf/emnlp,1380.0,19971.0,A1,53.0,,54,conf/icmcs,B3,42.0,,54,journals/siamcomp,A1,0.0118437900128
55,conf/isca,1821.0,135083.0,A1,53.0,,55,journals/ijon,A1,41.0,,55,conf/icalp,A1,0.0112215453671
56,conf/icde,4327.0,135333.0,A1,52.0,,56,journals/tkde,A1,40.0,,56,conf/nips,A1,0.0109078114004
57,journals/nn,3310.0,136228.0,A1,52.0,,57,conf/soda,A1,40.0,,57,conf/icml,A1,0.0106253794778
58,journals/behaviourIT,1033.0,21287.0,,52.0,,58,journals/algorithmica,,40.0,,58,journals/pr,A1,0.0103795966785
59,journals/networks,1952.0,113935.0,B1,52.0,,59,journals/tsmc,,39.0,,59,conf/acl,A1,0.010372465818
60,journals/toc,169.0,1011.0,,51.0,,60,conf/cibcb,B3,38.0,,60,conf/icnc,B4,0.0103092783505
61,journals/jcisd,6138.0,73816.0,B1,51.0,,61,conf/vtc,A1,38.0,,61,conf/isbi,B1,0.0103018687111
62,journals/cl,552.0,5040.0,,51.0,,62,conf/cvpr,A1,38.0,,62,conf/stoc,A1,0.0102785145889
63,conf/ifip8-3,245.0,254.0,,50.0,,63,conf/robio,B1,38.0,,63,journals/tsp,A1,0.0101165815589
64,journals/dss,2302.0,56927.0,A1,50.0,,64,conf/cdc,B1,37.0,,64,conf/isnn,,0.00980392156863
65,conf/cn,214.0,241.0,,49.0,,65,journals/automatica,A1,37.0,,65,conf/robio,B1,0.0095525389643
66,conf/sigir,3545.0,205477.0,A1,49.0,,66,journals/siamcomp,A1,37.0,,66,conf/ipps,A1,0.00935212794795
67,journals/msom,382.0,7891.0,,49.0,,67,conf/wcnc,A2,37.0,,67,journals/prl,A1,0.00931506849315
68,conf/isit,4224.0,15815.0,B1,49.0,,68,conf/icnc,B4,37.0,,68,journals/tpds,A1,0.00909642207398
69,conf/iasam,951.0,3324.0,,49.0,,69,journals/jamia,A1,37.0,,69,journals/sigpro,A1,0.00885702235344
70,journals/ir,432.0,42026.0,B1,49.0,,70,conf/amia,,36.0,,70,journals/ejasp,B1,0.00879396984925
71,journals/intr,662.0,27143.0,B1,49.0,,71,conf/icalp,A1,35.0,,71,journals/tcs,A1,0.00850985107761
72,conf/ias,468.0,1722.0,B1,49.0,,72,journals/ejbsb,,35.0,,72,journals/tnn,,0.00828157349896
73,journals/ec,474.0,66933.0,A1,48.0,,73,conf/icml,A1,35.0,,73,journals/jcc,A1,0.00799817184644
74,journals/fgcs,2265.0,38059.0,A2,48.0,,74,journals/jcc,A1,35.0,,74,journals/dam,A2,0.00785477395706
75,conf/icwsm,797.0,7564.0,B1,48.0,,75,journals/ijbra,B3,34.0,,75,conf/dagstuhl,,0.00752222475496
76,conf/eurocrypt,1310.0,147911.0,A1,48.0,,76,journals/almob,A1,34.0,,76,journals/tbe,A1,0.00704690596785
77,conf/naacl,1498.0,59153.0,A1,48.0,,77,conf/isnn,,33.0,,77,conf/amia,,0.00642169104531
78,journals/jcc,4376.0,140430.0,A1,47.0,,78,conf/dagstuhl,,33.0,,78,journals/isci,A1,0.00639931740614
79,journals/mia,1047.0,45369.0,A1,47.0,,79,conf/cis,B3,32.0,,79,journals/ipl,A2,0.00618616026471
80,conf/icassp,28525.0,238265.0,A1,47.0,,80,journals/jcamd,A1,32.0,,80,journals/tip,A1,0.00586854460094
81,conf/ijcai,6188.0,295635.0,A1,46.0,,81,journals/tbe,A1,32.0,,81,conf/icmcs,B3,0.00576447982432
82,journals/biosystems,997.0,8011.0,,46.0,,82,journals/tnn,,32.0,,82,journals/ijon,A1,0.00557899033882
83,conf/soco,139.0,1132.0,,46.0,,83,conf/stoc,A1,31.0,,83,conf/cvpr,A1,0.00552807681117
84,journals/bib,798.0,38929.0,,46.0,,84,conf/bmei,B4,31.0,,84,conf/globecom,A1,0.00521056388294
85,conf/indin,449.0,117.0,,46.0,,85,conf/hicss,A1,31.0,,85,journals/tsmc,,0.00518272425249
86,conf/pldi,1303.0,110902.0,A1,46.0,,86,conf/smc,B2,31.0,,86,journals/automatica,A1,0.00504224584355
87,journals/interactions,2020.0,25053.0,B2,46.0,,87,conf/pkdd,A2,31.0,,87,conf/wcnc,A2,0.00495447241564
88,journals/ai,2580.0,376792.0,A1,46.0,,88,journals/jmlr,A1,30.0,,88,conf/cdc,B1,0.00429134771515
89,conf/iros,13604.0,126537.0,A1,45.0,,89,journals/tpds,A1,30.0,,89,conf/vtc,A1,0.00345863292983
90,journals/fss,3354.0,58453.0,A1,45.0,,90,journals/jcst,B2,30.0,,90,conf/smc,B2,0.00330208777162
91,conf/pdes,273.0,49.0,,45.0,,91,conf/sdm,A2,30.0,,91,journals/ieicet,,0.00318753320347
92,journals/jet,1697.0,99914.0,,45.0,,92,journals/tip,A1,30.0,,92,conf/icip,A1,0.00312445755945
93,journals/ijon,7349.0,79598.0,A1,45.0,,93,journals/biomedsem,,29.0,,93,conf/igarss,B1,0.00312198022746
94,journals/mktsci,521.0,15994.0,,45.0,,94,journals/jbi,A2,29.0,,94,conf/icc,A2,0.0030391031269
95,conf/dna,356.0,9770.0,B4,45.0,,95,conf/icmla,B2,29.0,,95,conf/hicss,A1,0.0027925412125
96,conf/popl,1511.0,171888.0,A1,45.0,,96,journals/ejasp,B1,28.0,,96,conf/icassp,A1,0.00255915863278
97,conf/globecom,14010.0,105540.0,A1,45.0,,97,journals/corr,,,,97,conf/balt,,
98,conf/cns,163.0,39.0,,45.0,,98,conf/ssp,,,,98,journals/cee,,
99,journals/isr,757.0,75607.0,,44.0,,99,conf/isit,B1,,,99,journals/cma,,
100,journals/algorithms,263.0,616.0,,44.0,,100,journals/tcom,A1,,,100,journals/cce,,
101,journals/prl,5475.0,100320.0,A1,44.0,,101,journals/twc,A1,,,101,journals/neuroimage,,
102,journals/kbs,2347.0,29383.0,,44.0,,102,journals/jstsp,A1,,,102,conf/mmar,,
103,conf/icc,14807.0,125393.0,A2,44.0,,103,conf/acssc,,,,103,conf/icete,B4,
104,conf/soda,2924.0,204116.0,A1,43.0,,104,journals/tmc,,,,104,journals/information,,
105,journals/mcm,3045.0,22454.0,A2,43.0,,105,journals/tit,A1,,,105,journals/eswa,A1,
106,conf/cdc,8622.0,25900.0,B1,43.0,,106,journals/wc,,,,106,journals/scl,,
107,journals/games,118.0,422.0,,43.0,,107,conf/allerton,,,,107,journals/cm,A1,
108,journals/geb,1630.0,74115.0,,43.0,,108,conf/infocom,A1,,,108,journals/pieee,A1,
109,journals/ahswn,409.0,2580.0,,42.0,,109,conf/ciss,,,,109,conf/www,A1,
110,journals/adhoc,1160.0,24419.0,B1,42.0,,110,journals/tifs,,,,110,journals/www,B1,
111,conf/hpca,787.0,26675.0,A1,42.0,,111,journals/ejwcn,B1,,,111,journals/or,,
112,journals/comcom,4829.0,48151.0,A2,42.0,,112,conf/crowncom,,,,112,conf/coordination,,
113,conf/IEEEcloud,598.0,2567.0,,42.0,,113,journals/siamco,A2,,,113,journals/computer,,
114,journals/semweb,157.0,886.0,,42.0,,114,conf/ita,,,,114,conf/infocom,A1,
115,conf/adhocnets,181.0,361.0,,42.0,,115,conf/dcc,A2,,,115,journals/ml,A1,
116,conf/vtc,10987.0,36827.0,A1,42.0,,116,journals/icl,A1,,,116,journals/is,A2,
117,conf/ieeehpcs,490.0,792.0,,42.0,,117,journals/jsac,A1,,,117,journals/bise,,
118,journals/siamsc,1790.0,41616.0,A1,42.0,,118,conf/iccoms,,,,118,conf/dasip,,
119,journals/siamjo,1172.0,70795.0,A1,41.0,,119,conf/globalsip,,,,119,conf/data,,
120,conf/date,5135.0,52731.0,A1,41.0,,120,journals/tvt,,,,120,journals/orgsci,,
121,journals/scientometrics,4199.0,122179.0,,40.0,,121,conf/camsap,,,,121,journals/jocn,,
122,conf/micro,1409.0,59172.0,A1,40.0,,122,journals/spm,A1,,,122,journals/interfaces,B2,
123,conf/tools,1369.0,73919.0,B1,40.0,,123,conf/smartgridcomm,,,,123,journals/mansci,B2,
124,conf/uist,1219.0,52308.0,A1,40.0,,124,journals/wpc,,,,124,journals/simulation,B3,
