Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,journals/tcad,A1,2307.0,,1,conf/ispd,A2,0.521406727829
2,conf/balt,232.0,827.0,,132.0,,2,conf/dac,A1,1960.0,,2,journals/tcad,A1,0.488150655946
3,journals/cma,4572.0,33510.0,,118.0,,3,conf/iccad,A1,1597.0,,3,conf/iccad,A1,0.482040446725
4,conf/cvpr,6874.0,379400.0,A1,118.0,,4,conf/date,A1,1241.0,,4,journals/todaes,B2,0.394701986755
5,journals/cee,1272.0,4934.0,,118.0,,5,conf/aspdac,,891.0,,5,conf/isca,A1,0.373970345964
6,journals/cce,2581.0,35527.0,,118.0,,6,journals/tvlsi,A1,755.0,,6,conf/hpca,A1,0.33418043202
7,journals/pr,6744.0,201239.0,A1,118.0,,7,conf/isca,A1,681.0,,7,conf/slip,,0.31718061674
8,journals/neuroimage,6390.0,202819.0,,117.0,,8,journals/tc,A1,674.0,,8,conf/aspdac,,0.308197855413
9,conf/mmar,518.0,135.0,,113.0,,9,conf/itc,A1,625.0,,9,journals/jetc,,0.308
10,conf/icete,769.0,1194.0,B4,94.0,,10,conf/iccd,A2,567.0,,10,conf/dac,A1,0.300337113086
11,journals/information,150.0,275.0,,93.0,,11,conf/vlsid,A2,567.0,,11,conf/islped,A1,0.297150610583
12,journals/scl,1739.0,26654.0,,89.0,,12,conf/iscas,A1,542.0,,12,conf/vts,A2,0.285178236398
13,journals/eswa,8936.0,109580.0,A1,89.0,,13,conf/vts,A2,456.0,,13,conf/micro,A1,0.272533711852
14,journals/cm,1467.0,7672.0,A1,86.0,,14,conf/isqed,B1,447.0,,14,conf/asplos,A1,0.271907216495
15,journals/automatica,7338.0,229957.0,A1,86.0,,15,conf/islped,A1,438.0,,15,journals/et,B2,0.259344012204
16,journals/pieee,1039.0,18961.0,A1,85.0,,16,conf/micro,A1,384.0,,16,conf/ets,,0.255364806867
17,journals/sigpro,4742.0,50775.0,A1,84.0,,17,conf/glvlsi,,358.0,,17,journals/tvlsi,A1,0.251331557923
