Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,journals/tcad,A1,2408.0,,1,conf/iccad,A1,0.59885300332
2,conf/balt,232.0,827.0,,132.0,,2,conf/dac,A1,2302.0,,2,conf/ispd,A2,0.585626911315
3,journals/cma,4572.0,33510.0,,118.0,,3,conf/iccad,A1,1984.0,,3,journals/tcad,A1,0.509521794329
4,conf/cvpr,6874.0,379400.0,A1,118.0,,4,conf/date,A1,1465.0,,4,journals/todaes,B2,0.42119205298
5,journals/pr,6744.0,201239.0,A1,118.0,,5,conf/aspdac,,1038.0,,5,conf/slip,,0.361233480176
6,journals/cce,2581.0,35527.0,,118.0,,6,journals/tvlsi,A1,836.0,,6,conf/aspdac,,0.35904531304
7,journals/cee,1272.0,4934.0,,118.0,,7,conf/iccd,A2,625.0,,7,conf/dac,A1,0.352742874655
8,journals/neuroimage,6390.0,202819.0,,117.0,,8,conf/itc,A1,625.0,,8,conf/islped,A1,0.327001356852
9,conf/mmar,518.0,135.0,,113.0,,9,conf/vlsid,A2,594.0,,9,journals/jetc,,0.316
10,conf/icete,769.0,1194.0,B4,94.0,,10,conf/iscas,A1,578.0,,10,conf/date,A1,0.2852969815
11,journals/information,150.0,275.0,,93.0,,11,conf/isqed,B1,528.0,,11,conf/codes,,0.283154121864
12,journals/scl,1739.0,26654.0,,89.0,,12,conf/islped,A1,482.0,,12,conf/isqed,B1,0.282504012841
13,journals/eswa,8936.0,109580.0,A1,89.0,,13,journals/tc,A1,459.0,,13,conf/vts,A2,0.278924327705
14,journals/cm,1467.0,7672.0,A1,86.0,,14,conf/vts,A2,446.0,,14,journals/tvlsi,A1,0.278295605859
15,journals/automatica,7338.0,229957.0,A1,86.0,,15,conf/glvlsi,,384.0,,15,conf/iccd,A2,0.271267361111
16,journals/pieee,1039.0,18961.0,A1,85.0,,16,conf/ispd,A2,383.0,,16,journals/et,B2,0.239511823036
17,journals/sigpro,4742.0,50775.0,A1,84.0,,17,journals/dt,,330.0,,17,conf/ets,,0.236051502146
18,journals/www,423.0,7421.0,B1,83.0,,18,journals/todaes,B2,318.0,,18,conf/vlsid,A2,0.230858919549
19,conf/www,4501.0,120253.0,A1,83.0,,19,journals/et,B2,314.0,,19,journals/dt,,0.221923335575
20,journals/or,324.0,1008.0,,81.0,,20,conf/ats,,252.0,,20,conf/glvlsi,,0.2183058556
21,journals/ploscb,3878.0,85175.0,,80.0,,21,conf/codes,,237.0,,21,conf/hldvt,B3,0.210526315789
22,conf/coordination,377.0,6017.0,,78.0,,22,conf/fpga,A2,195.0,,22,conf/ats,,0.200158856235
23,conf/infocom,6943.0,350398.0,A1,76.0,,23,journals/integration,B2,169.0,,23,conf/estimedia,B3,0.190677966102
24,journals/computer,4766.0,261329.0,,76.0,,24,journals/tcas,,163.0,,24,conf/fpga,A2,0.181395348837
25,journals/bmcbi,7074.0,136587.0,A1,73.0,,25,conf/isvlsi,B1,133.0,,25,journals/integration,B2,0.17714884696
26,journals/ml,1309.0,184440.0,A1,73.0,,26,conf/dft,B1,133.0,,26,journals/dafes,B2,0.174216027875
27,journals/is,1504.0,32461.0,A2,72.0,,27,conf/ipps,A1,122.0,,27,journals/jolpe,B2,0.161165048544
28,conf/dasip,258.0,161.0,,70.0,,28,conf/cicc,B2,122.0,,28,journals/esticas,,0.16
29,journals/bise,313.0,1427.0,,70.0,,29,conf/icassp,A1,114.0,,29,conf/async,A2,0.154897494305
30,journals/isci,7032.0,124049.0,A1,70.0,,30,journals/tecs,B1,113.0,,30,conf/fmcad,B1,0.152360515021
31,conf/data,130.0,26.0,,69.0,,31,conf/ets,,110.0,,31,journals/tecs,B1,0.15188172043
32,conf/icml,3294.0,290468.0,A1,69.0,,32,conf/cav,A1,100.0,,32,journals/iet-cdt,,0.151670951157
33,journals/orgsci,621.0,19294.0,,68.0,,33,conf/patmos,B2,99.0,,33,conf/itc,A1,0.14852661597
34,conf/nips,5684.0,404822.0,A1,66.0,,34,conf/iolts,B1,94.0,,34,conf/host,B3,0.146892655367
35,journals/jocn,2068.0,89870.0,,64.0,,35,conf/isca,A1,93.0,,35,conf/cases,A2,0.138339920949
36,journals/interfaces,714.0,4506.0,B2,63.0,,36,conf/fpl,A2,92.0,,36,conf/isvlsi,B1,0.137396694215
37,journals/mansci,2100.0,125312.0,B2,62.0,,37,journals/vlsisp,,92.0,,37,conf/patmos,B2,0.135802469136
38,conf/or,809.0,2232.0,B4,61.0,,38,conf/vlsi,,92.0,,38,conf/mtv,,0.131707317073
39,journals/ior,1480.0,54189.0,A1,61.0,,39,journals/jolpe,B2,83.0,,39,conf/nocs,B1,0.12927756654
40,conf/sigmod,3706.0,337960.0,A1,61.0,,40,conf/slip,,82.0,,40,conf/iolts,B1,0.123197903014
41,conf/icra,16038.0,236265.0,A1,61.0,,41,journals/ieicet,,81.0,,41,conf/dft,B1,0.121239744758
42,journals/comsur,583.0,19860.0,A1,61.0,,42,journals/jetc,,79.0,,42,conf/memocode,,0.11356466877
43,journals/simulation,1374.0,14076.0,B3,61.0,,43,conf/hldvt,B3,76.0,,43,conf/mbmv,,0.107305936073
44,conf/eccv,3329.0,159515.0,A1,59.0,,44,conf/socc,B2,75.0,,44,conf/vlsi,,0.105747126437
45,conf/isscc,1967.0,13365.0,B1,59.0,,45,conf/fmcad,B1,71.0,,45,conf/emsoft,A2,0.0932203389831
46,conf/smc,9388.0,28167.0,B2,58.0,,46,conf/cases,A2,70.0,,46,journals/fmsd,A2,0.0855513307985
47,journals/soco,1974.0,28145.0,B1,57.0,,47,conf/async,A2,68.0,,47,conf/socc,B2,0.0809061488673
48,journals/computing,2617.0,31198.0,B1,57.0,,48,conf/icpp,A2,68.0,,48,conf/cicc,B2,0.0801050558109
49,conf/se,978.0,773.0,,57.0,,49,conf/dsd,B1,67.0,,49,conf/cav,A1,0.077519379845
50,conf/networking,1306.0,9360.0,B1,56.0,,50,journals/computer,,66.0,,50,journals/tc,A1,0.0695770804911
51,journals/itp,375.0,12276.0,,56.0,,51,journals/tpds,A1,63.0,,51,conf/lctrts,,0.0623501199041
52,conf/wsdm,533.0,8651.0,B1,54.0,,52,conf/isscc,B1,61.0,,52,conf/asap,B1,0.059796437659
53,conf/nsdi,481.0,17531.0,A1,54.0,,53,journals/iet-cdt,,59.0,,53,conf/sat,B1,0.0525328330206
54,conf/emnlp,1380.0,19971.0,A1,53.0,,54,conf/ismvl,B2,59.0,,54,conf/fdl,B3,0.0521582733813
55,conf/isca,1821.0,135083.0,A1,53.0,,55,conf/micro,A1,58.0,,55,conf/fccm,A2,0.0516194331984
56,journals/behaviourIT,1033.0,21287.0,,52.0,,56,conf/icmcs,B3,55.0,,56,conf/sips,,0.0515097690941
