Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/cvpr,A1,3453.0,,1,conf/iccv,A1,0.520238885202
2,conf/balt,232.0,827.0,,132.0,,2,conf/iccv,A1,1568.0,,2,conf/cvpr,A1,0.502327611289
3,conf/cvpr,6874.0,379400.0,A1,118.0,,3,conf/eccv,A1,1504.0,,3,journals/ijcv,A1,0.493982808023
4,journals/pr,6744.0,201239.0,A1,118.0,,4,journals/pami,A1,1419.0,,4,conf/eccv,A1,0.451787323521
5,journals/cee,1272.0,4934.0,,118.0,,5,conf/icip,A1,1050.0,,5,conf/emmcvpr,,0.313218390805
6,journals/cma,4572.0,33510.0,,118.0,,6,conf/icpr,A1,930.0,,6,journals/pami,A1,0.279716144293
7,journals/cce,2581.0,35527.0,,118.0,,7,journals/ijcv,A1,862.0,,7,conf/bmvc,A2,0.268562401264
8,journals/neuroimage,6390.0,202819.0,,117.0,,8,conf/bmvc,A2,680.0,,8,conf/wacv,B1,0.240495137047
9,conf/mmar,518.0,135.0,,113.0,,9,conf/miccai,A1,545.0,,9,conf/scalespace,,0.230496453901
10,conf/icete,769.0,1194.0,B4,94.0,,10,journals/tip,A1,432.0,,10,conf/fgr,,0.22628458498
11,journals/information,150.0,275.0,,93.0,,11,conf/icmcs,B3,411.0,,11,conf/accv,,0.214484679666
12,journals/scl,1739.0,26654.0,,89.0,,12,conf/nips,A1,391.0,,12,journals/cviu,A1,0.202217529039
13,journals/eswa,8936.0,109580.0,A1,89.0,,13,conf/accv,,385.0,,13,conf/3dim,B1,0.185970636215
14,journals/automatica,7338.0,229957.0,A1,86.0,,14,journals/cviu,A1,383.0,,14,conf/icb,,0.165722379603
15,journals/cm,1467.0,7672.0,A1,86.0,,15,conf/mm,A1,377.0,,15,conf/gbrpr,,0.135593220339
16,journals/pieee,1039.0,18961.0,A1,85.0,,16,conf/icassp,A1,366.0,,16,journals/tog,A1,0.134964150148
17,journals/sigpro,4742.0,50775.0,A1,84.0,,17,journals/pr,A1,342.0,,17,conf/vmv,,0.116279069767
18,journals/www,423.0,7421.0,B1,83.0,,18,journals/tog,A1,320.0,,18,conf/miccai,A1,0.114906177525
19,conf/www,4501.0,120253.0,A1,83.0,,19,journals/ivc,A1,289.0,,19,journals/ivc,A1,0.112451361868
20,journals/or,324.0,1008.0,,81.0,,20,conf/icra,A1,283.0,,20,conf/ismar,A2,0.105209397344
21,journals/ploscb,3878.0,85175.0,,80.0,,21,conf/wacv,B1,272.0,,21,conf/icpr,A1,0.103655818101
22,conf/coordination,377.0,6017.0,,78.0,,22,conf/isbi,B1,269.0,,22,journals/mia,A1,0.102196752627
23,journals/computer,4766.0,261329.0,,76.0,,23,conf/fgr,,229.0,,23,journals/tomccap,,0.100591715976
24,conf/infocom,6943.0,350398.0,A1,76.0,,24,conf/dagm,,214.0,,24,conf/sspr,B1,0.0988636363636
25,journals/bmcbi,7074.0,136587.0,A1,73.0,,25,conf/iros,A1,203.0,,25,conf/dagm,,0.0983455882353
26,journals/ml,1309.0,184440.0,A1,73.0,,26,journals/prl,A1,169.0,,26,journals/jmiv,B1,0.0945558739255
27,journals/is,1504.0,32461.0,A2,72.0,,27,journals/tcsv,A1,157.0,,27,conf/scia,,0.0907692307692
28,journals/isci,7032.0,124049.0,A1,70.0,,28,journals/cgf,A2,151.0,,28,conf/mm,A1,0.0907122232916
29,conf/dasip,258.0,161.0,,70.0,,29,journals/tmm,A1,141.0,,29,conf/ipmi,,0.0906148867314
30,journals/bise,313.0,1427.0,,70.0,,30,conf/scalespace,,130.0,,30,journals/siamis,,0.0847058823529
31,conf/data,130.0,26.0,,69.0,,31,conf/siggraph,A2,127.0,,31,journals/tip,A1,0.0845070422535
32,conf/icml,3294.0,290468.0,A1,69.0,,32,journals/tmi,A1,126.0,,32,journals/tmm,A1,0.083185840708
33,journals/orgsci,621.0,19294.0,,68.0,,33,conf/icb,,117.0,,33,journals/mva,B1,0.0770593445527
34,conf/nips,5684.0,404822.0,A1,66.0,,34,conf/3dim,B1,114.0,,34,conf/mir,,0.0757575757576
35,journals/jocn,2068.0,89870.0,,64.0,,35,conf/aaai,A1,111.0,,35,journals/cvgip,,0.0752148997135
36,journals/interfaces,714.0,4506.0,B2,63.0,,36,conf/emmcvpr,,109.0,,36,conf/caip,B2,0.0722135007849
37,journals/mansci,2100.0,125312.0,B2,62.0,,37,journals/mia,A1,107.0,,37,conf/nips,A1,0.0687895847994
38,conf/icra,16038.0,236265.0,A1,61.0,,38,journals/cvgip,,105.0,,38,conf/icvgip,,0.0676100628931
39,journals/comsur,583.0,19860.0,A1,61.0,,39,conf/pcm,,105.0,,39,conf/avss,,0.0672097759674
40,conf/or,809.0,2232.0,B4,61.0,,40,conf/ismar,A2,103.0,,40,conf/pcm,,0.0648148148148
41,conf/sigmod,3706.0,337960.0,A1,61.0,,41,conf/icml,A1,102.0,,41,conf/isbi,B1,0.0644465740297
42,journals/simulation,1374.0,14076.0,B3,61.0,,42,journals/jmiv,B1,99.0,,42,conf/icmi,A2,0.0622676579926
43,journals/ior,1480.0,54189.0,A1,61.0,,43,conf/caip,B2,92.0,,43,conf/icip,A1,0.0607533414338
44,conf/isscc,1967.0,13365.0,B1,59.0,,44,conf/mva,B3,88.0,,44,conf/icmcs,B3,0.0564095525666
45,conf/eccv,3329.0,159515.0,A1,59.0,,45,journals/mva,B1,87.0,,45,journals/tcsv,A1,0.0520729684909
46,conf/smc,9388.0,28167.0,B2,58.0,,46,conf/sspr,B1,87.0,,46,conf/iciap,B1,0.0514756348662
47,conf/se,978.0,773.0,,57.0,,47,journals/tsmc,,79.0,,47,conf/mva,B3,0.0511033681765
48,journals/computing,2617.0,31198.0,B1,57.0,,48,conf/vmv,,75.0,,48,journals/pr,A1,0.0507117437722
49,journals/soco,1974.0,28145.0,B1,57.0,,49,conf/iciap,B1,75.0,,49,conf/graphicsinterface,,0.0504731861199
50,conf/networking,1306.0,9360.0,B1,56.0,,50,conf/iscas,A1,73.0,,50,journals/cgf,A2,0.0493948315342
51,journals/itp,375.0,12276.0,,56.0,,51,journals/tvcg,A1,72.0,,51,journals/tifs,,0.0467889908257
52,conf/nsdi,481.0,17531.0,A1,54.0,,52,journals/trob,A1,68.0,,52,conf/dicta,,0.0438292964245
53,conf/wsdm,533.0,8651.0,B1,54.0,,53,conf/isvc,,67.0,,53,journals/tmi,A1,0.0409090909091
54,conf/emnlp,1380.0,19971.0,A1,53.0,,54,conf/ijcai,A1,67.0,,54,conf/isvc,,0.0396684428656
55,conf/isca,1821.0,135083.0,A1,53.0,,55,conf/icmi,A2,67.0,,55,journals/ieeemm,A2,0.038570084666
56,journals/behaviourIT,1033.0,21287.0,,52.0,,56,conf/avss,,66.0,,56,journals/jvcir,B1,0.0383586083854
57,journals/nn,3310.0,136228.0,A1,52.0,,57,conf/scia,,59.0,,57,conf/vcip,B1,0.0319792566984
58,journals/networks,1952.0,113935.0,B1,52.0,,58,conf/ipmi,,56.0,,58,journals/ijrr,A1,0.0318396226415
59,conf/icde,4327.0,135333.0,A1,52.0,,59,conf/mir,,55.0,,59,conf/mmsp,B2,0.0311506675143
60,journals/cl,552.0,5040.0,,51.0,,60,journals/ijrr,A1,54.0,,60,conf/icml,A1,0.0309653916211
61,journals/toc,169.0,1011.0,,51.0,,61,journals/tnn,,52.0,,61,journals/prl,A1,0.0308675799087
62,journals/jcisd,6138.0,73816.0,B1,51.0,,62,journals/ijon,A1,51.0,,62,journals/tvcg,A1,0.0303413400759
63,conf/ifip8-3,245.0,254.0,,50.0,,63,journals/tifs,,51.0,,63,conf/mmm,B1,0.0291845493562
64,journals/dss,2302.0,56927.0,A1,50.0,,64,journals/jmlr,A1,50.0,,64,journals/ijprai,B1,0.0269230769231
65,journals/msom,382.0,7891.0,,49.0,,65,conf/mmsp,B2,49.0,,65,conf/siggraph,A2,0.0267875975533
66,conf/ias,468.0,1722.0,B1,49.0,,66,conf/icdm,A1,49.0,,66,journals/cga,A2,0.0241672109732
67,conf/sigir,3545.0,205477.0,A1,49.0,,67,journals/ijprai,B1,49.0,,67,journals/jmlr,A1,0.0230946882217
68,conf/cn,214.0,241.0,,49.0,,68,conf/dagstuhl,,46.0,,68,journals/trob,A1,0.0226817878586
69,conf/iasam,951.0,3324.0,,49.0,,69,conf/icvgip,,43.0,,69,conf/visapp,B3,0.0223924572775
70,journals/ir,432.0,42026.0,B1,49.0,,70,journals/jvcir,B1,43.0,,70,journals/vc,B1,0.0213561131874
71,conf/isit,4224.0,15815.0,B1,49.0,,71,journals/neco,A1,41.0,,71,journals/spic,,0.0210387902696
72,journals/intr,662.0,27143.0,B1,49.0,,72,journals/ieeemm,A2,41.0,,72,conf/dcc,A2,0.0207792207792
73,conf/icwsm,797.0,7564.0,B1,48.0,,73,journals/tsp,A1,40.0,,73,conf/bildmed,,0.0202275600506
74,journals/fgcs,2265.0,38059.0,A2,48.0,,74,journals/vc,B1,40.0,,74,conf/uai,A1,0.018320610687
