Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/sensys,A1,623.0,,1,conf/sensys,A1,0.6083984375
2,conf/balt,232.0,827.0,,132.0,,2,conf/date,A1,616.0,,2,conf/ipsn,A1,0.412604042806
3,conf/cvpr,6874.0,379400.0,A1,118.0,,3,conf/dac,A1,460.0,,3,conf/ewsn,A2,0.34328358209
4,journals/pr,6744.0,201239.0,A1,118.0,,4,journals/tcad,A1,354.0,,4,journals/tecs,B1,0.336021505376
5,journals/cma,4572.0,33510.0,,118.0,,5,conf/ipsn,A1,347.0,,5,journals/tosn,,0.296954314721
6,journals/cee,1272.0,4934.0,,118.0,,6,conf/infocom,A1,276.0,,6,conf/iccps,,0.265402843602
7,journals/cce,2581.0,35527.0,,118.0,,7,conf/iccad,A1,273.0,,7,conf/codes,,0.26284348865
8,journals/neuroimage,6390.0,202819.0,,117.0,,8,journals/tecs,B1,250.0,,8,conf/dcoss,,0.244813278008
9,conf/mmar,518.0,135.0,,113.0,,9,conf/codes,,220.0,,9,conf/mobisys,A1,0.237593984962
10,conf/icete,769.0,1194.0,B4,94.0,,10,journals/tvlsi,A1,210.0,,10,conf/estimedia,B3,0.224576271186
11,journals/information,150.0,275.0,,93.0,,11,journals/tpds,A1,208.0,,11,conf/emsoft,A2,0.203389830508
12,journals/scl,1739.0,26654.0,,89.0,,12,conf/icra,A1,197.0,,12,conf/hotnets,B3,0.201030927835
13,journals/eswa,8936.0,109580.0,A1,89.0,,13,conf/rtss,A1,190.0,,13,conf/rtas,A2,0.200589970501
14,journals/automatica,7338.0,229957.0,A1,86.0,,14,conf/vlsid,A2,186.0,,14,conf/cases,A2,0.183794466403
15,journals/cm,1467.0,7672.0,A1,86.0,,15,journals/tc,A1,181.0,,15,journals/dafes,B2,0.18118466899
16,journals/pieee,1039.0,18961.0,A1,85.0,,16,conf/ipps,A1,180.0,,16,conf/lctrts,,0.167865707434
17,journals/sigpro,4742.0,50775.0,A1,84.0,,17,conf/islped,A1,169.0,,17,conf/rtss,A1,0.164930555556
18,conf/www,4501.0,120253.0,A1,83.0,,18,conf/aspdac,,165.0,,18,journals/sigbed,,0.158959537572
19,journals/www,423.0,7421.0,B1,83.0,,19,conf/mobisys,A1,158.0,,19,conf/nsdi,A1,0.133056133056
20,journals/or,324.0,1008.0,,81.0,,20,conf/mobicom,A1,138.0,,20,journals/todaes,B2,0.131125827815
21,journals/ploscb,3878.0,85175.0,,80.0,,21,conf/rtas,A2,136.0,,21,conf/secon,B1,0.13
22,conf/coordination,377.0,6017.0,,78.0,,22,journals/tmc,,121.0,,22,journals/rts,B1,0.128246753247
23,journals/computer,4766.0,261329.0,,76.0,,23,conf/icdcs,A1,119.0,,23,conf/date,A1,0.119961051607
24,conf/infocom,6943.0,350398.0,A1,76.0,,24,conf/dcoss,,118.0,,24,conf/mobicom,A1,0.115577889447
25,journals/bmcbi,7074.0,136587.0,A1,73.0,,25,journals/tosn,,117.0,,25,conf/islped,A1,0.114654002714
26,journals/ml,1309.0,184440.0,A1,73.0,,26,conf/secon,B1,117.0,,26,conf/rtcsa,B1,0.111696522655
27,journals/is,1504.0,32461.0,A2,72.0,,27,conf/iccd,A2,112.0,,27,conf/ecrts,A2,0.103133159269
28,journals/isci,7032.0,124049.0,A1,70.0,,28,conf/sigcomm,A1,112.0,,28,conf/mobihoc,A1,0.0998531571219
29,journals/bise,313.0,1427.0,,70.0,,29,conf/mass,B1,109.0,,29,conf/mass,B1,0.088474025974
30,conf/dasip,258.0,161.0,,70.0,,30,conf/iros,A1,108.0,,30,conf/samos,B2,0.0838323353293
31,conf/icml,3294.0,290468.0,A1,69.0,,31,conf/rtcsa,B1,106.0,,31,conf/iccad,A1,0.0824026562028
32,conf/data,130.0,26.0,,69.0,,32,journals/vlsisp,,103.0,,32,journals/tmc,,0.078114912847
33,journals/orgsci,621.0,19294.0,,68.0,,33,conf/huc,,101.0,,33,conf/sigcomm,A1,0.0778318276581
34,conf/nips,5684.0,404822.0,A1,66.0,,34,journals/todaes,B2,99.0,,34,journals/tcad,A1,0.0749047820567
35,journals/jocn,2068.0,89870.0,,64.0,,35,conf/lcn,A2,97.0,,35,conf/vlsid,A2,0.0722891566265
36,journals/interfaces,714.0,4506.0,B2,63.0,,36,conf/emsoft,A2,96.0,,36,conf/dac,A1,0.0704872816427
37,journals/mansci,2100.0,125312.0,B2,62.0,,37,conf/icc,A2,96.0,,37,journals/tvlsi,A1,0.0699067909454
38,journals/ior,1480.0,54189.0,A1,61.0,,38,conf/cases,A2,93.0,,38,journals/sigmobile,,0.0680061823802
39,conf/sigmod,3706.0,337960.0,A1,61.0,,39,journals/dt,,93.0,,39,conf/icnp,A1,0.0674418604651
40,conf/icra,16038.0,236265.0,A1,61.0,,40,conf/ewsn,A2,92.0,,40,conf/huc,,0.0671989354624
41,journals/simulation,1374.0,14076.0,B3,61.0,,41,conf/globecom,A1,92.0,,41,conf/patmos,B2,0.0658436213992
42,journals/comsur,583.0,19860.0,A1,61.0,,42,conf/glvlsi,,92.0,,42,journals/tpds,A1,0.0630685263796
43,conf/or,809.0,2232.0,B4,61.0,,43,conf/percom,A2,90.0,,43,journals/dt,,0.0625420309348
44,conf/eccv,3329.0,159515.0,A1,59.0,,44,conf/cdc,B1,86.0,,44,conf/iser,B3,0.0618846694796
45,conf/isscc,1967.0,13365.0,B1,59.0,,45,conf/icassp,A1,86.0,,45,conf/asap,B1,0.0610687022901
46,conf/smc,9388.0,28167.0,B2,58.0,,46,conf/iscas,A1,85.0,,46,conf/isvlsi,B1,0.0588842975207
47,journals/soco,1974.0,28145.0,B1,57.0,,47,journals/ton,A1,81.0,,47,conf/aspdac,,0.0570736769284
48,conf/se,978.0,773.0,,57.0,,48,conf/icpp,A2,80.0,,48,journals/vlsisp,,0.0556155507559
49,journals/computing,2617.0,31198.0,B1,57.0,,49,journals/rts,B1,79.0,,49,conf/hybrid,,0.0539419087137
50,journals/itp,375.0,12276.0,,56.0,,50,conf/ecrts,A2,79.0,,50,conf/glvlsi,,0.0523024445708
51,conf/networking,1306.0,9360.0,B1,56.0,,51,conf/lctrts,,70.0,,51,conf/percom,A2,0.0513992004569
52,conf/wsdm,533.0,8651.0,B1,54.0,,52,conf/mobihoc,A1,68.0,,52,journals/ccr,A1,0.0510204081633
53,conf/nsdi,481.0,17531.0,A1,54.0,,53,journals/jpdc,A2,68.0,,53,conf/isorc,B1,0.0498442367601
54,conf/isca,1821.0,135083.0,A1,53.0,,54,conf/nsdi,A1,64.0,,54,conf/iccd,A2,0.0486111111111
55,conf/emnlp,1380.0,19971.0,A1,53.0,,55,conf/dagstuhl,,61.0,,55,conf/icdcs,A1,0.0484133441823
56,journals/nn,3310.0,136228.0,A1,52.0,,56,conf/sigmetrics,A1,61.0,,56,conf/hpca,A1,0.0482846251588
57,journals/networks,1952.0,113935.0,B1,52.0,,57,conf/icnp,A1,58.0,,57,conf/vlsi,,0.0413793103448
58,conf/icde,4327.0,135333.0,A1,52.0,,58,conf/isvlsi,B1,57.0,,58,conf/sigmetrics,A1,0.0409395973154
59,journals/behaviourIT,1033.0,21287.0,,52.0,,59,journals/cn,A1,57.0,,59,conf/infocom,A1,0.0397522684718
60,journals/cl,552.0,5040.0,,51.0,,60,conf/isca,A1,57.0,,60,journals/adhoc,B1,0.0396551724138
