Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/chi,A1,3988.0,,1,conf/uist,A1,0.470877768663
2,conf/balt,232.0,827.0,,132.0,,2,conf/uist,A1,574.0,,2,journals/tochi,,0.460591133005
3,journals/cma,4572.0,33510.0,,118.0,,3,conf/cscw,A1,555.0,,3,conf/chi,A1,0.37281480789
4,journals/pr,6744.0,201239.0,A1,118.0,,4,journals/interactions,B2,374.0,,4,journals/hhci,,0.348958333333
5,journals/cee,1272.0,4934.0,,118.0,,5,conf/interact,B1,329.0,,5,conf/ACMdis,,0.346534653465
6,journals/cce,2581.0,35527.0,,118.0,,6,conf/mhci,,264.0,,6,conf/cscw,A1,0.309709821429
7,conf/cvpr,6874.0,379400.0,A1,118.0,,7,conf/huc,,251.0,,7,conf/soups,B1,0.309523809524
8,journals/neuroimage,6390.0,202819.0,,117.0,,8,conf/ACMdis,,245.0,,8,conf/ecscw,B1,0.298932384342
9,conf/mmar,518.0,135.0,,113.0,,9,journals/cacm,A1,235.0,,9,conf/tabletop,,0.263969171484
10,conf/icete,769.0,1194.0,B4,94.0,,10,journals/ijmms,A1,200.0,,10,conf/graphicsinterface,,0.220820189274
11,journals/information,150.0,275.0,,93.0,,11,journals/tochi,,187.0,,11,conf/pervasive,A2,0.21897810219
12,journals/scl,1739.0,26654.0,,89.0,,12,journals/puc,B1,158.0,,12,conf/mhci,,0.218724109362
13,journals/eswa,8936.0,109580.0,A1,89.0,,13,conf/iui,A1,157.0,,13,conf/group,A2,0.207357859532
14,journals/cm,1467.0,7672.0,A1,86.0,,14,conf/vl,,141.0,,14,conf/nordichi,B1,0.186046511628
15,journals/automatica,7338.0,229957.0,A1,86.0,,15,conf/graphicsinterface,,140.0,,15,journals/interactions,B2,0.185148514851
16,journals/pieee,1039.0,18961.0,A1,85.0,,16,conf/tei,B1,137.0,,16,conf/lats,,0.18320610687
17,journals/sigpro,4742.0,50775.0,A1,84.0,,17,conf/tabletop,,137.0,,17,conf/interact,B1,0.181467181467
18,conf/www,4501.0,120253.0,A1,83.0,,18,conf/nordichi,B1,136.0,,18,journals/cscw,B3,0.17903930131
19,journals/www,423.0,7421.0,B1,83.0,,19,journals/hhci,,134.0,,19,conf/tei,B1,0.175191815857
20,journals/or,324.0,1008.0,,81.0,,20,conf/group,A2,124.0,,20,conf/huc,,0.166999334664
21,journals/ploscb,3878.0,85175.0,,80.0,,21,conf/avi,A2,120.0,,21,conf/iseud,,0.165467625899
22,conf/coordination,377.0,6017.0,,78.0,,22,conf/siggraph,A2,113.0,,22,conf/hcomp,,0.163120567376
23,conf/infocom,6943.0,350398.0,A1,76.0,,23,conf/hci,A2,112.0,,23,conf/dppi,,0.156424581006
24,journals/computer,4766.0,261329.0,,76.0,,24,conf/acmidc,,109.0,,24,conf/acmidc,,0.154609929078
25,journals/bmcbi,7074.0,136587.0,A1,73.0,,25,conf/bcshci,,109.0,,25,conf/automotiveUI,,0.147540983607
26,journals/ml,1309.0,184440.0,A1,73.0,,26,journals/pervasive,A2,108.0,,26,conf/avi,A2,0.144578313253
27,journals/is,1504.0,32461.0,A2,72.0,,27,journals/iwc,B1,102.0,,27,journals/puc,B1,0.138475021911
28,journals/isci,7032.0,124049.0,A1,70.0,,28,conf/hicss,A1,102.0,,28,journals/pervasive,A2,0.136536030341
29,journals/bise,313.0,1427.0,,70.0,,29,journals/tvcg,A1,95.0,,29,conf/bcshci,,0.133414932681
30,conf/dasip,258.0,161.0,,70.0,,30,conf/assets,A2,92.0,,30,conf/sg,,0.126865671642
