Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,journals/mansci,B2,844.0,,1,journals/msom,,0.426701570681
2,conf/balt,232.0,827.0,,132.0,,2,journals/ior,A1,311.0,,2,journals/mansci,B2,0.401904761905
3,journals/pr,6744.0,201239.0,A1,118.0,,3,conf/icis,,221.0,,3,conf/ifip8-3,,0.395918367347
4,journals/cce,2581.0,35527.0,,118.0,,4,journals/msom,,163.0,,4,journals/ior,A1,0.210135135135
5,journals/cee,1272.0,4934.0,,118.0,,5,conf/wsc,A1,138.0,,5,journals/isr,,0.17965653897
6,conf/cvpr,6874.0,379400.0,A1,118.0,,6,journals/eor,A1,137.0,,6,journals/mktsci,,0.170825335893
7,journals/cma,4572.0,33510.0,,118.0,,7,journals/isr,,136.0,,7,journals/jds,,0.163141993958
8,journals/neuroimage,6390.0,202819.0,,117.0,,8,conf/hicss,A1,105.0,,8,journals/da,,0.145038167939
9,conf/mmar,518.0,135.0,,113.0,,9,conf/ifip8-3,,97.0,,9,conf/weis,B1,0.131707317073
10,conf/icete,769.0,1194.0,B4,94.0,,10,journals/mktsci,,89.0,,10,journals/ijdsst,,0.0943396226415
11,journals/information,150.0,275.0,,93.0,,11,journals/questa,,80.0,,11,conf/context,,0.0652818991098
12,journals/scl,1739.0,26654.0,,89.0,,12,conf/ecis,B1,72.0,,12,conf/alt,B1,0.063829787234
13,journals/eswa,8936.0,109580.0,A1,89.0,,13,journals/dss,A1,65.0,,13,journals/ited,,0.0613496932515
14,journals/automatica,7338.0,229957.0,A1,86.0,,14,journals/orl,B1,57.0,,14,conf/icis,,0.0602343962933
15,journals/cm,1467.0,7672.0,A1,86.0,,15,journals/informs,A2,57.0,,15,journals/questa,,0.0551724137931
16,journals/pieee,1039.0,18961.0,A1,85.0,,16,journals/jds,,54.0,,16,journals/informs,A2,0.0510295434199
17,journals/sigpro,4742.0,50775.0,A1,84.0,,17,journals/jmis,A1,50.0,,17,journals/interfaces,B2,0.047619047619
18,journals/www,423.0,7421.0,B1,83.0,,18,conf/alt,B1,48.0,,18,journals/misq,,0.0456062291435
