Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,journals/ior,A1,716.0,,1,conf/ipco,B1,0.554054054054
2,conf/balt,232.0,827.0,,132.0,,2,journals/mp,A1,570.0,,2,journals/ior,A1,0.483783783784
3,journals/pr,6744.0,201239.0,A1,118.0,,3,journals/eor,A1,378.0,,3,journals/msom,,0.277486910995
4,conf/cvpr,6874.0,379400.0,A1,118.0,,4,journals/orl,B1,364.0,,4,journals/transci,B2,0.227722772277
5,journals/cce,2581.0,35527.0,,118.0,,5,conf/wsc,A1,344.0,,5,journals/mor,A2,0.218872870249
6,journals/cee,1272.0,4934.0,,118.0,,6,conf/ipco,B1,328.0,,6,journals/disopt,B1,0.188328912467
7,journals/cma,4572.0,33510.0,,118.0,,7,conf/soda,A1,268.0,,7,journals/orl,B1,0.187146529563
8,journals/neuroimage,6390.0,202819.0,,117.0,,8,journals/mansci,B2,249.0,,8,journals/informs,A2,0.179946284691
9,conf/mmar,518.0,135.0,,113.0,,9,journals/dam,A2,207.0,,9,journals/mp,A1,0.165409170052
10,conf/icete,769.0,1194.0,B4,94.0,,10,journals/informs,A2,201.0,,10,conf/atmos,,0.164473684211
11,journals/information,150.0,275.0,,93.0,,11,journals/cor,,199.0,,11,conf/approx,B1,0.138314785374
12,journals/eswa,8936.0,109580.0,A1,89.0,,12,journals/networks,B1,181.0,,12,journals/mansci,B2,0.118571428571
13,journals/scl,1739.0,26654.0,,89.0,,13,journals/mor,A2,167.0,,13,journals/da,,0.118320610687
14,journals/automatica,7338.0,229957.0,A1,86.0,,14,journals/transci,B2,161.0,,14,journals/questa,,0.104827586207
15,journals/cm,1467.0,7672.0,A1,86.0,,15,journals/questa,,152.0,,15,journals/infor,,0.10119047619
16,journals/pieee,1039.0,18961.0,A1,85.0,,16,journals/anor,A2,132.0,,16,journals/4or,,0.0994318181818
17,journals/sigpro,4742.0,50775.0,A1,84.0,,17,journals/siamcomp,A1,132.0,,17,journals/tomacs,,0.0971302428256
18,journals/www,423.0,7421.0,B1,83.0,,18,journals/siamdm,B1,119.0,,18,journals/networks,B1,0.0927254098361
19,conf/www,4501.0,120253.0,A1,83.0,,19,conf/stoc,A1,118.0,,19,conf/waoa,B4,0.0925266903915
20,journals/or,324.0,1008.0,,81.0,,20,conf/focs,A1,116.0,,20,conf/soda,A1,0.0916552667579
21,journals/ploscb,3878.0,85175.0,,80.0,,21,journals/msom,,106.0,,21,journals/talg,B1,0.0762527233115
22,conf/coordination,377.0,6017.0,,78.0,,22,conf/esa,A2,90.0,,22,journals/scheduling,B1,0.072265625
23,conf/infocom,6943.0,350398.0,A1,76.0,,23,conf/approx,B1,87.0,,23,conf/esa,A2,0.068233510235
24,journals/computer,4766.0,261329.0,,76.0,,24,journals/algorithmica,,78.0,,24,journals/interfaces,B2,0.0672268907563
25,journals/ml,1309.0,184440.0,A1,73.0,,25,conf/icalp,A1,77.0,,25,journals/siamjo,A1,0.0622866894198
26,journals/bmcbi,7074.0,136587.0,A1,73.0,,26,journals/jct,,76.0,,26,conf/wine,,0.0616438356164
27,journals/is,1504.0,32461.0,A2,72.0,,27,journals/ipl,A2,74.0,,27,journals/siamdm,B1,0.0609631147541
28,journals/isci,7032.0,124049.0,A1,70.0,,28,journals/siamjo,A1,73.0,,28,journals/rsa,,0.0604949587534
29,conf/dasip,258.0,161.0,,70.0,,29,journals/disopt,B1,71.0,,29,conf/colognetwente,,0.0589569160998
30,journals/bise,313.0,1427.0,,70.0,,30,journals/rsa,,66.0,,30,journals/anor,A2,0.0559085133418
31,conf/icml,3294.0,290468.0,A1,69.0,,31,journals/combinatorica,,65.0,,31,journals/heuristics,A2,0.0536044362292
32,conf/data,130.0,26.0,,69.0,,32,journals/dm,A2,61.0,,32,journals/combinatorica,,0.0488354620586
