Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/acl,A1,1598.0,,1,journals/tacl,,0.683168316832
2,conf/balt,232.0,827.0,,132.0,,2,conf/emnlp,A1,872.0,,2,conf/emnlp,A1,0.631884057971
3,journals/cce,2581.0,35527.0,,118.0,,3,conf/coling,A1,645.0,,3,journals/coling,A1,0.396766169154
4,conf/cvpr,6874.0,379400.0,A1,118.0,,4,conf/naacl,A1,561.0,,4,conf/conll,,0.392092257002
5,journals/cma,4572.0,33510.0,,118.0,,5,conf/interspeech,A1,465.0,,5,conf/acl,A1,0.376709099481
6,journals/cee,1272.0,4934.0,,118.0,,6,conf/lrec,A2,343.0,,6,conf/naacl,A1,0.374499332443
7,journals/pr,6744.0,201239.0,A1,118.0,,7,conf/aaai,A1,331.0,,7,conf/iwslt,,0.361842105263
8,journals/neuroimage,6390.0,202819.0,,117.0,,8,journals/coling,A1,319.0,,8,conf/ijcnlp,,0.300366300366
9,conf/mmar,518.0,135.0,,113.0,,9,conf/icassp,A1,280.0,,9,conf/inlg,,0.266666666667
10,conf/icete,769.0,1194.0,B4,94.0,,10,conf/ijcnlp,,246.0,,10,journals/talip,,0.263829787234
11,journals/information,150.0,275.0,,93.0,,11,conf/conll,,238.0,,11,journals/nle,,0.225672877847
12,journals/eswa,8936.0,109580.0,A1,89.0,,12,conf/ijcai,A1,226.0,,12,conf/eacl,A2,0.216110019646
13,journals/scl,1739.0,26654.0,,89.0,,13,conf/eacl,A2,220.0,,13,conf/coling,A1,0.181434599156
14,journals/cm,1467.0,7672.0,A1,86.0,,14,conf/icml,A1,172.0,,14,journals/mt,B1,0.156989247312
15,journals/automatica,7338.0,229957.0,A1,86.0,,15,conf/nips,A1,170.0,,15,journals/jclc,,0.14371257485
16,journals/pieee,1039.0,18961.0,A1,85.0,,16,conf/cikm,A1,167.0,,16,conf/ranlp,B2,0.107913669065
17,journals/sigpro,4742.0,50775.0,A1,84.0,,17,conf/sigir,A1,148.0,,17,conf/cicling,B1,0.107762557078
18,journals/www,423.0,7421.0,B1,83.0,,18,conf/cicling,B1,118.0,,18,journals/pbml,,0.1
19,conf/www,4501.0,120253.0,A1,83.0,,19,conf/www,A1,114.0,,19,conf/ialp,,0.0977443609023
20,journals/or,324.0,1008.0,,81.0,,20,conf/iwslt,,110.0,,20,conf/slt,B2,0.0936768149883
21,journals/ploscb,3878.0,85175.0,,80.0,,21,journals/nle,,109.0,,21,conf/lrec,A2,0.0891603847154
22,conf/coordination,377.0,6017.0,,78.0,,22,conf/kdd,A1,102.0,,22,journals/csl,,0.0849478390462
23,journals/computer,4766.0,261329.0,,76.0,,23,conf/trec,A2,86.0,,23,conf/wsdm,B1,0.0806754221388
24,conf/infocom,6943.0,350398.0,A1,76.0,,24,journals/taslp,,84.0,,24,conf/ntcir,,0.0805639476334
25,journals/ml,1309.0,184440.0,A1,73.0,,25,journals/ai,A1,84.0,,25,conf/asru,B2,0.0799031476998
26,journals/bmcbi,7074.0,136587.0,A1,73.0,,26,conf/clef,B2,84.0,,26,conf/airs,B3,0.0774907749077
27,journals/is,1504.0,32461.0,A2,72.0,,27,conf/ntcir,,80.0,,27,journals/jair,A1,0.0622754491018
28,journals/bise,313.0,1427.0,,70.0,,28,journals/mt,B1,73.0,,28,journals/lre,B3,0.0598006644518
29,conf/dasip,258.0,161.0,,70.0,,29,journals/tacl,,69.0,,29,conf/iscslp,,0.0586011342155
30,journals/isci,7032.0,124049.0,A1,70.0,,30,conf/icpr,A1,68.0,,30,conf/icwsm,B1,0.0552070263488
31,conf/icml,3294.0,290468.0,A1,69.0,,31,conf/icdar,A2,67.0,,31,conf/icml,A1,0.0522161505768
32,conf/data,130.0,26.0,,69.0,,32,journals/talip,,62.0,,32,conf/das,,0.0505836575875
33,journals/orgsci,621.0,19294.0,,68.0,,33,conf/iui,A1,57.0,,33,conf/trec,A2,0.0480984340045
