Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/cvpr,A1,3187.0,,1,conf/cvpr,A1,0.463631073611
2,conf/balt,232.0,827.0,,132.0,,2,conf/icpr,A1,1485.0,,2,conf/iccv,A1,0.441274054413
3,conf/cvpr,6874.0,379400.0,A1,118.0,,3,journals/pami,A1,1456.0,,3,conf/eccv,A1,0.368879543406
4,journals/pr,6744.0,201239.0,A1,118.0,,4,journals/pr,A1,1358.0,,4,journals/ijcv,A1,0.356446991404
5,journals/cce,2581.0,35527.0,,118.0,,5,conf/iccv,A1,1330.0,,5,journals/pami,A1,0.287009658979
6,journals/cma,4572.0,33510.0,,118.0,,6,conf/icip,A1,1293.0,,6,conf/fgr,,0.266798418972
7,journals/cee,1272.0,4934.0,,118.0,,7,conf/eccv,A1,1228.0,,7,conf/bmvc,A2,0.261848341232
8,journals/neuroimage,6390.0,202819.0,,117.0,,8,conf/bmvc,A2,663.0,,8,conf/icb,,0.256373937677
9,conf/mmar,518.0,135.0,,113.0,,9,conf/miccai,A1,643.0,,9,conf/gbrpr,,0.25
10,conf/icete,769.0,1194.0,B4,94.0,,10,journals/ijcv,A1,622.0,,10,conf/wacv,B1,0.249336870027
11,journals/information,150.0,275.0,,93.0,,11,journals/tip,A1,553.0,,11,conf/accv,,0.230640668524
12,journals/scl,1739.0,26654.0,,89.0,,12,conf/icmcs,B3,510.0,,12,conf/emmcvpr,,0.224137931034
13,journals/eswa,8936.0,109580.0,A1,89.0,,13,journals/prl,A1,494.0,,13,journals/cviu,A1,0.214889123548
14,journals/cm,1467.0,7672.0,A1,86.0,,14,conf/icassp,A1,439.0,,14,journals/pr,A1,0.201364175563
15,journals/automatica,7338.0,229957.0,A1,86.0,,15,conf/mm,A1,427.0,,15,conf/sspr,B1,0.189772727273
16,journals/pieee,1039.0,18961.0,A1,85.0,,16,conf/accv,,414.0,,16,conf/icpr,A1,0.165514935354
17,journals/sigpro,4742.0,50775.0,A1,84.0,,17,journals/cviu,A1,407.0,,17,conf/3dim,B1,0.15986949429
18,conf/www,4501.0,120253.0,A1,83.0,,18,conf/icdar,A2,384.0,,18,conf/mcs,,0.158562367865
19,journals/www,423.0,7421.0,B1,83.0,,19,conf/nips,A1,338.0,,19,conf/acpr,,0.147492625369
20,journals/or,324.0,1008.0,,81.0,,20,journals/ivc,A1,336.0,,20,conf/das,,0.142023346304
21,journals/ploscb,3878.0,85175.0,,80.0,,21,journals/tsmc,,311.0,,21,conf/icdar,A2,0.139029688631
22,conf/coordination,377.0,6017.0,,78.0,,22,journals/tog,A1,295.0,,22,conf/miccai,A1,0.135568205777
23,journals/computer,4766.0,261329.0,,76.0,,23,conf/wacv,B1,282.0,,23,journals/ijdar,B1,0.134517766497
24,conf/infocom,6943.0,350398.0,A1,76.0,,24,conf/isbi,B1,277.0,,24,journals/cvgip,,0.131088825215
25,journals/bmcbi,7074.0,136587.0,A1,73.0,,25,conf/fgr,,270.0,,25,journals/ivc,A1,0.130739299611
26,journals/ml,1309.0,184440.0,A1,73.0,,26,journals/ijon,A1,257.0,,26,journals/tog,A1,0.124420075917
27,journals/is,1504.0,32461.0,A2,72.0,,27,journals/tcsv,A1,255.0,,27,conf/icfhr,,0.124137931034
28,journals/isci,7032.0,124049.0,A1,70.0,,28,conf/icra,A1,228.0,,28,conf/icvgip,,0.119496855346
29,journals/bise,313.0,1427.0,,70.0,,29,journals/ijprai,B1,212.0,,29,journals/ijprai,B1,0.116483516484
30,conf/dasip,258.0,161.0,,70.0,,30,conf/iros,A1,187.0,,30,journals/tcyb,,0.113725490196
31,conf/icml,3294.0,290468.0,A1,69.0,,31,journals/cvgip,,183.0,,31,journals/tip,A1,0.108176838811
32,conf/data,130.0,26.0,,69.0,,32,conf/icb,,181.0,,32,conf/scia,,0.104615384615
33,journals/orgsci,621.0,19294.0,,68.0,,33,journals/tmm,A1,175.0,,33,journals/paa,B1,0.103505843072
34,conf/nips,5684.0,404822.0,A1,66.0,,34,conf/sspr,B1,167.0,,34,journals/tmm,A1,0.103244837758
35,journals/jocn,2068.0,89870.0,,64.0,,35,conf/dagm,,160.0,,35,conf/mm,A1,0.102743022137
