Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/interspeech,A1,6887.0,,1,conf/asru,B2,0.573849878935
2,conf/balt,232.0,827.0,,132.0,,2,conf/icassp,A1,3778.0,,2,conf/slt,B2,0.501170960187
3,conf/cvpr,6874.0,379400.0,A1,118.0,,3,journals/taslp,,969.0,,3,journals/csl,,0.436661698957
4,journals/cee,1272.0,4934.0,,118.0,,4,journals/speech,A2,724.0,,4,conf/iscslp,,0.432892249527
5,journals/cce,2581.0,35527.0,,118.0,,5,journals/csl,,293.0,,5,conf/odyssey,,0.425
6,journals/cma,4572.0,33510.0,,118.0,,6,journals/ieicet,,281.0,,6,conf/interspeech,A1,0.388459585989
7,journals/pr,6744.0,201239.0,A1,118.0,,7,conf/asru,B2,237.0,,7,journals/taslp,,0.359288097887
8,journals/neuroimage,6390.0,202819.0,,117.0,,8,conf/iscslp,,229.0,,8,conf/slte,,0.349693251534
9,conf/mmar,518.0,135.0,,113.0,,9,conf/lrec,A2,215.0,,9,journals/speech,A2,0.338951310861
10,conf/icete,769.0,1194.0,B4,94.0,,10,conf/slt,B2,214.0,,10,conf/iwslt,,0.325657894737
11,journals/information,150.0,275.0,,93.0,,11,conf/icmcs,B3,176.0,,11,journals/ejasmp,,0.248945147679
12,journals/eswa,8936.0,109580.0,A1,89.0,,12,conf/acl,A1,168.0,,12,conf/nolisp,,0.167597765363
13,journals/scl,1739.0,26654.0,,89.0,,13,conf/naacl,A1,158.0,,13,journals/ijclclp,,0.155844155844
14,journals/automatica,7338.0,229957.0,A1,86.0,,14,conf/tsd,B1,133.0,,14,conf/sigdial,B2,0.152709359606
15,journals/cm,1467.0,7672.0,A1,86.0,,15,conf/icpr,A1,131.0,,15,conf/waspaa,,0.133333333333
16,journals/pieee,1039.0,18961.0,A1,85.0,,16,conf/apsipa,,117.0,,16,conf/icassp,A1,0.132445223488
17,journals/sigpro,4742.0,50775.0,A1,84.0,,17,journals/spl,A1,111.0,,17,conf/apsipa,,0.130434782609
18,journals/www,423.0,7421.0,B1,83.0,,18,conf/ismir,A1,108.0,,18,conf/mediaeval,,0.127659574468
19,conf/www,4501.0,120253.0,A1,83.0,,19,journals/tsp,A1,105.0,,19,conf/rocling,,0.118309859155
20,journals/or,324.0,1008.0,,81.0,,20,conf/odyssey,,102.0,,20,conf/iwaenc,,0.117647058824
21,journals/ploscb,3878.0,85175.0,,80.0,,21,conf/iwslt,,99.0,,21,conf/tsd,B1,0.114261168385
22,conf/coordination,377.0,6017.0,,78.0,,22,conf/dagm,,92.0,,22,conf/avsp,,0.11
23,journals/computer,4766.0,261329.0,,76.0,,23,conf/icip,A1,90.0,,23,conf/naacl,A1,0.105473965287
24,conf/infocom,6943.0,350398.0,A1,76.0,,24,conf/coling,A1,85.0,,24,journals/talip,,0.0936170212766
25,journals/bmcbi,7074.0,136587.0,A1,73.0,,25,conf/nips,A1,78.0,,25,conf/qomex,,0.0873786407767
26,journals/ml,1309.0,184440.0,A1,73.0,,26,conf/iros,A1,77.0,,26,conf/ismir,A1,0.077032810271
27,journals/is,1504.0,32461.0,A2,72.0,,27,conf/isspa,,73.0,,27,journals/spm,A1,0.0736196319018
28,journals/bise,313.0,1427.0,,70.0,,28,conf/icmi,A2,71.0,,28,conf/icmi,A2,0.0659851301115
29,conf/dasip,258.0,161.0,,70.0,,29,journals/ejasp,B1,68.0,,29,conf/acii,,0.0658682634731
30,journals/isci,7032.0,124049.0,A1,70.0,,30,journals/prl,A1,63.0,,30,conf/cost,,0.0615079365079
31,conf/icml,3294.0,290468.0,A1,69.0,,31,conf/eusipco,,63.0,,31,journals/jstsp,A1,0.0559345156889
32,conf/data,130.0,26.0,,69.0,,32,conf/mm,A1,62.0,,32,conf/lrec,A2,0.055887704705
33,journals/orgsci,621.0,19294.0,,68.0,,33,journals/ejasmp,,59.0,,33,journals/spl,A1,0.0434442270059
34,conf/nips,5684.0,404822.0,A1,66.0,,34,conf/slte,,57.0,,34,conf/dagm,,0.0422794117647
35,journals/jocn,2068.0,89870.0,,64.0,,35,conf/avsp,,55.0,,35,conf/eusipco,,0.0418604651163
36,journals/interfaces,714.0,4506.0,B2,63.0,,36,conf/icdar,A2,54.0,,36,conf/dicta,,0.0415224913495
37,journals/mansci,2100.0,125312.0,B2,62.0,,37,journals/sigpro,A1,48.0,,37,journals/pdln,,0.0409356725146
38,journals/ior,1480.0,54189.0,A1,61.0,,38,conf/emnlp,A1,48.0,,38,conf/acl,A1,0.039603960396
39,conf/icra,16038.0,236265.0,A1,61.0,,39,conf/mmsp,B2,47.0,,39,conf/ica,,0.0393996247655
40,journals/comsur,583.0,19860.0,A1,61.0,,40,journals/pami,A1,47.0,,40,journals/mt,B1,0.0387096774194
41,conf/sigmod,3706.0,337960.0,A1,61.0,,41,conf/acii,,44.0,,41,conf/isspa,,0.0349449497367
42,conf/or,809.0,2232.0,B4,61.0,,42,conf/hci,A2,44.0,,42,conf/emnlp,A1,0.0347826086957
43,journals/simulation,1374.0,14076.0,B3,61.0,,43,conf/rocling,,42.0,,43,conf/ijcnlp,,0.031746031746
44,conf/eccv,3329.0,159515.0,A1,59.0,,44,journals/jstsp,A1,41.0,,44,journals/coling,A1,0.0310945273632
45,conf/isscc,1967.0,13365.0,B1,59.0,,45,journals/pr,A1,40.0,,45,conf/mmsp,B2,0.0298792116974
46,conf/smc,9388.0,28167.0,B2,58.0,,46,conf/mediaeval,,36.0,,46,conf/eacl,A2,0.0255402750491
47,journals/soco,1974.0,28145.0,B1,57.0,,47,conf/waspaa,,36.0,,47,conf/icmcs,B3,0.0241559154543
48,journals/computing,2617.0,31198.0,B1,57.0,,48,conf/dicta,,36.0,,48,conf/coling,A1,0.0239099859353
49,conf/se,978.0,773.0,,57.0,,49,conf/clef,B2,36.0,,49,conf/fgr,,0.0227272727273
50,conf/networking,1306.0,9360.0,B1,56.0,,50,journals/spm,A1,36.0,,50,conf/icb,,0.0226628895184
51,journals/itp,375.0,12276.0,,56.0,,51,journals/pdln,,35.0,,51,journals/ejasp,B1,0.0213567839196
52,conf/nsdi,481.0,17531.0,A1,54.0,,52,journals/ijprai,B1,33.0,,52,journals/dsp,,0.0200907323396
53,conf/wsdm,533.0,8651.0,B1,54.0,,53,journals/dsp,,31.0,,53,conf/ism,B2,0.0197095435685
54,conf/emnlp,1380.0,19971.0,A1,53.0,,54,conf/cost,,31.0,,54,conf/icdar,A2,0.0195510499638
55,conf/isca,1821.0,135083.0,A1,53.0,,55,conf/sigdial,B2,31.0,,55,conf/avss,,0.0183299389002
56,conf/icde,4327.0,135333.0,A1,52.0,,56,conf/chi,A1,30.0,,56,journals/ijprai,B1,0.0181318681319
57,journals/behaviourIT,1033.0,21287.0,,52.0,,57,conf/nolisp,,30.0,,57,conf/ntcir,,0.0181268882175
58,journals/networks,1952.0,113935.0,B1,52.0,,58,journals/tmm,A1,28.0,,58,conf/humanoids,B2,0.0169946332737
59,journals/nn,3310.0,136228.0,A1,52.0,,59,conf/aaai,A1,28.0,,59,journals/ieicet,,0.0165869783366
60,journals/toc,169.0,1011.0,,51.0,,60,conf/ieaaie,,27.0,,60,journals/tmm,A1,0.0165191740413
61,journals/jcisd,6138.0,73816.0,B1,51.0,,61,journals/tnn,,27.0,,61,conf/bildmed,,0.0158027812895
62,journals/cl,552.0,5040.0,,51.0,,62,conf/iscas,A1,26.0,,62,conf/mm,A1,0.0149181905679
63,journals/dss,2302.0,56927.0,A1,50.0,,63,conf/eacl,A2,26.0,,63,conf/icpr,A1,0.0146009808292
64,conf/ifip8-3,245.0,254.0,,50.0,,64,conf/ijcnlp,,26.0,,64,conf/nips,A1,0.0137227304715
65,conf/ias,468.0,1722.0,B1,49.0,,65,conf/ijcai,A1,26.0,,65,journals/vlsisp,,0.0134989200864
66,journals/ir,432.0,42026.0,B1,49.0,,66,conf/bildmed,,25.0,,66,conf/clef,B2,0.013010480665
67,journals/msom,382.0,7891.0,,49.0,,67,journals/vlsisp,,25.0,,67,conf/iih-msp,,0.0122448979592
68,conf/cn,214.0,241.0,,49.0,,68,journals/nn,A1,25.0,,68,conf/trec,A2,0.011744966443
69,conf/iasam,951.0,3324.0,,49.0,,69,journals/coling,A1,25.0,,69,journals/prl,A1,0.0115068493151
70,conf/sigir,3545.0,205477.0,A1,49.0,,70,journals/ijclclp,,24.0,,70,conf/biostec,,0.0114832535885
71,journals/intr,662.0,27143.0,B1,49.0,,71,conf/biostec,,24.0,,71,conf/pcm,,0.0104938271605
72,conf/isit,4224.0,15815.0,B1,49.0,,72,conf/fgr,,23.0,,72,journals/sigpro,A1,0.0101223112611
73,journals/ec,474.0,66933.0,A1,48.0,,73,conf/icra,A1,23.0,,73,journals/tsp,A1,0.0101165815589
74,conf/eurocrypt,1310.0,147911.0,A1,48.0,,74,conf/sigir,A1,22.0,,74,conf/mva,B3,0.00987224157956
75,conf/icwsm,797.0,7564.0,B1,48.0,,75,journals/talip,,22.0,,75,conf/ieaaie,,0.00968783638321
76,journals/fgcs,2265.0,38059.0,A2,48.0,,76,conf/ica,,21.0,,76,journals/ar,,0.00933609958506
77,conf/naacl,1498.0,59153.0,A1,48.0,,77,conf/iih-msp,,21.0,,77,journals/pami,A1,0.00926473487089
78,journals/jcc,4376.0,140430.0,A1,47.0,,78,conf/trec,A2,21.0,,78,journals/nn,A1,0.00755287009063
79,journals/mia,1047.0,45369.0,A1,47.0,,79,conf/ism,B2,19.0,,79,journals/tnn,,0.00698757763975
80,conf/icassp,28525.0,238265.0,A1,47.0,,80,conf/humanoids,B2,19.0,,80,conf/sigir,A1,0.00620592383639
81,journals/ai,2580.0,376792.0,A1,46.0,,81,conf/cvpr,A1,19.0,,81,journals/pr,A1,0.00593119810202
82,journals/interactions,2020.0,25053.0,B2,46.0,,82,conf/ntcir,,18.0,,82,conf/iros,A1,0.0056600999706
83,conf/indin,449.0,117.0,,46.0,,83,journals/mt,B1,18.0,,83,conf/icip,A1,0.00520742926575
84,journals/bib,798.0,38929.0,,46.0,,84,conf/iwaenc,,18.0,,84,conf/hci,A2,0.00435255712731
85,conf/pldi,1303.0,110902.0,A1,46.0,,85,journals/ar,,18.0,,85,conf/ijcai,A1,0.00420168067227
86,journals/biosystems,997.0,8011.0,,46.0,,86,conf/qomex,,18.0,,86,conf/aaai,A1,0.00370615486433
87,conf/soco,139.0,1132.0,,46.0,,87,conf/avss,,18.0,,87,conf/chi,A1,0.00280452463307
88,conf/ijcai,6188.0,295635.0,A1,46.0,,88,conf/mva,B3,17.0,,88,conf/cvpr,A1,0.00276403840559
89,journals/jet,1697.0,99914.0,,45.0,,89,conf/pcm,,17.0,,89,conf/iscas,A1,0.00153238639712
90,journals/fss,3354.0,58453.0,A1,45.0,,90,conf/icb,,16.0,,90,conf/icra,A1,0.00143409402669
91,journals/ijon,7349.0,79598.0,A1,45.0,,91,journals/corr,,,,91,journals/nar,B1,
92,conf/pdes,273.0,49.0,,45.0,,92,conf/ssp,,,,92,conf/balt,,
93,conf/popl,1511.0,171888.0,A1,45.0,,93,conf/isit,B1,,,93,journals/cee,,
94,conf/cns,163.0,39.0,,45.0,,94,journals/tcom,A1,,,94,journals/cce,,
95,conf/iros,13604.0,126537.0,A1,45.0,,95,journals/twc,A1,,,95,journals/cma,,
96,conf/dna,356.0,9770.0,B4,45.0,,96,conf/acssc,,,,96,journals/neuroimage,,
97,journals/mktsci,521.0,15994.0,,45.0,,97,journals/tmc,,,,97,conf/mmar,,
98,conf/globecom,14010.0,105540.0,A1,45.0,,98,journals/tit,A1,,,98,conf/icete,B4,
99,conf/icc,14807.0,125393.0,A2,44.0,,99,journals/wc,,,,99,journals/information,,
100,journals/kbs,2347.0,29383.0,,44.0,,100,conf/icc,A2,,,100,journals/eswa,A1,
101,journals/prl,5475.0,100320.0,A1,44.0,,101,conf/allerton,,,,101,journals/scl,,
102,journals/isr,757.0,75607.0,,44.0,,102,conf/wcnc,A2,,,102,journals/automatica,A1,
103,journals/algorithms,263.0,616.0,,44.0,,103,conf/infocom,A1,,,103,journals/cm,A1,
104,conf/soda,2924.0,204116.0,A1,43.0,,104,conf/ciss,,,,104,journals/pieee,A1,
105,journals/games,118.0,422.0,,43.0,,105,conf/globecom,A1,,,105,journals/www,B1,
106,journals/geb,1630.0,74115.0,,43.0,,106,journals/tifs,,,,106,conf/www,A1,
107,conf/cdc,8622.0,25900.0,B1,43.0,,107,journals/ejwcn,B1,,,107,journals/or,,
108,journals/mcm,3045.0,22454.0,A2,43.0,,108,conf/crowncom,,,,108,journals/ploscb,,
109,conf/adhocnets,181.0,361.0,,42.0,,109,journals/siamco,A2,,,109,conf/coordination,,
