Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/stoc,A1,1712.0,,1,journals/toc,,0.656804733728
2,conf/balt,232.0,827.0,,132.0,,2,conf/focs,A1,1450.0,,2,conf/stoc,A1,0.567639257294
3,journals/cce,2581.0,35527.0,,118.0,,3,journals/siamcomp,A1,1324.0,,3,conf/innovations,,0.522727272727
4,journals/cee,1272.0,4934.0,,118.0,,4,journals/eccc,,1117.0,,4,conf/focs,A1,0.486903962391
5,journals/cma,4572.0,33510.0,,118.0,,5,conf/soda,A1,1076.0,,5,conf/approx,B1,0.440381558029
6,journals/pr,6744.0,201239.0,A1,118.0,,6,conf/icalp,A1,631.0,,6,journals/eccc,,0.434799532892
7,conf/cvpr,6874.0,379400.0,A1,118.0,,7,journals/jacm,A1,573.0,,7,journals/siamcomp,A1,0.423815620999
8,journals/neuroimage,6390.0,202819.0,,117.0,,8,journals/iacr,,557.0,,8,journals/cc,B2,0.39641943734
9,conf/mmar,518.0,135.0,,113.0,,9,journals/jcss,A2,548.0,,9,conf/coco,,0.394543546695
10,conf/icete,769.0,1194.0,B4,94.0,,10,journals/tcs,A1,546.0,,10,conf/soda,A1,0.367989056088
11,journals/information,150.0,275.0,,93.0,,11,journals/algorithmica,,424.0,,11,conf/tcc,A2,0.31724137931
12,journals/scl,1739.0,26654.0,,89.0,,12,journals/ipl,A2,421.0,,12,journals/talg,B1,0.289760348584
13,journals/eswa,8936.0,109580.0,A1,89.0,,13,conf/compgeom,A2,389.0,,13,conf/crypto,A1,0.239942528736
14,journals/automatica,7338.0,229957.0,A1,86.0,,14,conf/coco,,376.0,,14,conf/compgeom,A2,0.237484737485
15,journals/cm,1467.0,7672.0,A1,86.0,,15,conf/crypto,A1,334.0,,15,journals/joc,A2,0.218487394958
16,journals/pieee,1039.0,18961.0,A1,85.0,,16,conf/podc,A1,294.0,,16,journals/jacm,A1,0.210739242369
17,journals/sigpro,4742.0,50775.0,A1,84.0,,17,journals/iandc,A2,290.0,,17,journals/rsa,,0.208982584785
18,conf/www,4501.0,120253.0,A1,83.0,,18,conf/approx,B1,277.0,,18,journals/jcss,A2,0.20726172466
19,journals/www,423.0,7421.0,B1,83.0,,19,journals/dcg,B1,267.0,,19,conf/icalp,A1,0.20230843219
20,journals/or,324.0,1008.0,,81.0,,20,conf/esa,A2,251.0,,20,conf/spaa,A2,0.196634189548
21,journals/ploscb,3878.0,85175.0,,80.0,,21,journals/rsa,,228.0,,21,journals/algorithmica,,0.193961573651
22,conf/coordination,377.0,6017.0,,78.0,,22,conf/spaa,A2,222.0,,22,conf/esa,A2,0.190295678544
23,journals/computer,4766.0,261329.0,,76.0,,23,journals/combinatorica,,219.0,,23,conf/sigecom,,0.189526184539
24,conf/infocom,6943.0,350398.0,A1,76.0,,24,conf/stacs,A2,218.0,,24,conf/podc,A1,0.179926560588
25,journals/ml,1309.0,184440.0,A1,73.0,,25,journals/siamdm,B1,214.0,,25,conf/colt,A2,0.167577413479
26,journals/bmcbi,7074.0,136587.0,A1,73.0,,26,journals/jct,,187.0,,26,journals/combinatorica,,0.164537941397
27,journals/is,1504.0,32461.0,A2,72.0,,27,conf/colt,A2,184.0,,27,conf/wads,B1,0.161030595813
