Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/soda,A1,1623.0,,1,journals/talg,B1,0.570806100218
2,conf/cvpr,6874.0,379400.0,A1,118.0,,2,conf/stoc,A1,937.0,,2,conf/soda,A1,0.555061559508
3,journals/cee,1272.0,4934.0,,118.0,,3,journals/siamcomp,A1,908.0,,3,conf/wads,B1,0.460547504026
4,journals/cma,4572.0,33510.0,,118.0,,4,conf/focs,A1,887.0,,4,conf/compgeom,A2,0.452380952381
5,journals/pr,6744.0,201239.0,A1,118.0,,5,journals/algorithmica,,823.0,,5,conf/esa,A2,0.423805913571
6,journals/cce,2581.0,35527.0,,118.0,,6,conf/compgeom,A2,741.0,,6,conf/swat,B1,0.408582089552
7,journals/neuroimage,6390.0,202819.0,,117.0,,7,journals/tcs,A1,656.0,,7,conf/approx,B1,0.39586645469
8,conf/biocomp,667.0,747.0,B4,104.0,,8,conf/icalp,A1,571.0,,8,journals/comgeo,,0.394784172662
9,conf/icete,769.0,1194.0,B4,94.0,,9,conf/esa,A2,559.0,,9,conf/random,B1,0.379518072289
10,journals/eswa,8936.0,109580.0,A1,89.0,,10,journals/ipl,A2,509.0,,10,journals/algorithmica,,0.37648673376
11,journals/scl,1739.0,26654.0,,89.0,,11,journals/comgeo,,439.0,,11,conf/waoa,B4,0.348754448399
12,journals/automatica,7338.0,229957.0,A1,86.0,,12,conf/isaac,B1,433.0,,12,conf/alenex,B1,0.326388888889
13,journals/cm,1467.0,7672.0,A1,86.0,,13,journals/jal,A2,402.0,,13,journals/jal,A2,0.325506072874
14,journals/pieee,1039.0,18961.0,A1,85.0,,14,journals/dcg,B1,378.0,,14,journals/ijcga,B1,0.311522048364
15,journals/sigpro,4742.0,50775.0,A1,84.0,,15,conf/cccg,B2,325.0,,15,conf/stoc,A1,0.310676392573
16,conf/www,4501.0,120253.0,A1,83.0,,16,journals/jcss,A2,317.0,,16,conf/focs,A1,0.297850906649
17,journals/ploscb,3878.0,85175.0,,80.0,,17,journals/jacm,A1,298.0,,17,journals/siamcomp,A1,0.290653008963
18,journals/computer,4766.0,261329.0,,76.0,,18,conf/wads,B1,286.0,,18,conf/isaac,B1,0.271984924623
19,conf/infocom,6943.0,350398.0,A1,76.0,,19,journals/eccc,,283.0,,19,conf/cccg,B2,0.264227642276
20,journals/ml,1309.0,184440.0,A1,73.0,,20,journals/dam,A2,274.0,,20,conf/iwpec,,0.25641025641
21,journals/bmcbi,7074.0,136587.0,A1,73.0,,21,journals/siamdm,B1,263.0,,21,journals/toc,,0.254437869822
22,journals/is,1504.0,32461.0,A2,72.0,,22,journals/talg,B1,262.0,,22,conf/ipco,B1,0.251689189189
23,journals/isci,7032.0,124049.0,A1,70.0,,23,conf/approx,B1,249.0,,23,journals/jgaa,,0.246418338109
24,conf/icml,3294.0,290468.0,A1,69.0,,24,conf/spaa,A2,246.0,,24,journals/jea,B3,0.245210727969
25,conf/nips,5684.0,404822.0,A1,66.0,,25,conf/stacs,A2,226.0,,25,conf/cpm,B1,0.233473980309
26,journals/jocn,2068.0,89870.0,,64.0,,26,journals/rsa,,225.0,,26,conf/spaa,A2,0.21789193977
27,journals/comsur,583.0,19860.0,A1,61.0,,27,journals/ijcga,B1,219.0,,27,journals/rsa,,0.206232813932
28,conf/sigmod,3706.0,337960.0,A1,61.0,,28,conf/swat,B1,219.0,,28,conf/latin,B1,0.202635914333
29,conf/icra,16038.0,236265.0,A1,61.0,,29,journals/iandc,A2,188.0,,29,conf/innovations,,0.200757575758
30,conf/eccv,3329.0,159515.0,A1,59.0,,30,conf/cocoon,B1,176.0,,30,conf/spire,B1,0.195840554593
31,conf/isscc,1967.0,13365.0,B1,59.0,,31,journals/jct,,172.0,,31,journals/dcg,B1,0.18985434455
32,conf/smc,9388.0,28167.0,B2,58.0,,32,conf/cpm,B1,166.0,,32,conf/icalp,A1,0.183071497275
33,journals/soco,1974.0,28145.0,B1,57.0,,33,conf/gd,B2,164.0,,33,journals/jda,B3,0.168634064081
34,conf/networking,1306.0,9360.0,B1,56.0,,34,journals/dm,A2,159.0,,34,conf/ciac,,0.166666666667
35,conf/nsdi,481.0,17531.0,A1,54.0,,35,conf/podc,A1,154.0,,35,conf/gd,B2,0.160626836435
