Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/aaai,A1,2015.0,,1,conf/kr,A2,0.484913793103
2,journals/cma,4572.0,33510.0,,118.0,,2,conf/ijcai,A1,1747.0,,2,journals/ai,A1,0.41976744186
3,journals/cee,1272.0,4934.0,,118.0,,3,journals/ai,A1,1083.0,,3,conf/socs,,0.370689655172
4,journals/pr,6744.0,201239.0,A1,118.0,,4,conf/atal,,984.0,,4,journals/jair,A1,0.360479041916
5,journals/cce,2581.0,35527.0,,118.0,,5,conf/ecai,A2,460.0,,5,conf/nmr,B2,0.358108108108
6,conf/cvpr,6874.0,379400.0,A1,118.0,,6,conf/kr,A2,450.0,,6,conf/lpnmr,B1,0.353057199211
7,journals/neuroimage,6390.0,202819.0,,117.0,,7,conf/uai,A1,406.0,,7,conf/aips,,0.309110629067
8,conf/biocomp,667.0,747.0,B4,104.0,,8,journals/aim,A2,374.0,,8,conf/ijcai,A1,0.282320620556
9,conf/icete,769.0,1194.0,B4,94.0,,9,conf/iros,A1,343.0,,9,conf/icmas,,0.279069767442
10,journals/eswa,8936.0,109580.0,A1,89.0,,10,conf/cp,A2,338.0,,10,conf/aaai,A1,0.266710787558
11,journals/scl,1739.0,26654.0,,89.0,,11,conf/icra,A1,320.0,,11,conf/sum,,0.25468164794
12,journals/automatica,7338.0,229957.0,A1,86.0,,12,journals/jair,A1,301.0,,12,journals/aamas,A2,0.254385964912
13,journals/cm,1467.0,7672.0,A1,86.0,,13,conf/aips,,285.0,,13,journals/aim,A2,0.246864686469
14,journals/pieee,1039.0,18961.0,A1,85.0,,14,conf/icml,A1,284.0,,14,conf/dlog,,0.244126659857
15,journals/sigpro,4742.0,50775.0,A1,84.0,,15,conf/dlog,,239.0,,15,conf/cp,A2,0.238700564972
16,conf/agents,564.0,29006.0,,83.0,,16,journals/expert,A1,180.0,,16,conf/tark,B2,0.233128834356
17,conf/www,4501.0,120253.0,A1,83.0,,17,conf/lpnmr,B1,179.0,,17,conf/jelia,B1,0.232108317215
18,journals/ploscb,3878.0,85175.0,,80.0,,18,conf/robocup,,177.0,,18,journals/constraints,,0.224
19,conf/infocom,6943.0,350398.0,A1,76.0,,19,conf/nips,A1,168.0,,19,conf/sara,,0.219178082192
20,journals/computer,4766.0,261329.0,,76.0,,20,journals/amai,B1,155.0,,20,conf/aamas,A1,0.215258855586
21,journals/bmcbi,7074.0,136587.0,A1,73.0,,21,conf/dagstuhl,,153.0,,21,conf/atal,,0.211840688913
