Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,journals/bioinformatics,A1,2187.0,,1,conf/eccb,B1,0.412429378531
2,journals/cce,2581.0,35527.0,,118.0,,2,journals/bmcbi,A1,949.0,,2,conf/ismb,A1,0.33069828722
3,journals/cee,1272.0,4934.0,,118.0,,3,journals/nar,B1,913.0,,3,conf/gcb,,0.261868300153
4,conf/cvpr,6874.0,379400.0,A1,118.0,,4,conf/bibm,B4,393.0,,4,conf/bibm,B4,0.243947858473
5,journals/cma,4572.0,33510.0,,118.0,,5,journals/ploscb,,292.0,,5,conf/psb,A1,0.242424242424
6,journals/pr,6744.0,201239.0,A1,118.0,,6,journals/jcb,A1,270.0,,6,conf/gensips,,0.237068965517
7,journals/neuroimage,6390.0,202819.0,,117.0,,7,conf/ismb,A1,251.0,,7,conf/apbc,,0.233333333333
8,conf/biocomp,667.0,747.0,B4,104.0,,8,conf/recomb,A2,222.0,,8,journals/ejbsb,,0.23178807947
9,conf/icete,769.0,1194.0,B4,94.0,,9,conf/gcb,,171.0,,9,conf/recomb,A2,0.224696356275
10,journals/scl,1739.0,26654.0,,89.0,,10,journals/bmcsb,,166.0,,10,journals/jbcb,B1,0.218579234973
11,journals/eswa,8936.0,109580.0,A1,89.0,,11,journals/tcbb,A2,162.0,,11,journals/bioinformatics,A1,0.217244462104
12,journals/automatica,7338.0,229957.0,A1,86.0,,12,journals/jbcb,B1,160.0,,12,conf/wabi,B1,0.202505219207
13,journals/cm,1467.0,7672.0,A1,86.0,,13,conf/psb,A1,160.0,,13,journals/jcb,A1,0.178453403833
14,journals/pieee,1039.0,18961.0,A1,85.0,,14,journals/tsp,A1,105.0,,14,conf/csb,B1,0.162313432836
15,journals/sigpro,4742.0,50775.0,A1,84.0,,15,conf/wabi,B1,97.0,,15,journals/biodb,,0.162222222222
16,conf/www,4501.0,120253.0,A1,83.0,,16,conf/bibe,B1,96.0,,16,journals/tcbb,A2,0.161354581673
17,journals/ploscb,3878.0,85175.0,,80.0,,17,journals/jcisd,B1,95.0,,17,journals/nar,B1,0.158699808795
18,conf/infocom,6943.0,350398.0,A1,76.0,,18,journals/tcs,A1,92.0,,18,journals/ijdmb,,0.153846153846
19,journals/computer,4766.0,261329.0,,76.0,,19,journals/bib,,92.0,,19,conf/isbra,B3,0.139053254438
20,journals/bmcbi,7074.0,136587.0,A1,73.0,,20,conf/csb,B1,87.0,,20,journals/almob,A1,0.135458167331
21,journals/ml,1309.0,184440.0,A1,73.0,,21,conf/bcb,B4,80.0,,21,journals/bmcbi,A1,0.134153237207
22,journals/is,1504.0,32461.0,A2,72.0,,22,conf/cikm,A1,79.0,,22,conf/bcb,B4,0.121951219512
23,journals/isci,7032.0,124049.0,A1,70.0,,23,journals/biodb,,73.0,,23,journals/biomedsem,,0.120331950207
24,conf/icml,3294.0,290468.0,A1,69.0,,24,conf/icassp,A1,73.0,,24,journals/bib,,0.115288220551
25,conf/nips,5684.0,404822.0,A1,66.0,,25,conf/eccb,B1,73.0,,25,journals/bmcsb,,0.111859838275
26,conf/visual,317.0,7593.0,B2,66.0,,26,conf/globecom,A1,73.0,,26,conf/cpm,B1,0.101265822785
27,journals/jocn,2068.0,89870.0,,64.0,,27,conf/cpm,B1,72.0,,27,journals/isb,,0.100436681223
28,conf/sigmod,3706.0,337960.0,A1,61.0,,28,journals/candc,A2,72.0,,28,journals/ijbra,B3,0.0931506849315
29,journals/comsur,583.0,19860.0,A1,61.0,,29,journals/pr,A1,70.0,,29,journals/ploscb,,0.0752965446106
30,conf/icra,16038.0,236265.0,A1,61.0,,30,conf/ipps,A1,69.0,,30,conf/cibcb,B3,0.0718336483932
31,conf/isscc,1967.0,13365.0,B1,59.0,,31,conf/kdd,A1,69.0,,31,conf/bibe,B1,0.0703296703297
32,conf/eccv,3329.0,159515.0,A1,59.0,,32,conf/fskd,B2,64.0,,32,journals/candc,A2,0.0381355932203
33,conf/smc,9388.0,28167.0,B2,58.0,,33,conf/nips,A1,62.0,,33,conf/cocoon,B1,0.0353833192923
34,journals/soco,1974.0,28145.0,B1,57.0,,34,conf/coling,A1,62.0,,34,conf/grc,,0.0305039787798
35,conf/networking,1306.0,9360.0,B1,56.0,,35,conf/icic,,59.0,,35,conf/isaac,B1,0.0295226130653
36,conf/nsdi,481.0,17531.0,A1,54.0,,36,conf/apbc,,56.0,,36,conf/sdm,A2,0.0283553875236
37,conf/isca,1821.0,135083.0,A1,53.0,,37,conf/gensips,,55.0,,37,conf/pakdd,,0.0243523316062
38,conf/emnlp,1380.0,19971.0,A1,53.0,,38,journals/ieicet,,54.0,,38,conf/kdd,A1,0.0240501917044
39,journals/behaviourIT,1033.0,21287.0,,52.0,,39,conf/icip,A1,54.0,,39,journals/jbi,A2,0.0216903515333
40,journals/networks,1952.0,113935.0,B1,52.0,,40,journals/ijdmb,,52.0,,40,journals/jcamd,A1,0.0204734484965
41,conf/icde,4327.0,135333.0,A1,52.0,,41,journals/prl,A1,51.0,,41,conf/icic,,0.0204011065007
42,journals/jcisd,6138.0,73816.0,B1,51.0,,42,conf/icdm,A1,47.0,,42,conf/icmla,B2,0.019647696477
43,journals/dss,2302.0,56927.0,A1,50.0,,43,conf/isaac,B1,47.0,,43,journals/algorithmica,,0.0182982616651
44,conf/sigir,3545.0,205477.0,A1,49.0,,44,conf/isbra,B3,47.0,,44,conf/cikm,A1,0.0182321717055
45,conf/ias,468.0,1722.0,B1,49.0,,45,conf/pakdd,,47.0,,45,conf/pkdd,A2,0.0180652680653
46,conf/isit,4224.0,15815.0,B1,49.0,,46,conf/grc,,46.0,,46,journals/jamia,A1,0.0177458033573
47,journals/fgcs,2265.0,38059.0,A2,48.0,,47,journals/isb,,46.0,,47,conf/coling,A1,0.0174402250352
48,conf/icassp,28525.0,238265.0,A1,47.0,,48,journals/dam,A2,45.0,,48,journals/jcss,A2,0.0158850226929
49,journals/jcc,4376.0,140430.0,A1,47.0,,49,conf/icc,A2,45.0,,49,journals/jcst,B2,0.015756302521
50,journals/ai,2580.0,376792.0,A1,46.0,,50,journals/isci,A1,45.0,,50,journals/jcisd,B1,0.015477354187
51,conf/jcai,213.0,171.0,,46.0,,51,conf/acl,A1,44.0,,51,conf/bmei,B4,0.014968614196
52,conf/ijcai,6188.0,295635.0,A1,46.0,,52,journals/ipl,A2,43.0,,52,conf/cis,B3,0.0146118721461
53,conf/indin,449.0,117.0,,46.0,,53,conf/isbi,B1,43.0,,53,conf/icdm,A1,0.014390691978
54,journals/interactions,2020.0,25053.0,B2,46.0,,54,conf/cocoon,B1,42.0,,54,journals/jmlr,A1,0.013856812933
55,journals/bib,798.0,38929.0,,46.0,,55,journals/jcss,A2,42.0,,55,journals/tkde,A1,0.0136845706466
56,journals/fss,3354.0,58453.0,A1,45.0,,56,journals/sigpro,A1,42.0,,56,conf/soda,A1,0.0136798905609
57,journals/ijon,7349.0,79598.0,A1,45.0,,57,conf/igarss,B1,42.0,,57,conf/fskd,B2,0.0131687242798
58,conf/globecom,14010.0,105540.0,A1,45.0,,58,conf/icmcs,B3,42.0,,58,journals/siamcomp,A1,0.0118437900128
59,conf/iros,13604.0,126537.0,A1,45.0,,59,journals/ijon,A1,41.0,,59,conf/icalp,A1,0.0112215453671
60,conf/cns,163.0,39.0,,45.0,,60,journals/tkde,A1,40.0,,60,conf/nips,A1,0.0109078114004
61,journals/prl,5475.0,100320.0,A1,44.0,,61,conf/soda,A1,40.0,,61,conf/icml,A1,0.0106253794778
62,conf/icc,14807.0,125393.0,A2,44.0,,62,journals/algorithmica,,40.0,,62,journals/pr,A1,0.0103795966785
63,journals/kbs,2347.0,29383.0,,44.0,,63,journals/tsmc,,39.0,,63,conf/acl,A1,0.010372465818
64,conf/soda,2924.0,204116.0,A1,43.0,,64,conf/cibcb,B3,38.0,,64,conf/icnc,B4,0.0103092783505
65,journals/mcm,3045.0,22454.0,A2,43.0,,65,conf/vtc,A1,38.0,,65,conf/isbi,B1,0.0103018687111
66,conf/cdc,8622.0,25900.0,B1,43.0,,66,conf/cvpr,A1,38.0,,66,conf/stoc,A1,0.0102785145889
67,journals/comcom,4829.0,48151.0,A2,42.0,,67,conf/robio,B1,38.0,,67,journals/tsp,A1,0.0101165815589
68,journals/siamsc,1790.0,41616.0,A1,42.0,,68,conf/cdc,B1,37.0,,68,conf/isnn,,0.00980392156863
69,conf/hpca,787.0,26675.0,A1,42.0,,69,journals/automatica,A1,37.0,,69,conf/robio,B1,0.0095525389643
70,conf/vtc,10987.0,36827.0,A1,42.0,,70,journals/siamcomp,A1,37.0,,70,conf/ipps,A1,0.00935212794795
71,journals/adhoc,1160.0,24419.0,B1,42.0,,71,conf/wcnc,A2,37.0,,71,journals/prl,A1,0.00931506849315
72,conf/date,5135.0,52731.0,A1,41.0,,72,conf/icnc,B4,37.0,,72,journals/tpds,A1,0.00909642207398
73,conf/dac,6526.0,186313.0,A1,40.0,,73,journals/jamia,A1,37.0,,73,journals/sigpro,A1,0.00885702235344
74,conf/micro,1409.0,59172.0,A1,40.0,,74,conf/amia,,36.0,,74,journals/ejasp,B1,0.00879396984925
75,journals/scientometrics,4199.0,122179.0,,40.0,,75,conf/icalp,A1,35.0,,75,journals/tcs,A1,0.00850985107761
76,journals/eaai,1516.0,14305.0,A2,39.0,,76,journals/ejbsb,,35.0,,76,journals/tnn,,0.00828157349896
77,conf/interspeech,17729.0,130378.0,A1,39.0,,77,conf/icml,A1,35.0,,77,journals/jcc,A1,0.00799817184644
78,journals/siamcomp,3124.0,269865.0,A1,39.0,,78,journals/jcc,A1,35.0,,78,journals/dam,A2,0.00785477395706
79,conf/sigmetrics,1490.0,70702.0,A1,39.0,,79,journals/ijbra,B3,34.0,,79,conf/dagstuhl,,0.00752222475496
80,conf/hicss,11101.0,101629.0,A1,38.0,,80,journals/almob,A1,34.0,,80,journals/tbe,A1,0.00704690596785
81,journals/neco,2472.0,320711.0,A1,38.0,,81,conf/isnn,,33.0,,81,conf/amia,,0.00642169104531
82,journals/tcs,10811.0,391021.0,A1,38.0,,82,conf/dagstuhl,,33.0,,82,journals/isci,A1,0.00639931740614
83,journals/integration,954.0,6860.0,B2,38.0,,83,conf/cis,B3,32.0,,83,journals/ipl,A2,0.00618616026471
84,conf/fast,354.0,10728.0,A1,37.0,,84,journals/jcamd,A1,32.0,,84,journals/tip,A1,0.00586854460094
85,conf/cloudcom,757.0,3093.0,B2,37.0,,85,journals/tbe,A1,32.0,,85,conf/icmcs,B3,0.00576447982432
86,conf/bmvc,2532.0,51771.0,A2,37.0,,86,journals/tnn,,32.0,,86,journals/ijon,A1,0.00557899033882
87,journals/cad,2736.0,55554.0,,37.0,,87,conf/stoc,A1,31.0,,87,conf/cvpr,A1,0.00552807681117
88,conf/cscw,1792.0,98709.0,A1,37.0,,88,conf/bmei,B4,31.0,,88,conf/globecom,A1,0.00521056388294
89,conf/aaai,7555.0,234650.0,A1,37.0,,89,conf/hicss,A1,31.0,,89,journals/tsmc,,0.00518272425249
90,conf/isip,148.0,186.0,,36.0,,90,conf/smc,B2,31.0,,90,journals/automatica,A1,0.00504224584355
91,conf/ipsn,841.0,28102.0,A1,36.0,,91,conf/pkdd,A2,31.0,,91,conf/wcnc,A2,0.00495447241564
92,journals/siamis,425.0,5889.0,,36.0,,92,journals/jmlr,A1,30.0,,92,conf/cdc,B1,0.00429134771515
93,journals/csi,921.0,8151.0,,36.0,,93,journals/tpds,A1,30.0,,93,conf/vtc,A1,0.00345863292983
94,journals/siamco,1861.0,64741.0,A2,36.0,,94,journals/jcst,B2,30.0,,94,conf/smc,B2,0.00330208777162
95,conf/ppopp,790.0,28302.0,A2,35.0,,95,conf/sdm,A2,30.0,,95,journals/ieicet,,0.00318753320347
96,conf/ai,834.0,4107.0,B1,35.0,,96,journals/tip,A1,30.0,,96,conf/icip,A1,0.00312445755945
97,conf/sdm,1058.0,20754.0,A2,35.0,,97,journals/biomedsem,,29.0,,97,conf/igarss,B1,0.00312198022746
98,conf/icip,17283.0,156642.0,A1,35.0,,98,journals/jbi,A2,29.0,,98,conf/icc,A2,0.0030391031269
99,journals/socnet,537.0,17912.0,,33.0,,99,conf/icmla,B2,29.0,,99,conf/hicss,A1,0.0027925412125
100,conf/iccvw,328.0,5566.0,,33.0,,100,journals/ejasp,B1,28.0,,100,conf/icassp,A1,0.00255915863278
101,conf/allerton,778.0,633.0,,33.0,,101,journals/corr,,,,101,journals/cce,,
102,conf/icalp,3119.0,122492.0,A1,33.0,,102,conf/ssp,,,,102,journals/cee,,
103,conf/sac,5502.0,37130.0,A1,32.0,,103,conf/isit,B1,,,103,journals/cma,,
104,conf/percom,1751.0,19503.0,A2,32.0,,104,journals/tcom,A1,,,104,journals/neuroimage,,
105,conf/miccai,4743.0,59627.0,A1,32.0,,105,journals/twc,A1,,,105,conf/biocomp,B4,
106,conf/cec,5323.0,30161.0,B1,32.0,,106,journals/jstsp,A1,,,106,conf/icete,B4,
107,conf/tacas,874.0,35833.0,A1,31.0,,107,conf/acssc,,,,107,journals/scl,,
108,conf/coling,3555.0,68639.0,A1,31.0,,108,journals/tmc,,,,108,journals/eswa,A1,
109,journals/lre,903.0,17032.0,B3,31.0,,109,journals/tit,A1,,,109,journals/cm,A1,
110,conf/lrec,3847.0,17564.0,A2,31.0,,110,journals/wc,,,,110,journals/pieee,A1,
111,journals/dam,5729.0,70961.0,A2,31.0,,111,conf/allerton,,,,111,conf/www,A1,
112,conf/icdar,2762.0,27617.0,A2,31.0,,112,conf/infocom,A1,,,112,conf/infocom,A1,
113,conf/ics,1404.0,42901.0,A2,30.0,,113,conf/ciss,,,,113,journals/computer,,
114,journals/siamma,1295.0,17645.0,,30.0,,114,journals/tifs,,,,114,journals/ml,A1,
115,journals/eis,228.0,3625.0,,30.0,,115,journals/ejwcn,B1,,,115,journals/is,A2,
116,conf/icpr,8972.0,82067.0,A1,29.0,,116,conf/crowncom,,,,116,conf/visual,B2,
