Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/IEEEicci,,524.0,,1,journals/ijssci,,0.677685950413
2,journals/cee,1272.0,4934.0,,118.0,,2,journals/cogsci,,387.0,,2,journals/ijcini,,0.573099415205
3,conf/cvpr,6874.0,379400.0,A1,118.0,,3,conf/nips,A1,173.0,,3,conf/IEEEicci,,0.516765285996
4,journals/cma,4572.0,33510.0,,118.0,,4,conf/robio,B1,118.0,,4,journals/cogsci,,0.335064935065
5,journals/cce,2581.0,35527.0,,118.0,,5,conf/iccsa,B1,118.0,,5,journals/tcos,B5,0.154838709677
6,journals/pr,6744.0,201239.0,A1,118.0,,6,journals/isci,A1,110.0,,6,conf/rskt,,0.128608923885
7,journals/neuroimage,6390.0,202819.0,,117.0,,7,conf/isnn,,109.0,,7,conf/rsfdgrc,,0.0820512820513
8,conf/biocomp,667.0,747.0,B4,104.0,,8,conf/ijcai,A1,106.0,,8,conf/jisbd,,0.0801815431165
9,conf/icete,769.0,1194.0,B4,94.0,,9,journals/ijon,A1,106.0,,9,conf/its,B2,0.0793522267206
10,journals/scl,1739.0,26654.0,,89.0,,10,journals/ijcini,,98.0,,10,conf/rsctc,,0.0785619174434
11,journals/eswa,8936.0,109580.0,A1,89.0,,11,conf/rskt,,98.0,,11,conf/edm,B3,0.0690537084399
12,journals/cm,1467.0,7672.0,A1,86.0,,12,conf/its,B2,98.0,,12,journals/cogsr,,0.0641975308642
13,journals/automatica,7338.0,229957.0,A1,86.0,,13,conf/grc,,96.0,,13,conf/grc,,0.0636604774536
14,journals/pieee,1039.0,18961.0,A1,85.0,,14,journals/tsmc,,96.0,,14,conf/aied,B1,0.0634920634921
15,journals/sigpro,4742.0,50775.0,A1,84.0,,15,conf/cscwd,,94.0,,15,conf/cscwd,,0.0439868975199
16,conf/www,4501.0,120253.0,A1,83.0,,16,conf/smc,B2,90.0,,16,conf/skg,,0.0369487485101
17,journals/ploscb,3878.0,85175.0,,80.0,,17,journals/ijssci,,82.0,,17,conf/isnn,,0.0323826500297
18,journals/computer,4766.0,261329.0,,76.0,,18,conf/igarss,B1,76.0,,18,conf/iri,B2,0.031007751938
19,conf/infocom,6943.0,350398.0,A1,76.0,,19,conf/aaai,A1,75.0,,19,conf/nips,A1,0.030436312456
20,journals/ml,1309.0,184440.0,A1,73.0,,20,conf/ifip12,,66.0,,20,conf/robio,B1,0.0296631473102
21,journals/bmcbi,7074.0,136587.0,A1,73.0,,21,conf/icdm,A1,65.0,,21,conf/forte,B1,0.0290697674419
22,journals/is,1504.0,32461.0,A2,72.0,,22,conf/icip,A1,63.0,,22,conf/iccsa,B1,0.027550782162
23,journals/isci,7032.0,124049.0,A1,70.0,,23,conf/iros,A1,63.0,,23,journals/tfs,A1,0.0273590173088
24,conf/icml,3294.0,290468.0,A1,69.0,,24,conf/aied,B1,60.0,,24,journals/soco,B1,0.0273556231003
25,conf/nips,5684.0,404822.0,A1,66.0,,25,conf/rsctc,,59.0,,25,conf/webi,,0.0252667040988
26,conf/visual,317.0,7593.0,B2,66.0,,26,journals/eswa,A1,59.0,,26,conf/ifip12,,0.0252100840336
27,journals/jocn,2068.0,89870.0,,64.0,,27,conf/fskd,B2,58.0,,27,conf/ismis,B2,0.0241351568785
28,journals/comsur,583.0,19860.0,A1,61.0,,28,conf/chi,A1,58.0,,28,journals/ais,,0.0241080038573
29,conf/sigmod,3706.0,337960.0,A1,61.0,,29,conf/ijcnn,A2,55.0,,29,conf/gcc,B2,0.0239341810022
30,conf/icra,16038.0,236265.0,A1,61.0,,30,conf/icnc,B4,54.0,,30,journals/jcst,B2,0.0236344537815
31,conf/isscc,1967.0,13365.0,B1,59.0,,31,journals/soco,B1,54.0,,31,conf/icsoft,B4,0.0225498699046
32,conf/eccv,3329.0,159515.0,A1,59.0,,32,conf/acl,A1,53.0,,32,journals/ai,A1,0.0201550387597
33,conf/smc,9388.0,28167.0,B2,58.0,,33,conf/jisbd,,53.0,,33,conf/icdm,A1,0.0199020208206
