Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,journals/ploscb,,990.0,,1,conf/recomb,A2,0.541497975709
2,journals/pr,6744.0,201239.0,A1,118.0,,2,journals/bioinformatics,A1,866.0,,2,journals/jcb,A1,0.304692663582
3,journals/cma,4572.0,33510.0,,118.0,,3,conf/recomb,A2,535.0,,3,conf/wabi,B1,0.298538622129
4,journals/cee,1272.0,4934.0,,118.0,,4,journals/jcb,A1,461.0,,4,conf/ismb,A1,0.266139657444
5,conf/cvpr,6874.0,379400.0,A1,118.0,,5,journals/bmcbi,A1,362.0,,5,journals/ploscb,,0.255286230015
6,journals/cce,2581.0,35527.0,,118.0,,6,journals/nar,B1,342.0,,6,conf/eccb,B1,0.242937853107
7,journals/neuroimage,6390.0,202819.0,,117.0,,7,conf/nips,A1,326.0,,7,conf/psb,A1,0.212121212121
8,conf/biocomp,667.0,747.0,B4,104.0,,8,conf/ismb,A1,202.0,,8,conf/cpm,B1,0.150492264416
9,conf/icete,769.0,1194.0,B4,94.0,,9,journals/neuroimage,,159.0,,9,conf/gcb,,0.137825421133
10,journals/scl,1739.0,26654.0,,89.0,,10,journals/neco,A1,151.0,,10,conf/apbc,,0.1375
11,journals/eswa,8936.0,109580.0,A1,89.0,,11,conf/wabi,B1,143.0,,11,journals/almob,A1,0.131474103586
12,journals/cm,1467.0,7672.0,A1,86.0,,12,conf/psb,A1,140.0,,12,conf/iccabs,B5,0.122529644269
13,journals/automatica,7338.0,229957.0,A1,86.0,,13,journals/bmcsb,,125.0,,13,conf/isbra,B3,0.118343195266
14,journals/pieee,1039.0,18961.0,A1,85.0,,14,journals/ijon,A1,118.0,,14,conf/csb,B1,0.108208955224
15,journals/sigpro,4742.0,50775.0,A1,84.0,,15,conf/uai,A1,110.0,,15,journals/tcbb,A2,0.097609561753
16,conf/www,4501.0,120253.0,A1,83.0,,16,conf/cpm,B1,107.0,,16,journals/bioinformatics,A1,0.0860236416013
17,journals/ploscb,3878.0,85175.0,,80.0,,17,journals/tcbb,A2,98.0,,17,journals/bmcsb,,0.0842318059299
18,journals/computer,4766.0,261329.0,,76.0,,18,journals/siamcomp,A1,97.0,,18,journals/jbcb,B1,0.0833333333333
19,conf/infocom,6943.0,350398.0,A1,76.0,,19,conf/gcb,,90.0,,19,journals/ficn,,0.0798192771084
20,journals/ml,1309.0,184440.0,A1,73.0,,20,conf/icml,A1,84.0,,20,journals/neco,A1,0.0610841423948
21,journals/bmcbi,7074.0,136587.0,A1,73.0,,21,conf/soda,A1,81.0,,21,journals/nar,B1,0.0594472449157
22,journals/is,1504.0,32461.0,A2,72.0,,22,journals/tcs,A1,79.0,,22,conf/nips,A1,0.0573539760732
23,journals/isci,7032.0,124049.0,A1,70.0,,23,conf/stoc,A1,77.0,,23,conf/uai,A1,0.0559796437659
24,conf/icml,3294.0,290468.0,A1,69.0,,24,conf/focs,A1,71.0,,24,journals/fini,,0.0557491289199
25,conf/nips,5684.0,404822.0,A1,66.0,,25,journals/algorithmica,,63.0,,25,journals/bmcbi,A1,0.0511733107153
26,conf/visual,317.0,7593.0,B2,66.0,,26,journals/nn,A1,62.0,,26,journals/bib,,0.0488721804511
27,journals/jocn,2068.0,89870.0,,64.0,,27,journals/jmlr,A1,61.0,,27,journals/ni,A1,0.0484693877551
28,conf/icra,16038.0,236265.0,A1,61.0,,28,journals/jbcb,B1,61.0,,28,conf/aistats,,0.0459363957597
29,journals/comsur,583.0,19860.0,A1,61.0,,29,journals/bc,A1,61.0,,29,conf/bcb,B4,0.0457317073171
30,conf/sigmod,3706.0,337960.0,A1,61.0,,30,conf/csb,B1,58.0,,30,journals/jcns,,0.0443181818182
31,conf/eccv,3329.0,159515.0,A1,59.0,,31,journals/jacm,A1,58.0,,31,conf/wads,B1,0.0338164251208
32,conf/isscc,1967.0,13365.0,B1,59.0,,32,journals/jcss,A2,56.0,,32,conf/colt,A2,0.0327868852459
33,conf/smc,9388.0,28167.0,B2,58.0,,33,journals/ficn,,53.0,,33,journals/siamcomp,A1,0.0310499359795
34,journals/soco,1974.0,28145.0,B1,57.0,,34,journals/dam,A2,51.0,,34,journals/jal,A2,0.0307692307692
