Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/iccS,A2,1075.0,,1,journals/aghcs,,0.251572327044
2,journals/cee,1272.0,4934.0,,118.0,,2,conf/iccsa,B1,415.0,,2,conf/iccS,A2,0.241193628001
3,journals/pr,6744.0,201239.0,A1,118.0,,3,journals/siamsc,A1,396.0,,3,journals/siamsc,A1,0.221229050279
4,journals/cma,4572.0,33510.0,,118.0,,4,journals/jcphy,,281.0,,4,conf/pvm,,0.154942965779
5,conf/cvpr,6874.0,379400.0,A1,118.0,,5,conf/ipps,A1,241.0,,5,journals/jocs,,0.147909967846
6,journals/cce,2581.0,35527.0,,118.0,,6,conf/europar,,228.0,,6,journals/nla,,0.142414860681
7,journals/neuroimage,6390.0,202819.0,,117.0,,7,journals/fgcs,A2,193.0,,7,journals/tcos,B5,0.125806451613
8,conf/biocomp,667.0,747.0,B4,104.0,,8,journals/concurrency,,182.0,,8,conf/ppam,,0.1157455683
9,conf/icete,769.0,1194.0,B4,94.0,,9,conf/sc,A1,177.0,,9,journals/ijitdm,,0.115141955836
10,journals/eswa,8936.0,109580.0,A1,89.0,,10,journals/procedia,C ,171.0,,10,conf/vecpar,B4,0.110112359551
11,journals/scl,1739.0,26654.0,,89.0,,11,conf/pvm,,163.0,,11,conf/hpcn,B3,0.106129917658
12,journals/automatica,7338.0,229957.0,A1,86.0,,12,journals/siamnum,A1,143.0,,12,conf/bife,,0.105809128631
13,journals/cm,1467.0,7672.0,A1,86.0,,13,conf/hpcn,B3,116.0,,13,journals/ijhpca,,0.105463786531
14,journals/pieee,1039.0,18961.0,A1,85.0,,14,journals/pc,A2,114.0,,14,conf/para,,0.101804123711
15,journals/sigpro,4742.0,50775.0,A1,84.0,,15,conf/ppam,,111.0,,15,conf/iccsa,B1,0.0968946999767
16,conf/www,4501.0,120253.0,A1,83.0,,16,journals/jpdc,A2,107.0,,16,conf/grid,A2,0.0959183673469
17,journals/ploscb,3878.0,85175.0,,80.0,,17,conf/igarss,B1,103.0,,17,conf/itqm,,0.0936454849498
18,journals/computer,4766.0,261329.0,,76.0,,18,conf/ppsc,B4,84.0,,18,journals/sp,,0.0862422997947
19,conf/infocom,6943.0,350398.0,A1,76.0,,19,journals/jscic,,84.0,,19,journals/fgcs,A2,0.0852097130243
20,journals/ml,1309.0,184440.0,A1,73.0,,20,journals/ijhpca,,83.0,,20,journals/procedia,C ,0.0851169736187
21,journals/bmcbi,7074.0,136587.0,A1,73.0,,21,journals/tjs,B2,83.0,,21,journals/mmas,,0.0847058823529
22,journals/is,1504.0,32461.0,A2,72.0,,22,journals/tpds,A1,82.0,,22,journals/siamnum,A1,0.0813424345848
23,journals/isci,7032.0,124049.0,A1,70.0,,23,conf/para,,79.0,,23,conf/eScience,B1,0.0775656324582
24,conf/icml,3294.0,290468.0,A1,69.0,,24,conf/ccgrid,A1,77.0,,24,journals/concurrency,,0.0763743180864
25,conf/visual,317.0,7593.0,B2,66.0,,25,journals/ijitdm,,73.0,,25,conf/ppsc,B4,0.07615593835
26,conf/nips,5684.0,404822.0,A1,66.0,,26,conf/icpp,A2,73.0,,26,conf/europar,,0.0700676090965
27,journals/jocn,2068.0,89870.0,,64.0,,27,conf/cscwd,,70.0,,27,journals/jscic,,0.0684039087948
28,conf/sigmod,3706.0,337960.0,A1,61.0,,28,conf/hpdc,A1,70.0,,28,conf/parco,B3,0.0679012345679
29,journals/comsur,583.0,19860.0,A1,61.0,,29,conf/pdp,B1,68.0,,29,conf/simultech,,0.0656934306569
30,conf/icra,16038.0,236265.0,A1,61.0,,30,conf/pdpta,B2,67.0,,30,journals/siammax,,0.0620549338759
31,conf/eccv,3329.0,159515.0,A1,59.0,,31,conf/cluster,A2,66.0,,31,conf/hpdc,A1,0.0614035087719
32,conf/isscc,1967.0,13365.0,B1,59.0,,32,conf/parco,B3,66.0,,32,journals/cai,B3,0.059186189889
33,conf/smc,9388.0,28167.0,B2,58.0,,33,conf/eScience,B1,65.0,,33,conf/cluster,A2,0.058407079646
34,journals/computing,2617.0,31198.0,B1,57.0,,34,conf/miccai,A1,65.0,,34,conf/sc,A1,0.0573372206025
35,journals/soco,1974.0,28145.0,B1,57.0,,35,journals/siammax,,61.0,,35,journals/jcphy,,0.0571138211382
36,conf/networking,1306.0,9360.0,B1,56.0,,36,conf/icdm,A1,60.0,,36,conf/icuimc,,0.0546265328874
37,conf/nsdi,481.0,17531.0,A1,54.0,,37,journals/toms,A2,59.0,,37,conf/ccgrid,A1,0.0491698595147
38,conf/emnlp,1380.0,19971.0,A1,53.0,,38,journals/amc,A2,59.0,,38,journals/cluster,B2,0.0490196078431
39,conf/isca,1821.0,135083.0,A1,53.0,,39,conf/gcc,B2,58.0,,39,journals/pc,A2,0.0460234154219
40,conf/icde,4327.0,135333.0,A1,52.0,,40,conf/isnn,,58.0,,40,conf/gcc,B2,0.0433807030666
41,journals/networks,1952.0,113935.0,B1,52.0,,41,conf/hpcc,,54.0,,41,journals/tjs,B2,0.0431392931393
42,journals/behaviourIT,1033.0,21287.0,,52.0,,42,journals/cma,,53.0,,42,journals/jossac,,0.0426409903714
43,journals/jcisd,6138.0,73816.0,B1,51.0,,43,conf/bife,,51.0,,43,journals/toms,A2,0.0423850574713
44,journals/dss,2302.0,56927.0,A1,50.0,,44,journals/ijon,A1,51.0,,44,conf/pdp,B1,0.0407918416317
45,conf/isit,4224.0,15815.0,B1,49.0,,45,journals/ieicet,,50.0,,45,conf/ica3pp,B3,0.0385756676558
46,conf/sigir,3545.0,205477.0,A1,49.0,,46,conf/icuimc,,49.0,,46,conf/hipc,B1,0.036018957346
47,conf/ias,468.0,1722.0,B1,49.0,,47,journals/jcam,A2,49.0,,47,conf/cso,B5,0.0359712230216
48,journals/fgcs,2265.0,38059.0,A2,48.0,,48,conf/vecpar,B4,49.0,,48,conf/cts,,0.0348557692308
49,journals/jcc,4376.0,140430.0,A1,47.0,,49,journals/moc,A2,48.0,,49,journals/jpdc,A2,0.0343388960205
50,conf/icassp,28525.0,238265.0,A1,47.0,,50,journals/cai,B3,48.0,,50,conf/hpcc,,0.0339836375079
51,journals/interactions,2020.0,25053.0,B2,46.0,,51,conf/otm,,47.0,,51,conf/ncm,,0.0330477356181
52,conf/indin,449.0,117.0,,46.0,,52,conf/grid,A2,47.0,,52,conf/cscwd,,0.0327562002808
53,journals/bib,798.0,38929.0,,46.0,,53,journals/nla,,46.0,,53,conf/ipps,A1,0.0326646787747
54,journals/ai,2580.0,376792.0,A1,46.0,,54,journals/jocs,,46.0,,54,conf/ics,A2,0.0320512820513
55,conf/jcai,213.0,171.0,,46.0,,55,conf/icoin,B1,45.0,,55,journals/cse,,0.0316027088036
56,conf/ijcai,6188.0,295635.0,A1,46.0,,56,conf/ics,A2,45.0,,56,conf/icoin,B1,0.0297422339722
57,journals/fss,3354.0,58453.0,A1,45.0,,57,conf/iat,B1,45.0,,57,conf/ispa,B3,0.0296712109062
58,conf/iros,13604.0,126537.0,A1,45.0,,58,journals/eor,A1,45.0,,58,conf/arcs,B2,0.0295983086681
59,conf/globecom,14010.0,105540.0,A1,45.0,,59,journals/isci,A1,44.0,,59,journals/tpds,A1,0.0248635536689
60,journals/ijon,7349.0,79598.0,A1,45.0,,60,conf/iwann,B2,44.0,,60,conf/iat,B1,0.0230061349693
61,conf/cns,163.0,39.0,,45.0,,61,journals/tc,A1,43.0,,61,conf/pdpta,B2,0.0217886178862
62,conf/icc,14807.0,125393.0,A2,44.0,,62,journals/sp,,42.0,,62,journals/moc,A2,0.0214765100671
63,journals/kbs,2347.0,29383.0,,44.0,,63,journals/eswa,A1,41.0,,63,conf/aiccsa,B1,0.0213414634146
64,journals/prl,5475.0,100320.0,A1,44.0,,64,journals/aghcs,,40.0,,64,conf/icpp,A2,0.0212642004078
65,conf/cdc,8622.0,25900.0,B1,43.0,,65,journals/tcos,B5,39.0,,65,conf/fgit,,0.0212454212454
66,journals/mcm,3045.0,22454.0,A2,43.0,,66,conf/hipc,B1,38.0,,66,conf/iwann,B2,0.0207841284837
67,conf/soda,2924.0,204116.0,A1,43.0,,67,journals/computing,B1,38.0,,67,conf/otm,,0.0202673566192
68,conf/hpca,787.0,26675.0,A1,42.0,,68,conf/ispa,B3,37.0,,68,conf/icdm,A1,0.0183710961421
69,journals/siamsc,1790.0,41616.0,A1,42.0,,69,journals/sigsoft,,37.0,,69,journals/sigsoft,,0.0179786200194
70,journals/comcom,4829.0,48151.0,A2,42.0,,70,journals/mcs,,37.0,,70,journals/mcs,,0.0177372962608
71,journals/adhoc,1160.0,24419.0,B1,42.0,,71,conf/smc,B2,37.0,,71,conf/isnn,,0.0172311348782
72,conf/vtc,10987.0,36827.0,A1,42.0,,72,journals/mmas,,36.0,,72,journals/jcam,A2,0.0165652467884
73,conf/date,5135.0,52731.0,A1,41.0,,73,conf/sac,A1,35.0,,73,journals/chinaf,,0.0150446638458
74,journals/scientometrics,4199.0,122179.0,,40.0,,74,journals/cluster,B2,35.0,,74,journals/siamrev,,0.0148107515085
75,conf/micro,1409.0,59172.0,A1,40.0,,75,conf/icc,A2,34.0,,75,journals/computing,B1,0.0145204432556
76,conf/dac,6526.0,186313.0,A1,40.0,,76,conf/icassp,A1,33.0,,76,journals/jnw,,0.0138657792568
77,conf/interspeech,17729.0,130378.0,A1,39.0,,77,journals/bmcbi,A1,32.0,,77,conf/miccai,A1,0.0137044064938
78,conf/sigmetrics,1490.0,70702.0,A1,39.0,,78,journals/chinaf,,32.0,,78,conf/IEEEcit,,0.0126454223571
79,journals/eaai,1516.0,14305.0,A2,39.0,,79,journals/jossac,,31.0,,79,journals/cma,,0.0115923009624
80,journals/siamcomp,3124.0,269865.0,A1,39.0,,80,conf/fskd,B2,31.0,,80,journals/cphysics,A1,0.00849762066621
81,journals/cluster,714.0,8003.0,B2,39.0,,81,conf/globecom,A1,30.0,,81,conf/igarss,B1,0.00765628484353
82,conf/hicss,11101.0,101629.0,A1,38.0,,82,conf/cso,B5,30.0,,82,conf/aina,A2,0.00707547169811
83,journals/neco,2472.0,320711.0,A1,38.0,,83,conf/aina,A2,30.0,,83,journals/ijon,A1,0.00693971968975
84,journals/siamnum,1758.0,54659.0,A1,38.0,,84,conf/hicss,A1,29.0,,84,journals/tc,A1,0.00651811429438
85,journals/tcs,10811.0,391021.0,A1,38.0,,85,conf/cts,,29.0,,85,conf/fskd,B2,0.00637860082305
86,journals/integration,954.0,6860.0,B2,38.0,,86,conf/fgit,,29.0,,86,conf/sac,A1,0.00636132315522
87,conf/aaai,7555.0,234650.0,A1,37.0,,87,journals/cse,,28.0,,87,journals/isci,A1,0.00625711035267
88,conf/cscw,1792.0,98709.0,A1,37.0,,88,conf/arcs,B2,28.0,,88,conf/isbi,B1,0.00622903689506
89,conf/fast,354.0,10728.0,A1,37.0,,89,conf/itqm,,28.0,,89,journals/eor,A1,0.00473036896878
90,conf/bmvc,2532.0,51771.0,A2,37.0,,90,conf/aiccsa,B1,28.0,,90,journals/eswa,A1,0.00458818263205
91,conf/cloudcom,757.0,3093.0,B2,37.0,,91,journals/siamrev,,27.0,,91,journals/bmcbi,A1,0.00452360757704
92,journals/cad,2736.0,55554.0,,37.0,,92,conf/simultech,,27.0,,92,journals/amc,A2,0.00447919829942
93,journals/csi,921.0,8151.0,,36.0,,93,conf/ncm,,27.0,,93,conf/smc,B2,0.00394120153387
94,journals/siamis,425.0,5889.0,,36.0,,94,conf/icip,A1,26.0,,94,journals/ieicet,,0.00295141963284
95,conf/isip,148.0,186.0,,36.0,,95,conf/isbi,B1,26.0,,95,conf/hicss,A1,0.00261237726331
96,conf/ipsn,841.0,28102.0,A1,36.0,,96,conf/ica3pp,B3,26.0,,96,conf/icc,A2,0.00229621125144
97,journals/siamco,1861.0,64741.0,A2,36.0,,97,journals/jnw,,25.0,,97,conf/vtc,A1,0.0022754164012
98,conf/ai,834.0,4107.0,B1,35.0,,98,conf/vtc,A1,25.0,,98,conf/globecom,A1,0.00214132762313
99,conf/icip,17283.0,156642.0,A1,35.0,,99,conf/IEEEcit,,25.0,,99,conf/icip,A1,0.00150436845455
100,conf/ppopp,790.0,28302.0,A2,35.0,,100,journals/cphysics,A1,25.0,,100,conf/icassp,A1,0.00115687992989
101,conf/sdm,1058.0,20754.0,A2,35.0,,101,journals/corr,,,,101,journals/nar,B1,
