Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,journals/tcad,A1,2307.0,,1,conf/ispd,A2,0.521406727829
2,journals/cce,2581.0,35527.0,,118.0,,2,conf/dac,A1,1960.0,,2,journals/tcad,A1,0.488150655946
3,conf/cvpr,6874.0,379400.0,A1,118.0,,3,conf/iccad,A1,1597.0,,3,conf/iccad,A1,0.482040446725
4,journals/cma,4572.0,33510.0,,118.0,,4,conf/date,A1,1241.0,,4,journals/todaes,B2,0.394701986755
5,journals/pr,6744.0,201239.0,A1,118.0,,5,conf/aspdac,,891.0,,5,conf/isca,A1,0.373970345964
6,journals/cee,1272.0,4934.0,,118.0,,6,journals/tvlsi,A1,755.0,,6,conf/hpca,A1,0.33418043202
7,journals/neuroimage,6390.0,202819.0,,117.0,,7,conf/isca,A1,681.0,,7,conf/slip,,0.31718061674
8,conf/biocomp,667.0,747.0,B4,104.0,,8,journals/tc,A1,674.0,,8,conf/aspdac,,0.308197855413
9,conf/icete,769.0,1194.0,B4,94.0,,9,conf/itc,A1,625.0,,9,journals/jetc,,0.308
10,journals/eswa,8936.0,109580.0,A1,89.0,,10,conf/iccd,A2,567.0,,10,conf/dac,A1,0.300337113086
11,journals/scl,1739.0,26654.0,,89.0,,11,conf/vlsid,A2,567.0,,11,conf/islped,A1,0.297150610583
12,journals/cm,1467.0,7672.0,A1,86.0,,12,conf/iscas,A1,542.0,,12,conf/vts,A2,0.285178236398
13,journals/automatica,7338.0,229957.0,A1,86.0,,13,conf/vts,A2,456.0,,13,conf/micro,A1,0.272533711852
14,journals/pieee,1039.0,18961.0,A1,85.0,,14,conf/isqed,B1,447.0,,14,conf/asplos,A1,0.271907216495
15,journals/sigpro,4742.0,50775.0,A1,84.0,,15,conf/islped,A1,438.0,,15,conf/isss,,0.267605633803
16,conf/www,4501.0,120253.0,A1,83.0,,16,conf/micro,A1,384.0,,16,journals/et,B2,0.259344012204
17,journals/ploscb,3878.0,85175.0,,80.0,,17,conf/glvlsi,,358.0,,17,conf/ets,,0.255364806867
18,journals/computer,4766.0,261329.0,,76.0,,18,conf/ispd,A2,341.0,,18,journals/tvlsi,A1,0.251331557923
19,conf/infocom,6943.0,350398.0,A1,76.0,,19,journals/et,B2,340.0,,19,conf/iccd,A2,0.24609375
20,journals/ml,1309.0,184440.0,A1,73.0,,20,journals/dt,,302.0,,20,conf/date,A1,0.241674780915
21,journals/bmcbi,7074.0,136587.0,A1,73.0,,21,journals/todaes,B2,298.0,,21,conf/isqed,B1,0.239165329053
22,journals/is,1504.0,32461.0,A2,72.0,,22,conf/ats,,280.0,,22,journals/cal,,0.224598930481
23,journals/isci,7032.0,124049.0,A1,70.0,,23,conf/hpca,A1,263.0,,23,conf/ats,,0.22239872915
24,conf/icml,3294.0,290468.0,A1,69.0,,24,conf/asplos,A1,211.0,,24,conf/vlsid,A2,0.220365332297
25,conf/nips,5684.0,404822.0,A1,66.0,,25,conf/ipps,A1,206.0,,25,conf/glvlsi,,0.20352472996
26,conf/visual,317.0,7593.0,B2,66.0,,26,conf/icpp,A2,204.0,,26,journals/dt,,0.203093476799
27,journals/jocn,2068.0,89870.0,,64.0,,27,journals/micro,A1,172.0,,27,conf/codes,,0.195937873357
28,journals/comsur,583.0,19860.0,A1,61.0,,28,journals/tcas,,170.0,,28,conf/IEEEpact,,0.183950617284
29,conf/icra,16038.0,236265.0,A1,61.0,,29,conf/codes,,164.0,,29,journals/taco,,0.177835051546
30,conf/sigmod,3706.0,337960.0,A1,61.0,,30,journals/integration,B2,159.0,,30,journals/micro,A1,0.172
31,conf/isscc,1967.0,13365.0,B1,59.0,,31,conf/ics,A2,153.0,,31,journals/iet-cdt,,0.169665809769
32,conf/eccv,3329.0,159515.0,A1,59.0,,32,conf/IEEEpact,,149.0,,32,journals/integration,B2,0.166666666667
33,conf/smc,9388.0,28167.0,B2,58.0,,33,journals/computer,,145.0,,33,conf/ispass,B1,0.165898617512
34,journals/soco,1974.0,28145.0,B1,57.0,,34,conf/dft,B1,145.0,,34,conf/eurodac,,0.165548098434
35,conf/networking,1306.0,9360.0,B1,56.0,,35,conf/fpga,A2,137.0,,35,conf/cases,A2,0.160079051383
36,conf/nsdi,481.0,17531.0,A1,54.0,,36,journals/tpds,A1,127.0,,36,journals/esticas,,0.16
37,conf/emnlp,1380.0,19971.0,A1,53.0,,37,conf/ets,,119.0,,37,conf/ftcs,,0.158989598811
38,conf/isca,1821.0,135083.0,A1,53.0,,38,conf/isvlsi,B1,111.0,,38,conf/hldvt,B3,0.15512465374
39,conf/icde,4327.0,135333.0,A1,52.0,,39,conf/ftcs,,107.0,,39,conf/itc,A1,0.14852661597
40,journals/behaviourIT,1033.0,21287.0,,52.0,,40,conf/cicc,B2,99.0,,40,conf/nocs,B1,0.148288973384
41,journals/networks,1952.0,113935.0,B1,52.0,,41,journals/vlsisp,,98.0,,41,journals/jolpe,B2,0.145631067961
42,journals/jcisd,6138.0,73816.0,B1,51.0,,42,conf/iolts,B1,97.0,,42,conf/dft,B1,0.132178669098
43,journals/dss,2302.0,56927.0,A1,50.0,,43,conf/sc,A1,95.0,,43,conf/cgo,A2,0.130081300813
44,conf/ias,468.0,1722.0,B1,49.0,,44,journals/tecs,B1,94.0,,44,journals/dafes,B2,0.128919860627
45,conf/isit,4224.0,15815.0,B1,49.0,,45,conf/icassp,A1,94.0,,45,conf/fpga,A2,0.127441860465
46,conf/sigir,3545.0,205477.0,A1,49.0,,46,conf/patmos,B2,92.0,,46,conf/iolts,B1,0.127129750983
47,journals/fgcs,2265.0,38059.0,A2,48.0,,47,journals/cacm,A1,90.0,,47,journals/tecs,B1,0.126344086022
48,journals/jcc,4376.0,140430.0,A1,47.0,,48,journals/jpdc,A2,90.0,,48,conf/patmos,B2,0.126200274348
49,conf/icassp,28525.0,238265.0,A1,47.0,,49,conf/sigmetrics,A1,84.0,,49,conf/isvlsi,B1,0.114669421488
50,conf/pldi,1303.0,110902.0,A1,46.0,,50,conf/cases,A2,81.0,,50,conf/ics,A2,0.108974358974
51,journals/interactions,2020.0,25053.0,B2,46.0,,51,conf/vlsi,,80.0,,51,journals/tocs,A2,0.108235294118
52,conf/indin,449.0,117.0,,46.0,,52,journals/jetc,,77.0,,52,conf/fmcad,B1,0.103004291845
53,conf/jcai,213.0,171.0,,46.0,,53,conf/isss,,76.0,,53,conf/mbmv,,0.102739726027
54,journals/bib,798.0,38929.0,,46.0,,54,journals/jolpe,B2,75.0,,54,journals/tc,A1,0.102167651963
55,journals/ai,2580.0,376792.0,A1,46.0,,55,conf/eurodac,,74.0,,55,conf/vlsi,,0.0919540229885
56,conf/ijcai,6188.0,295635.0,A1,46.0,,56,conf/slip,,72.0,,56,conf/cf,B1,0.0878504672897
57,journals/fss,3354.0,58453.0,A1,45.0,,57,conf/dsd,B1,72.0,,57,journals/sigarch,,0.0861678004535
58,journals/ijon,7349.0,79598.0,A1,45.0,,58,conf/ispass,B1,72.0,,58,conf/emsoft,A2,0.0826271186441
59,conf/cns,163.0,39.0,,45.0,,59,journals/mr,,69.0,,59,conf/ppopp,A2,0.0759493670886
60,conf/iros,13604.0,126537.0,A1,45.0,,60,journals/taco,,69.0,,60,conf/socc,B2,0.0733549083064
61,conf/globecom,14010.0,105540.0,A1,45.0,,61,conf/socc,B2,68.0,,61,conf/samos,B2,0.0733532934132
62,journals/kbs,2347.0,29383.0,,44.0,,62,conf/fpl,A2,68.0,,62,conf/cicc,B2,0.0650032829941
63,journals/prl,5475.0,100320.0,A1,44.0,,63,journals/iet-cdt,,66.0,,63,conf/icpp,A2,0.0594232449752
64,conf/icc,14807.0,125393.0,A2,44.0,,64,conf/pldi,A1,63.0,,64,conf/asap,B1,0.058524173028
65,journals/mcm,3045.0,22454.0,A2,43.0,,65,journals/ieicet,,61.0,,65,conf/sigmetrics,A1,0.0563758389262
66,conf/cdc,8622.0,25900.0,B1,43.0,,66,conf/ppopp,A2,60.0,,66,journals/ijpp,B2,0.0562560620757
67,conf/soda,2924.0,204116.0,A1,43.0,,67,journals/ijpp,B2,58.0,,67,journals/vlsisp,,0.0529157667387
68,journals/adhoc,1160.0,24419.0,B1,42.0,,68,conf/europar,,57.0,,68,conf/dsd,B1,0.0522117476432
69,conf/hpca,787.0,26675.0,A1,42.0,,69,conf/isscc,B1,57.0,,69,conf/pldi,A1,0.048349961627
70,journals/comcom,4829.0,48151.0,A2,42.0,,70,conf/ismvl,B2,56.0,,70,conf/fccm,A2,0.0455465587045
71,conf/vtc,10987.0,36827.0,A1,42.0,,71,conf/hldvt,B3,56.0,,71,conf/ismvl,B2,0.0434108527132
72,journals/siamsc,1790.0,41616.0,A1,42.0,,72,conf/cav,A1,53.0,,72,conf/sensys,A1,0.04296875
73,conf/date,5135.0,52731.0,A1,41.0,,73,journals/jssc,,51.0,,73,conf/cav,A1,0.0410852713178
74,journals/scientometrics,4199.0,122179.0,,40.0,,74,conf/samos,B2,49.0,,74,journals/tpds,A1,0.0385081867799
75,conf/dac,6526.0,186313.0,A1,40.0,,75,conf/cgo,A2,48.0,,75,conf/ipsn,A1,0.038049940547
