Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,journals/tvcg,A1,1290.0,,1,conf/vissym,,0.605263157895
2,journals/pr,6744.0,201239.0,A1,118.0,,2,conf/siggraph,A2,1199.0,,2,journals/tvcg,A1,0.543615676359
3,journals/cee,1272.0,4934.0,,118.0,,3,journals/tog,A1,1047.0,,3,conf/vvs,,0.534090909091
4,journals/cma,4572.0,33510.0,,118.0,,4,journals/cgf,A2,949.0,,4,conf/vg,B4,0.514018691589
5,journals/cce,2581.0,35527.0,,118.0,,5,conf/visualization,,472.0,,5,journals/tog,A1,0.441585828764
6,conf/cvpr,6874.0,379400.0,A1,118.0,,6,journals/vc,B1,353.0,,6,conf/rt,,0.439534883721
7,journals/neuroimage,6390.0,202819.0,,117.0,,7,journals/cga,A2,288.0,,7,conf/vcbm,,0.439024390244
8,conf/biocomp,667.0,747.0,B4,104.0,,8,journals/cg,,283.0,,8,conf/sgp,B4,0.432835820896
9,conf/icete,769.0,1194.0,B4,94.0,,9,conf/chi,A1,268.0,,9,conf/ldav,,0.40625
10,journals/scl,1739.0,26654.0,,89.0,,10,conf/vr,A2,251.0,,10,conf/apvis,,0.39896373057
11,journals/eswa,8936.0,109580.0,A1,89.0,,11,conf/vmv,,204.0,,11,conf/visualization,,0.397641112047
12,journals/cm,1467.0,7672.0,A1,86.0,,12,conf/cvpr,A1,204.0,,12,conf/pg,A2,0.394557823129
13,journals/automatica,7338.0,229957.0,A1,86.0,,13,journals/jvca,,200.0,,13,conf/sca,A2,0.351535836177
14,journals/pieee,1039.0,18961.0,A1,85.0,,14,conf/rt,,189.0,,14,conf/egpgv,,0.340909090909
15,journals/sigpro,4742.0,50775.0,A1,84.0,,15,conf/pg,A2,174.0,,15,conf/vmv,,0.316279069767
16,conf/www,4501.0,120253.0,A1,83.0,,16,conf/si3d,,165.0,,16,conf/ieeevast,,0.311983471074
17,journals/ploscb,3878.0,85175.0,,80.0,,17,conf/apvis,,154.0,,17,journals/cgf,A2,0.310435067059
18,conf/infocom,6943.0,350398.0,A1,76.0,,18,conf/ieeevast,,151.0,,18,conf/npar,A2,0.28
19,journals/computer,4766.0,261329.0,,76.0,,19,journals/cad,,143.0,,19,conf/si3d,,0.27731092437
20,journals/bmcbi,7074.0,136587.0,A1,73.0,,20,conf/graphicsinterface,,142.0,,20,conf/siggraph,A2,0.252900232019
21,journals/ml,1309.0,184440.0,A1,73.0,,21,conf/dagstuhl,,140.0,,21,conf/ca,,0.239669421488
22,journals/is,1504.0,32461.0,A2,72.0,,22,conf/ismar,A2,116.0,,22,conf/smi,A2,0.230263157895
23,journals/isci,7032.0,124049.0,A1,70.0,,23,conf/vissym,,115.0,,23,conf/graphicsinterface,,0.223974763407
24,conf/icml,3294.0,290468.0,A1,69.0,,24,conf/icip,A1,115.0,,24,journals/jvca,,0.218102508179
25,conf/nips,5684.0,404822.0,A1,66.0,,25,journals/cvgip,,112.0,,25,journals/ivs,B1,0.216828478964
26,journals/jocn,2068.0,89870.0,,64.0,,26,conf/sma,,110.0,,26,conf/sbm,B3,0.212598425197
27,conf/icra,16038.0,236265.0,A1,61.0,,27,conf/vrst,B1,110.0,,27,conf/infovis,,0.204081632653
28,journals/comsur,583.0,19860.0,A1,61.0,,28,conf/uist,A1,110.0,,28,journals/jgtools,,0.194078947368
29,conf/sigmod,3706.0,337960.0,A1,61.0,,29,journals/cagd,A2,109.0,,29,conf/cgi,B1,0.191956124314
30,conf/isscc,1967.0,13365.0,B1,59.0,,30,conf/cgi,B1,105.0,,30,journals/vc,B1,0.188467698879
31,conf/eccv,3329.0,159515.0,A1,59.0,,31,conf/smi,A2,105.0,,31,conf/vr,A2,0.188438438438
32,conf/smc,9388.0,28167.0,B2,58.0,,32,conf/sca,A2,103.0,,32,journals/cga,A2,0.188112344873
33,journals/soco,1974.0,28145.0,B1,57.0,,33,conf/miccai,A1,97.0,,33,conf/sccg,,0.187327823691
34,conf/networking,1306.0,9360.0,B1,56.0,,34,conf/iccv,A1,93.0,,34,journals/jwscg,,0.182352941176
35,conf/nsdi,481.0,17531.0,A1,54.0,,35,conf/isvc,,88.0,,35,conf/sma,,0.182119205298
36,conf/emnlp,1380.0,19971.0,A1,53.0,,36,conf/sibgrapi,B1,85.0,,36,conf/vrst,B1,0.153846153846
37,conf/isca,1821.0,135083.0,A1,53.0,,37,conf/ACMace,,82.0,,37,conf/gmp,B2,0.150183150183
38,journals/networks,1952.0,113935.0,B1,52.0,,38,conf/hci,A2,73.0,,38,conf/aughuman,,0.148148148148
39,conf/icde,4327.0,135333.0,A1,52.0,,39,conf/bildmed,,72.0,,39,conf/simvis,,0.142493638677
40,journals/behaviourIT,1033.0,21287.0,,52.0,,40,conf/icra,A1,69.0,,40,journals/ijsm,,0.140449438202
41,journals/jcisd,6138.0,73816.0,B1,51.0,,41,conf/sccg,,68.0,,41,conf/egh,,0.136
42,conf/visualization,1187.0,47784.0,,50.0,,42,journals/ivs,B1,67.0,,42,conf/sg,,0.123134328358
43,journals/dss,2302.0,56927.0,A1,50.0,,43,conf/haptics,B1,63.0,,43,conf/ismar,A2,0.11848825332
44,conf/isit,4224.0,15815.0,B1,49.0,,44,conf/eccv,A1,62.0,,44,conf/apgv,B2,0.115294117647
45,conf/sigir,3545.0,205477.0,A1,49.0,,45,conf/wscg,B1,61.0,,45,conf/mig,,0.115044247788
46,conf/ias,468.0,1722.0,B1,49.0,,46,conf/infovis,,60.0,,46,conf/3dui,B2,0.112021857923
47,journals/fgcs,2265.0,38059.0,A2,48.0,,47,conf/egpgv,,60.0,,47,conf/tpcg,,0.111607142857
48,conf/icassp,28525.0,238265.0,A1,47.0,,48,journals/jgtools,,59.0,,48,journals/cg,,0.100497159091
49,journals/jcc,4376.0,140430.0,A1,47.0,,49,conf/iv,B1,58.0,,49,conf/sibgrapi,B1,0.0995316159251
50,journals/ai,2580.0,376792.0,A1,46.0,,50,conf/sgp,B4,58.0,,50,conf/curac,,0.0915750915751
51,conf/ijcai,6188.0,295635.0,A1,46.0,,51,conf/ca,,58.0,,51,conf/uist,A1,0.090237899918
52,conf/jcai,213.0,171.0,,46.0,,52,conf/sc,A1,58.0,,52,conf/wscg,B1,0.0899705014749
53,conf/indin,449.0,117.0,,46.0,,53,conf/mm,A1,57.0,,53,conf/ACMace,,0.0888407367281
54,journals/bib,798.0,38929.0,,46.0,,54,conf/simvis,,56.0,,54,journals/cvgip,,0.080229226361
55,journals/interactions,2020.0,25053.0,B2,46.0,,55,conf/vg,B4,55.0,,55,conf/grapp,B4,0.0787878787879
56,journals/ijon,7349.0,79598.0,A1,45.0,,56,journals/presence,,55.0,,56,journals/cagd,A2,0.0754847645429
57,conf/globecom,14010.0,105540.0,A1,45.0,,57,conf/grapp,B4,52.0,,57,conf/3dpvt,,0.0731707317073
58,conf/iros,13604.0,126537.0,A1,45.0,,58,conf/avi,A2,51.0,,58,conf/3dim,B1,0.068515497553
59,journals/fss,3354.0,58453.0,A1,45.0,,59,journals/computer,,50.0,,59,conf/cadgraphics,,0.0661322645291
