Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,journals/tcad,A1,2408.0,,1,conf/iccad,A1,0.59885300332
2,journals/pr,6744.0,201239.0,A1,118.0,,2,conf/dac,A1,2302.0,,2,conf/ispd,A2,0.585626911315
3,journals/cma,4572.0,33510.0,,118.0,,3,conf/iccad,A1,1984.0,,3,journals/tcad,A1,0.509521794329
4,conf/cvpr,6874.0,379400.0,A1,118.0,,4,conf/date,A1,1465.0,,4,journals/todaes,B2,0.42119205298
5,journals/cce,2581.0,35527.0,,118.0,,5,conf/aspdac,,1038.0,,5,conf/iwls,B2,0.41095890411
6,journals/cee,1272.0,4934.0,,118.0,,6,journals/tvlsi,A1,836.0,,6,conf/slip,,0.361233480176
7,journals/neuroimage,6390.0,202819.0,,117.0,,7,conf/iccd,A2,625.0,,7,conf/aspdac,,0.35904531304
8,conf/biocomp,667.0,747.0,B4,104.0,,8,conf/itc,A1,625.0,,8,conf/dac,A1,0.352742874655
9,conf/icete,769.0,1194.0,B4,94.0,,9,conf/vlsid,A2,594.0,,9,conf/isss,,0.327464788732
10,journals/scl,1739.0,26654.0,,89.0,,10,conf/iscas,A1,578.0,,10,conf/islped,A1,0.327001356852
11,journals/eswa,8936.0,109580.0,A1,89.0,,11,conf/isqed,B1,528.0,,11,journals/jetc,,0.316
12,journals/cm,1467.0,7672.0,A1,86.0,,12,conf/islped,A1,482.0,,12,conf/date,A1,0.2852969815
13,journals/automatica,7338.0,229957.0,A1,86.0,,13,journals/tc,A1,459.0,,13,conf/codes,,0.283154121864
14,journals/pieee,1039.0,18961.0,A1,85.0,,14,conf/vts,A2,446.0,,14,conf/isqed,B1,0.282504012841
15,journals/sigpro,4742.0,50775.0,A1,84.0,,15,conf/glvlsi,,384.0,,15,conf/vts,A2,0.278924327705
16,conf/www,4501.0,120253.0,A1,83.0,,16,conf/ispd,A2,383.0,,16,journals/tvlsi,A1,0.278295605859
17,journals/ploscb,3878.0,85175.0,,80.0,,17,journals/dt,,330.0,,17,conf/iccd,A2,0.271267361111
18,journals/computer,4766.0,261329.0,,76.0,,18,journals/todaes,B2,318.0,,18,journals/et,B2,0.239511823036
19,conf/infocom,6943.0,350398.0,A1,76.0,,19,journals/et,B2,314.0,,19,conf/ets,,0.236051502146
20,journals/ml,1309.0,184440.0,A1,73.0,,20,conf/ats,,252.0,,20,conf/vlsid,A2,0.230858919549
21,journals/bmcbi,7074.0,136587.0,A1,73.0,,21,conf/codes,,237.0,,21,journals/dt,,0.221923335575
22,journals/is,1504.0,32461.0,A2,72.0,,22,conf/fpga,A2,195.0,,22,conf/glvlsi,,0.2183058556
23,journals/isci,7032.0,124049.0,A1,70.0,,23,journals/integration,B2,169.0,,23,conf/hldvt,B3,0.210526315789
24,conf/icml,3294.0,290468.0,A1,69.0,,24,journals/tcas,,163.0,,24,conf/ats,,0.200158856235
25,conf/nips,5684.0,404822.0,A1,66.0,,25,conf/isvlsi,B1,133.0,,25,conf/estimedia,B3,0.190677966102
26,journals/jocn,2068.0,89870.0,,64.0,,26,conf/dft,B1,133.0,,26,conf/eurodac,,0.187919463087
27,journals/comsur,583.0,19860.0,A1,61.0,,27,conf/ipps,A1,122.0,,27,conf/fpga,A2,0.181395348837
28,conf/sigmod,3706.0,337960.0,A1,61.0,,28,conf/cicc,B2,122.0,,28,journals/integration,B2,0.17714884696
29,conf/icra,16038.0,236265.0,A1,61.0,,29,conf/icassp,A1,114.0,,29,journals/dafes,B2,0.174216027875
30,conf/isscc,1967.0,13365.0,B1,59.0,,30,journals/tecs,B1,113.0,,30,journals/jolpe,B2,0.161165048544
31,conf/eccv,3329.0,159515.0,A1,59.0,,31,conf/ets,,110.0,,31,journals/esticas,,0.16
32,conf/smc,9388.0,28167.0,B2,58.0,,32,conf/cav,A1,100.0,,32,conf/async,A2,0.154897494305
33,journals/soco,1974.0,28145.0,B1,57.0,,33,conf/patmos,B2,99.0,,33,conf/fmcad,B1,0.152360515021
34,conf/networking,1306.0,9360.0,B1,56.0,,34,conf/iolts,B1,94.0,,34,journals/tecs,B1,0.15188172043
35,conf/nsdi,481.0,17531.0,A1,54.0,,35,conf/isca,A1,93.0,,35,journals/iet-cdt,,0.151670951157
36,conf/emnlp,1380.0,19971.0,A1,53.0,,36,conf/isss,,93.0,,36,conf/itc,A1,0.14852661597
37,conf/isca,1821.0,135083.0,A1,53.0,,37,conf/fpl,A2,92.0,,37,conf/host,B3,0.146892655367
38,journals/networks,1952.0,113935.0,B1,52.0,,38,journals/vlsisp,,92.0,,38,conf/cases,A2,0.138339920949
39,journals/behaviourIT,1033.0,21287.0,,52.0,,39,conf/vlsi,,92.0,,39,conf/isvlsi,B1,0.137396694215
40,conf/icde,4327.0,135333.0,A1,52.0,,40,conf/ftcs,,84.0,,40,conf/patmos,B2,0.135802469136
41,journals/jcisd,6138.0,73816.0,B1,51.0,,41,conf/eurodac,,84.0,,41,conf/mtv,,0.131707317073
42,journals/dss,2302.0,56927.0,A1,50.0,,42,journals/jolpe,B2,83.0,,42,conf/nocs,B1,0.12927756654
43,conf/sigir,3545.0,205477.0,A1,49.0,,43,conf/slip,,82.0,,43,conf/ftcs,,0.124814264487
44,conf/isit,4224.0,15815.0,B1,49.0,,44,journals/ieicet,,81.0,,44,conf/iolts,B1,0.123197903014
45,conf/ias,468.0,1722.0,B1,49.0,,45,journals/jetc,,79.0,,45,conf/dft,B1,0.121239744758
46,journals/fgcs,2265.0,38059.0,A2,48.0,,46,conf/hldvt,B3,76.0,,46,conf/memocode,,0.11356466877
47,journals/jcc,4376.0,140430.0,A1,47.0,,47,conf/socc,B2,75.0,,47,conf/mbmv,,0.107305936073
48,conf/icassp,28525.0,238265.0,A1,47.0,,48,conf/fmcad,B1,71.0,,48,conf/vlsi,,0.105747126437
49,journals/interactions,2020.0,25053.0,B2,46.0,,49,conf/cases,A2,70.0,,49,conf/emsoft,A2,0.0932203389831
50,conf/indin,449.0,117.0,,46.0,,50,conf/async,A2,68.0,,50,journals/fmsd,A2,0.0855513307985
51,conf/ijcai,6188.0,295635.0,A1,46.0,,51,conf/icpp,A2,68.0,,51,conf/socc,B2,0.0809061488673
52,conf/jcai,213.0,171.0,,46.0,,52,conf/dsd,B1,67.0,,52,conf/cicc,B2,0.0801050558109
53,journals/bib,798.0,38929.0,,46.0,,53,journals/computer,,66.0,,53,conf/cav,A1,0.077519379845
54,journals/ai,2580.0,376792.0,A1,46.0,,54,journals/tpds,A1,63.0,,54,journals/tc,A1,0.0695770804911
55,conf/globecom,14010.0,105540.0,A1,45.0,,55,conf/isscc,B1,61.0,,55,conf/lctrts,,0.0623501199041
56,journals/ijon,7349.0,79598.0,A1,45.0,,56,journals/iet-cdt,,59.0,,56,conf/asap,B1,0.059796437659
57,conf/iros,13604.0,126537.0,A1,45.0,,57,conf/ismvl,B2,59.0,,57,conf/sat,B1,0.0525328330206
58,journals/fss,3354.0,58453.0,A1,45.0,,58,conf/micro,A1,58.0,,58,conf/fdl,B3,0.0521582733813
59,conf/cns,163.0,39.0,,45.0,,59,conf/icmcs,B3,55.0,,59,conf/fccm,A2,0.0516194331984
60,conf/icc,14807.0,125393.0,A2,44.0,,60,journals/jssc,,54.0,,60,conf/sips,,0.0515097690941
61,journals/prl,5475.0,100320.0,A1,44.0,,61,conf/fccm,A2,51.0,,61,conf/isca,A1,0.0510708401977
62,journals/kbs,2347.0,29383.0,,44.0,,62,journals/dafes,B2,50.0,,62,journals/vlsisp,,0.0496760259179
63,conf/cdc,8622.0,25900.0,B1,43.0,,63,journals/jcsc,B2,48.0,,63,conf/dsd,B1,0.0485859318347
64,journals/mcm,3045.0,22454.0,A2,43.0,,64,conf/mbmv,,47.0,,64,conf/fpt,,0.0485436893204
65,conf/soda,2924.0,204116.0,A1,43.0,,65,conf/asap,B1,47.0,,65,conf/hpca,A1,0.0470139771283
66,conf/vtc,10987.0,36827.0,A1,42.0,,66,conf/estimedia,B3,45.0,,66,conf/ddecs,,0.0460431654676
67,journals/adhoc,1160.0,24419.0,B1,42.0,,67,conf/fpt,,45.0,,67,conf/ismvl,B2,0.0457364341085
68,journals/siamsc,1790.0,41616.0,A1,42.0,,68,journals/fmsd,A2,45.0,,68,conf/samos,B2,0.0449101796407
69,journals/comcom,4829.0,48151.0,A2,42.0,,69,conf/emsoft,A2,44.0,,69,conf/sbcci,,0.0434056761269
70,conf/hpca,787.0,26675.0,A1,42.0,,70,conf/icc,A2,43.0,,70,conf/micro,A1,0.041163946061
71,conf/date,5135.0,52731.0,A1,41.0,,71,conf/globecom,A1,42.0,,71,conf/IEEEpact,,0.0407407407407
72,conf/dac,6526.0,186313.0,A1,40.0,,72,journals/esticas,,40.0,,72,conf/fpl,A2,0.0383973288815
73,conf/micro,1409.0,59172.0,A1,40.0,,73,journals/jsa,,40.0,,73,journals/micro,A1,0.037
74,journals/scientometrics,4199.0,122179.0,,40.0,,74,conf/hpca,A1,37.0,,74,journals/jssc,,0.0369609856263
75,journals/eaai,1516.0,14305.0,A2,39.0,,75,conf/ics,A2,37.0,,75,conf/iscas,A1,0.0340661283668
76,conf/interspeech,17729.0,130378.0,A1,39.0,,76,journals/mr,,37.0,,76,conf/isscc,B1,0.0310116929334
77,conf/sigmetrics,1490.0,70702.0,A1,39.0,,77,journals/jpdc,A2,37.0,,77,journals/jcsc,B2,0.0302076777848
78,journals/siamcomp,3124.0,269865.0,A1,39.0,,78,journals/micro,A1,37.0,,78,journals/tcas,,0.0299632352941
79,conf/hicss,11101.0,101629.0,A1,38.0,,79,journals/mj,B1,37.0,,79,conf/ics,A2,0.0263532763533
80,conf/cav,1290.0,101412.0,A1,38.0,,80,conf/sc,A1,36.0,,80,journals/jsa,,0.0228440890919
81,journals/tcs,10811.0,391021.0,A1,38.0,,81,conf/memocode,,36.0,,81,conf/icpp,A2,0.0198077483251
82,journals/neco,2472.0,320711.0,A1,38.0,,82,conf/wcnc,A2,34.0,,82,journals/tpds,A1,0.0191024863554
83,journals/integration,954.0,6860.0,B2,38.0,,83,conf/nocs,B1,34.0,,83,conf/sigmetrics,A1,0.0187919463087
84,conf/cloudcom,757.0,3093.0,B2,37.0,,84,conf/icip,A1,33.0,,84,conf/ipps,A1,0.0165356465167
85,journals/cad,2736.0,55554.0,,37.0,,85,conf/IEEEpact,,33.0,,85,journals/mj,B1,0.0139045471627
86,conf/cscw,1792.0,98709.0,A1,37.0,,86,conf/infocom,A1,32.0,,86,journals/computer,,0.013848090642
87,conf/bmvc,2532.0,51771.0,A2,37.0,,87,conf/ddecs,,32.0,,87,journals/jpdc,A2,0.0118741976893
88,conf/fast,354.0,10728.0,A1,37.0,,88,conf/iwls,B2,30.0,,88,conf/sc,A1,0.0116618075802
89,conf/aaai,7555.0,234650.0,A1,37.0,,89,conf/icecsys,,30.0,,89,conf/icecsys,,0.00929944203348
90,conf/isip,148.0,186.0,,36.0,,90,conf/samos,B2,30.0,,90,journals/mr,,0.00791105409451
91,journals/siamis,425.0,5889.0,,36.0,,91,conf/sips,,29.0,,91,conf/icmcs,B3,0.00754872357947
92,conf/ipsn,841.0,28102.0,A1,36.0,,92,conf/fdl,B3,29.0,,92,journals/ieicet,,0.00478129980521
93,journals/siamco,1861.0,64741.0,A2,36.0,,93,conf/sat,B1,28.0,,93,journals/tim,A2,0.00476433554535
94,journals/csi,921.0,8151.0,,36.0,,94,conf/sigmetrics,A1,28.0,,94,conf/infocom,A1,0.0046089586634
95,conf/icip,17283.0,156642.0,A1,35.0,,95,journals/tim,A2,28.0,,95,conf/wcnc,A2,0.00455275843599
96,conf/ai,834.0,4107.0,B1,35.0,,96,conf/mtv,,27.0,,96,conf/icassp,A1,0.00399649430324
97,conf/sdm,1058.0,20754.0,A2,35.0,,97,journals/iacr,,26.0,,97,journals/iacr,,0.00314998788466
98,conf/ppopp,790.0,28302.0,A2,35.0,,98,conf/host,B3,26.0,,98,conf/globecom,A1,0.00299785867238
99,conf/allerton,778.0,633.0,,33.0,,99,conf/sbcci,,26.0,,99,conf/icc,A2,0.00290403187682
100,journals/socnet,537.0,17912.0,,33.0,,100,conf/lctrts,,26.0,,100,conf/icip,A1,0.00190939073078
101,conf/icalp,3119.0,122492.0,A1,33.0,,101,journals/corr,,,,101,journals/nar,B1,
102,conf/cec,5323.0,30161.0,B1,32.0,,102,conf/ssp,,,,102,journals/pr,A1,
103,conf/sac,5502.0,37130.0,A1,32.0,,103,conf/isit,B1,,,103,journals/cma,,
104,conf/percom,1751.0,19503.0,A2,32.0,,104,journals/tcom,A1,,,104,conf/cvpr,A1,
