Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/infocom,A1,3200.0,,1,journals/ton,A1,0.497571743929
2,journals/cma,4572.0,33510.0,,118.0,,2,conf/globecom,A1,1207.0,,2,conf/infocom,A1,0.46089586634
3,journals/cce,2581.0,35527.0,,118.0,,3,journals/ton,A1,1127.0,,3,conf/mobihoc,A1,0.355359765051
4,journals/cee,1272.0,4934.0,,118.0,,4,conf/icc,A2,1026.0,,4,conf/icnp,A1,0.333720930233
5,conf/cvpr,6874.0,379400.0,A1,118.0,,5,journals/jsac,A1,750.0,,5,conf/iwqos,A2,0.274226804124
6,journals/pr,6744.0,201239.0,A1,118.0,,6,journals/cn,A1,656.0,,6,conf/imc,A1,0.269230769231
7,journals/neuroimage,6390.0,202819.0,,117.0,,7,journals/tpds,A1,489.0,,7,journals/tmc,,0.260167850226
8,conf/biocomp,667.0,747.0,B4,104.0,,8,journals/twc,A1,423.0,,8,conf/wiopt,B1,0.259822560203
9,conf/icete,769.0,1194.0,B4,94.0,,9,journals/tmc,,403.0,,9,conf/sigmetrics,A1,0.259731543624
10,journals/scl,1739.0,26654.0,,89.0,,10,conf/sigmetrics,A1,387.0,,10,conf/conext,B1,0.247524752475
11,journals/eswa,8936.0,109580.0,A1,89.0,,11,conf/wcnc,A2,361.0,,11,conf/sigcomm,A1,0.243919388464
12,journals/automatica,7338.0,229957.0,A1,86.0,,12,conf/sigcomm,A1,351.0,,12,conf/mobicom,A1,0.239530988275
13,journals/cm,1467.0,7672.0,A1,86.0,,13,conf/icdcs,A1,341.0,,13,conf/secon,B1,0.212222222222
14,journals/pieee,1039.0,18961.0,A1,85.0,,14,journals/tit,A1,331.0,,14,journals/tosn,,0.203045685279
15,journals/sigpro,4742.0,50775.0,A1,84.0,,15,journals/tc,A1,311.0,,15,journals/jhsn,B3,0.200507614213
16,conf/www,4501.0,120253.0,A1,83.0,,16,journals/comcom,A2,311.0,,16,conf/qshine,B2,0.19381443299
17,journals/ploscb,3878.0,85175.0,,80.0,,17,journals/tcom,A1,298.0,,17,journals/ccr,A1,0.189795918367
